Ref,Choice R3,Integration [HH] R3,Total Connectivity R3,Choice R3 n,Integration [HH] R3 n,Total Connectivity R3 n
0,17,1.3873683,55,0.078703704,0.448953939,0.186770428
1,22,1.5405476,70,0.101851852,0.514198882,0.245136187
2,0,1.31797,69,0,0.41939454,0.241245136
3,0,1.31797,69,0,0.41939454,0.241245136
4,59,1.9565217,89,0.273148148,0.691378214,0.319066148
5,62,2.3025978,93,0.287037037,0.838785306,0.33463035
6,48,1.9805739,123,0.222222222,0.701622969,0.451361868
7,30,1.7852225,96,0.138888889,0.618415311,0.346303502
8,17,1.4028426,72,0.078703704,0.455545037,0.252918288
9,8,1.1191936,46,0.037037037,0.334728043,0.151750973
10,0,0.58170414,18,0,0.105790655,0.042801556
11,10,1.2989333,46,0.046296296,0.411286079,0.151750973
12,29,1.8,83,0.134259259,0.624709615,0.295719844
13,36,1.7820429,109,0.166666667,0.617060997,0.39688716
14,38,1.8337219,111,0.175925926,0.639073067,0.404669261
15,51,2.0708582,92,0.236111111,0.740078517,0.3307393
16,12,1.6981779,70,0.055555556,0.581339676,0.245136187
17,0,1.238816,62,0,0.385679814,0.214007782
18,12,1.6981779,69,0.055555556,0.581339676,0.241245136
19,45,2.1023719,85,0.208333333,0.753501412,0.303501946
20,32,1.7821976,98,0.148148148,0.61712689,0.354085603
21,24,1.5887082,112,0.111111111,0.534712329,0.408560311
22,31,1.7325417,111,0.143518519,0.595976537,0.404669261
23,60,1.9491093,101,0.277777778,0.688220989,0.365758755
24,33,1.8597906,82,0.152777778,0.650176727,0.291828794
25,25,1.7821976,94,0.115740741,0.61712689,0.338521401
26,24,1.6673985,88,0.111111111,0.568229548,0.315175097
27,10,1.1768752,57,0.046296296,0.35929685,0.194552529
28,8,1.0207884,37,0.037037037,0.292813492,0.116731518
29,12,1.2063863,33,0.055555556,0.37186676,0.101167315
30,16,1.3076391,51,0.074074074,0.414994213,0.171206226
31,22,1.5364467,61,0.101851852,0.512452151,0.210116732
32,21,1.6828449,63,0.097222222,0.574808762,0.217898833
33,18,1.4644111,55,0.083333333,0.481769424,0.186770428
34,8,1.0445806,42,0.037037037,0.302947503,0.13618677
35,6,0.8619656,22,0.027777778,0.225164766,0.058365759
36,6,0.84912294,15,0.027777778,0.219694585,0.031128405
37,6,0.84912294,14,0.027777778,0.219694585,0.027237354
38,6,0.84912294,16,0.027777778,0.219694585,0.035019455
39,6,0.8870222,30,0.027777778,0.235837334,0.089494163
40,10,1.1768752,58,0.046296296,0.35929685,0.19844358
41,26,1.7669872,72,0.12037037,0.610648197,0.252918288
42,34,2.0855293,77,0.157407407,0.746327502,0.272373541
43,26,1.7669872,72,0.12037037,0.610648197,0.252918288
44,10,1.1981546,63,0.046296296,0.368360563,0.217898833
45,8,1.0207884,37,0.037037037,0.292813492,0.116731518
46,8,0.98558021,23,0.037037037,0.277816973,0.062256809
47,6,0.91666669,35,0.027777778,0.24846406,0.108949416
48,10,1.1768752,60,0.046296296,0.35929685,0.206225681
49,26,1.7307693,83,0.12037037,0.595221604,0.295719844
50,52,2.0269725,100,0.240740741,0.721385914,0.361867704
51,26,1.7269484,90,0.12037037,0.593594136,0.322957198
52,10,1.1768752,60,0.046296296,0.35929685,0.206225681
53,6,0.8870222,30,0.027777778,0.235837334,0.089494163
54,6,0.84912294,16,0.027777778,0.219694585,0.035019455
55,6,0.84912294,14,0.027777778,0.219694585,0.027237354
56,6,0.84912294,14,0.027777778,0.219694585,0.027237354
57,6,0.84912294,14,0.027777778,0.219694585,0.027237354
58,6,0.84912294,16,0.027777778,0.219694585,0.035019455
59,6,0.8870222,29,0.027777778,0.235837334,0.085603113
60,10,1.1561403,49,0.046296296,0.35046506,0.163424125
61,24,1.6981779,58,0.111111111,0.581339676,0.19844358
62,43,2.0257571,63,0.199074074,0.720868228,0.217898833
63,24,1.6981779,59,0.111111111,0.581339676,0.20233463
64,10,1.1561403,49,0.046296296,0.35046506,0.163424125
65,6,0.8870222,31,0.027777778,0.235837334,0.093385214
66,6,0.8870222,32,0.027777778,0.235837334,0.097276265
67,10,1.1768752,57,0.046296296,0.35929685,0.194552529
68,26,1.7269484,83,0.12037037,0.593594136,0.295719844
69,10,1.7342104,53,0.046296296,0.5966873,0.178988327
70,11,1.7342104,51,0.050925926,0.5966873,0.171206226
71,13,1.4803609,87,0.060185185,0.488563056,0.311284047
72,18,1.6071428,95,0.083333333,0.542564333,0.342412451
73,32,1.8489804,101,0.148148148,0.645572247,0.365758755
74,18,1.6132691,73,0.083333333,0.545173759,0.256809339
75,0,0.88468331,45,0,0.234841111,0.147859922
76,42,1.9851656,132,0.194444444,0.70357875,0.486381323
77,58,2.0789747,137,0.268518519,0.743535646,0.505836576
78,0,1.6700469,106,0,0.569357603,0.385214008
79,41,1.8962001,111,0.189814815,0.66568493,0.404669261
80,16,1.4028426,77,0.074074074,0.455545037,0.272373541
81,28,1.7812788,113,0.12962963,0.616735538,0.412451362
82,10,1.2409762,83,0.046296296,0.386599926,0.295719844
83,10,1.2196002,76,0.046296296,0.377495067,0.26848249
84,26,1.7307693,85,0.12037037,0.595221604,0.303501946
