Ref,Choice R3,Integration [HH] R3,Total Connectivity R3,Choice R3 n,Integration [HH] R3 n,Total Connectivity R3 n
0,0,0.33333334,9,0,0,0.006535948
1,4,0.72781962,21,0.01826484,0.174813078,0.045751634
2,4,0.69804502,17,0.01826484,0.16161873,0.032679739
3,0,0.33333334,8,0,0,0.003267974
4,0,0.33333334,7,0,0,0
5,4,0.70398736,9,0.01826484,0.164252025,0.006535948
6,6,0.87255627,11,0.02739726,0.238951835,0.013071895
7,6,0.84912294,13,0.02739726,0.228567563,0.019607843
8,6,0.84912294,14,0.02739726,0.228567563,0.022875817
9,6,0.87255627,11,0.02739726,0.238951835,0.013071895
10,4,0.70398736,9,0.01826484,0.164252025,0.006535948
11,0,0.33333334,7,0,0,0
12,10,1.1365665,40,0.0456621,0.355945615,0.107843137
13,8,1,36,0.03652968,0.295427388,0.094771242
14,0,0.33333334,9,0,0,0.006535948
15,4,0.72781962,22,0.01826484,0.174813078,0.049019608
16,10,1.1058542,32,0.0456621,0.342335733,0.081699346
17,20,1.569167,41,0.091324201,0.54764867,0.111111111
18,36,1.7572933,46,0.164383562,0.631015163,0.12745098
19,18,1.4666082,67,0.082191781,0.502200652,0.196078431
20,12,1.2726263,63,0.054794521,0.416239302,0.183006536
21,20,1.550553,49,0.091324201,0.539400042,0.137254902
22,20,1.569167,42,0.091324201,0.54764867,0.114379085
23,10,1.1191936,37,0.0456621,0.348246969,0.098039216
24,6,0.94787496,43,0.02739726,0.272328641,0.117647059
25,10,1.1561403,60,0.0456621,0.36461957,0.173202614
26,24,1.6981779,68,0.109589041,0.6048187,0.199346405
27,21,1.8979635,67,0.095890411,0.693351908,0.196078431
28,24,1.7217885,65,0.109589041,0.615281527,0.189542484
29,32,2.0257571,71,0.146118721,0.749982503,0.209150327
30,32,1.9862185,73,0.146118721,0.732461324,0.215686275
31,12,1.2726263,67,0.054794521,0.416239302,0.196078431
32,6,0.94787496,47,0.02739726,0.272328641,0.130718954
33,8,1.0207884,36,0.03652968,0.304639582,0.094771242
34,16,1.3873683,41,0.073059361,0.467086197,0.111111111
35,16,1.3873369,54,0.073059361,0.467072282,0.153594771
36,12,1.2906152,68,0.054794521,0.424210923,0.199346405
37,24,1.6828449,65,0.109589041,0.598024018,0.189542484
38,47,2.0257571,62,0.214611872,0.749982503,0.179738562
39,10,1.1492875,19,0.0456621,0.361582812,0.039215686
40,8,0.98558021,24,0.03652968,0.289037386,0.055555556
41,8,1.0207884,30,0.03652968,0.304639582,0.075163399
42,14,1.3057258,31,0.063926941,0.430907051,0.078431373
43,14,1.3057258,30,0.063926941,0.430907051,0.075163399
44,8,1,26,0.03652968,0.295427388,0.062091503
45,0,1.6132691,76,0,0.567192122,0.225490196
46,20,2.0855293,82,0.091324201,0.77647002,0.245098039
47,30,1.8959359,82,0.136986301,0.692453395,0.245098039
48,6,0.8619656,20,0.02739726,0.234258674,0.04248366
49,6,0.84912294,18,0.02739726,0.228567563,0.035947712
50,6,0.91666669,38,0.02739726,0.258498974,0.10130719
51,12,1.238816,62,0.054794521,0.401256569,0.179738562
52,28,1.8328277,80,0.127853881,0.664487559,0.238562092
53,28,1.8328277,82,0.127853881,0.664487559,0.245098039
54,0,1.6828449,78,0,0.598024018,0.232026144
55,0,0.84615386,35,0,0.227251842,0.091503268
