Ref,Choice R3,Integration [HH] R3,Total Connectivity R3,Choice R3 n,Integration [HH] R3 n,Total Connectivity R3 n
0,22,1.3076391,41,0.126436782,0.43927394,0.161904762
1,8,1.0445806,37,0.045977011,0.320671805,0.142857143
2,12,1.2222222,23,0.068965517,0.400763013,0.076190476
3,8,0.98558021,21,0.045977011,0.294070983,0.066666667
4,6,0.8619656,20,0.034482759,0.238338297,0.061904762
5,6,0.8619656,20,0.034482759,0.238338297,0.061904762
6,8,0.98558021,20,0.045977011,0.294070983,0.061904762
7,12,1.2671746,20,0.068965517,0.42103018,0.061904762
8,0,0.33333334,7,0,0,0
9,4,0.70398736,9,0.022988506,0.16711248,0.00952381
10,6,0.87255627,11,0.034482759,0.24311319,0.019047619
11,6,0.84912294,13,0.034482759,0.232548076,0.028571429
12,6,0.84912294,14,0.034482759,0.232548076,0.033333333
13,6,0.84912294,14,0.034482759,0.232548076,0.033333333
14,6,0.84912294,14,0.034482759,0.232548076,0.033333333
15,6,0.84912294,14,0.034482759,0.232548076,0.033333333
16,6,0.84912294,14,0.034482759,0.232548076,0.033333333
17,6,0.84912294,14,0.034482759,0.232548076,0.033333333
18,6,0.84912294,14,0.034482759,0.232548076,0.033333333
19,6,0.84912294,14,0.034482759,0.232548076,0.033333333
20,6,0.84912294,14,0.034482759,0.232548076,0.033333333
21,6,0.84912294,14,0.034482759,0.232548076,0.033333333
22,6,0.84912294,14,0.034482759,0.232548076,0.033333333
23,6,0.84912294,14,0.034482759,0.232548076,0.033333333
24,6,0.84912294,14,0.034482759,0.232548076,0.033333333
25,6,0.84912294,14,0.034482759,0.232548076,0.033333333
26,6,0.84912294,14,0.034482759,0.232548076,0.033333333
27,6,0.84912294,14,0.034482759,0.232548076,0.033333333
28,6,0.84912294,14,0.034482759,0.232548076,0.033333333
29,6,0.84912294,14,0.034482759,0.232548076,0.033333333
30,6,0.84912294,15,0.034482759,0.232548076,0.038095238
31,6,0.8619656,19,0.034482759,0.238338297,0.057142857
32,8,0.98558021,21,0.045977011,0.294070983,0.066666667
33,12,1.2222222,23,0.068965517,0.400763013,0.076190476
34,12,1.2222222,23,0.068965517,0.400763013,0.076190476
35,8,0.98558021,21,0.045977011,0.294070983,0.066666667
36,6,0.8619656,19,0.034482759,0.238338297,0.057142857
37,6,0.84912294,15,0.034482759,0.232548076,0.038095238
38,6,0.84912294,14,0.034482759,0.232548076,0.033333333
39,6,0.84912294,14,0.034482759,0.232548076,0.033333333
40,6,0.84912294,14,0.034482759,0.232548076,0.033333333
41,6,0.84912294,14,0.034482759,0.232548076,0.033333333
42,6,0.84912294,14,0.034482759,0.232548076,0.033333333
43,6,0.84912294,14,0.034482759,0.232548076,0.033333333
44,6,0.84912294,14,0.034482759,0.232548076,0.033333333
45,6,0.84912294,14,0.034482759,0.232548076,0.033333333
46,6,0.84912294,15,0.034482759,0.232548076,0.038095238
47,6,0.8619656,19,0.034482759,0.238338297,0.057142857
48,8,0.98558021,21,0.045977011,0.294070983,0.066666667
49,12,1.2222222,23,0.068965517,0.400763013,0.076190476
50,12,1.2222222,24,0.068965517,0.400763013,0.080952381
51,8,1,26,0.045977011,0.300572266,0.09047619
52,8,1.0445806,30,0.045977011,0.320671805,0.10952381
53,26,1.3873683,34,0.149425287,0.47522052,0.128571429
54,22,1.2989333,31,0.126436782,0.435348857,0.114285714
55,8,1,23,0.045977011,0.300572266,0.076190476
56,6,0.8619656,18,0.034482759,0.238338297,0.052380952
57,6,0.84912294,15,0.034482759,0.232548076,0.038095238
58,6,0.84912294,14,0.034482759,0.232548076,0.033333333
59,6,0.84912294,14,0.034482759,0.232548076,0.033333333
60,6,0.84912294,14,0.034482759,0.232548076,0.033333333
61,6,0.84912294,14,0.034482759,0.232548076,0.033333333
62,6,0.84912294,14,0.034482759,0.232548076,0.033333333
63,6,0.84912294,14,0.034482759,0.232548076,0.033333333
64,6,0.84912294,14,0.034482759,0.232548076,0.033333333
65,6,0.84912294,14,0.034482759,0.232548076,0.033333333
66,6,0.84912294,16,0.034482759,0.232548076,0.042857143
67,6,0.8870222,26,0.034482759,0.249635276,0.09047619
68,10,1.1058542,32,0.057471264,0.348297522,0.119047619
69,18,1.471094,42,0.103448276,0.512968956,0.166666667
70,24,1.6008096,40,0.137931034,0.571452324,0.157142857
71,18,1.3057258,36,0.103448276,0.438411313,0.138095238
72,8,1.1492875,18,0.045977011,0.36787979,0.052380952
73,0,0.58170414,14,0,0.111980063,0.033333333
74,12,1.2222222,23,0.068965517,0.400763013,0.076190476
75,8,0.98558021,21,0.045977011,0.294070983,0.066666667
76,6,0.8619656,19,0.034482759,0.238338297,0.057142857
77,6,0.84912294,15,0.034482759,0.232548076,0.038095238
78,6,0.84912294,14,0.034482759,0.232548076,0.033333333
79,6,0.84912294,14,0.034482759,0.232548076,0.033333333
80,6,0.84912294,14,0.034482759,0.232548076,0.033333333
81,12,1.2671746,21,0.068965517,0.42103018,0.066666667
82,8,1,25,0.045977011,0.300572266,0.085714286
83,6,0.84912294,15,0.034482759,0.232548076,0.038095238
84,6,0.8619656,18,0.034482759,0.238338297,0.052380952
85,8,1,25,0.045977011,0.300572266,0.085714286
86,12,1.2063863,29,0.068965517,0.393623264,0.104761905
87,8,1,27,0.045977011,0.300572266,0.095238095
88,0,0.98558021,28,0,0.294070983,0.1
89,8,1.375,30,0.045977011,0.469644168,0.10952381
90,10,1.4244281,37,0.057471264,0.491929242,0.142857143
91,24,1.471094,42,0.137931034,0.512968956,0.166666667
92,6,1.0207884,33,0.034482759,0.309944891,0.123809524
93,4,0.8870222,28,0.022988506,0.249635276,0.1
94,8,1.1,30,0.045977011,0.345658107,0.10952381
95,16,1.4864661,40,0.091954023,0.519899596,0.157142857
96,20,1.569167,42,0.114942529,0.557185992,0.166666667
97,12,1.2052853,36,0.068965517,0.393126869,0.138095238
98,0,0.91666669,32,0,0.263000743,0.119047619
99,0,1.3845592,49,0,0.473954014,0.2
100,0,0.72781962,27,0,0.177857455,0.095238095
101,0,0.42239243,11,0,0.040153039,0.019047619
