Ref,Choice R3,Integration [HH] R3,Total Depth R3,Choice R3 normal,Integration [HH] R3 normal,Total Depth R3 normal
114,6,0.84912294,12,0.037037037,0.248023519,0.047619048
115,0,0.42239243,9,0,0.042825115,0.023809524
116,24,1.5154221,24,0.148148148,0.568421336,0.142857143
117,0,0.33333334,6,0,0,0
118,4,0.69804502,10,0.024691358,0.175375917,0.031746032
119,8,0.98558021,17,0.049382716,0.313640608,0.087301587
120,14,1.3057258,23,0.086419753,0.467586394,0.134920635
121,0,0.8619656,15,0,0.254199063,0.071428571
122,0,0.42239243,9,0,0.042825115,0.023809524
123,6,0.8619656,15,0.037037037,0.254199063,0.071428571
124,14,1.2989333,26,0.086419753,0.464320141,0.158730159
125,18,1.4864661,27,0.111111111,0.554497501,0.166666667
126,10,1.1058542,22,0.061728395,0.371475776,0.126984127
127,6,0.91666669,21,0.037037037,0.280502728,0.119047619
128,8,0.98558021,17,0.049382716,0.313640608,0.087301587
129,12,1.2052853,24,0.074074074,0.419288394,0.142857143
130,23,1.6531878,23,0.141975309,0.634667599,0.134920635
131,29,1.6474625,31,0.179012346,0.631914521,0.198412698
132,32,1.6684235,45,0.197530864,0.641993865,0.30952381
133,0,0.98558021,17,0,0.313640608,0.087301587
134,0,1.1,19,0,0.368660715,0.103174603
135,10,1.3057258,23,0.061728395,0.467586394,0.134920635
136,9,1.2241485,30,0.055555556,0.428358987,0.19047619
137,19,1.5395753,44,0.117283951,0.580035687,0.301587302
138,24,1.6531878,23,0.148148148,0.634667599,0.134920635
139,42,1.7925211,35,0.259259259,0.701667661,0.23015873
140,20,1.569167,29,0.12345679,0.594265206,0.182539683
141,12,1.2726263,39,0.074074074,0.451670109,0.261904762
142,18,1.4803609,45,0.111111111,0.551561744,0.30952381
143,0,0.8870222,18,0,0.266247825,0.095238095
144,24,1.4864661,27,0.148148148,0.554497501,0.166666667
145,0,0.91666669,21,0,0.280502728,0.119047619
146,0,0.91666669,21,0,0.280502728,0.119047619
147,0,1.1,19,0,0.368660715,0.103174603
148,10,1.4244281,22,0.061728395,0.524665797,0.126984127
149,14,1.569167,29,0.086419753,0.594265206,0.182539683
150,20,1.569167,29,0.12345679,0.594265206,0.182539683
151,36,1.7925211,35,0.222222222,0.701667661,0.23015873
152,0,1.0445806,26,0,0.342011642,0.158730159
153,0,1.0445806,26,0,0.342011642,0.158730159
154,36,1.7925211,35,0.222222222,0.701667661,0.23015873
155,12,1.3988512,25,0.074074074,0.512366842,0.150793651
156,4,1.1058542,22,0.024691358,0.371475776,0.126984127
157,6,1.3006579,29,0.037037037,0.465149435,0.182539683
158,22,1.8105773,27,0.135802469,0.710350198,0.166666667
159,19,1.569167,29,0.117283951,0.594265206,0.182539683
