Ref,x1,y1,x2,y2,Choice,Choice R3,Choice R5,Choice R7,Choice R9,Choice [Connectivity Wgt],Choice [Connectivity Wgt] R3,Choice [Connectivity Wgt] R5,Choice [Connectivity Wgt] R7,Choice [Connectivity Wgt] R9,Choice [Connectivity Wgt][Norm],Choice [Connectivity Wgt][Norm] R3,Choice [Connectivity Wgt][Norm] R5,Choice [Connectivity Wgt][Norm] R7,Choice [Connectivity Wgt][Norm] R9,Choice [Norm],Choice [Norm] R3,Choice [Norm] R5,Choice [Norm] R7,Choice [Norm] R9,Connectivity,Control,Controllability,Entropy,Entropy R3,Entropy R5,Entropy R7,Entropy R9,Harmonic Mean Depth,Harmonic Mean Depth R3,Harmonic Mean Depth R5,Harmonic Mean Depth R7,Harmonic Mean Depth R9,Integration [HH],Integration [HH] R3,Integration [HH] R5,Integration [HH] R7,Integration [HH] R9,Integration [P-value],Integration [P-value] R3,Integration [P-value] R5,Integration [P-value] R7,Integration [P-value] R9,Integration [Tekl],Integration [Tekl] R3,Integration [Tekl] R5,Integration [Tekl] R7,Integration [Tekl] R9,Intensity,Intensity R3,Intensity R5,Intensity R7,Intensity R9,Line Length,Mean Depth,Mean Depth R3,Mean Depth R5,Mean Depth R7,Mean Depth R9,Mean Depth [Connectivity Wgt],Mean Depth [Connectivity Wgt] R3,Mean Depth [Connectivity Wgt] R5,Mean Depth [Connectivity Wgt] R7,Mean Depth [Connectivity Wgt] R9,Node Count,Node Count R3,Node Count R5,Node Count R7,Node Count R9,RA,RA R3,RA R5,RA R7,RA R9,RA [Penn],RA [Penn] R3,RA [Penn] R5,RA [Penn] R7,RA [Penn] R9,RRA,RRA R3,RRA R5,RRA R7,RRA R9,Relativised Entropy,Relativised Entropy R3,Relativised Entropy R5,Relativised Entropy R7,Relativised Entropy R9,Total Connectivity,Total Connectivity R3,Total Connectivity R5,Total Connectivity R7,Total Connectivity R9,Total Depth,Total Depth R3,Total Depth R5,Total Depth R7,Total Depth R9,xinqiao_try1_Choice_R3,xinqiao_try1_Cluster_Kmeans_850,xinqiao_try1_Integration__HH__R,xinqiao_try1_Total_Connectivity
1146,64538.7612294,4259.90492157,64546.0569374,4294.45100988,57,7,21,31,41,9625,156,460,1371,3229,0.00090736675,0.14124037,0.038792375,0.0082075167,0.0029967183,4.5810619e-005,0.089743592,0.024390243,0.0023479513,0.00045291355,2,0.83333331,0.40000001,4.0960312,1.3386233,1.9543217,2.0179126,2.3387849,5.2096405,4.173913,5.4308572,7.0097609,8.6444111,0.70151252,1.0952908,1.0160992,0.97348094,0.9397375,0.70151252,1.0952908,1.0160992,0.97348094,0.9397375,0.68036348,0.60852319,0.62660754,0.65642071,0.67515296,0.35730806,1.0411515,0.68321818,0.41008386,0.35679212,35.308067,12.471483,2.4615386,3.9523809,5.9570551,7.5727701,11.897525,2.3617022,3.9675324,5.9221454,7.5190735,1579,14,43,164,427,0.014548488,0.24358974,0.14401859,0.061198212,0.030930683,0.61382401,0.17391305,0.21518987,0.15569489,0.16963227,1.4254913,0.91299957,0.98415589,1.0272415,1.064127,3.7472179,1.8866836,2.5123799,3.4047348,3.6258969,4606,47,154,578,1468,19680,32,166,971,3226,4,3,1.0952908,47
1147,64175.0424808,4189.03944904,64184.2130242,4246.56136184,12209,6,57,524,1944,80679,180,1465,7821,20521,0.0076057604,0.085207097,0.021172969,0.01104583,0.0099496702,0.0098123131,0.057142857,0.012242268,0.009039158,0.010639812,2,0.66666669,0.33333334,4.0945106,1.3419172,1.5642401,2.0138409,2.5588038,5.2185307,4.6451612,6.5216031,8.5412474,10.506588,0.78098279,1.1981546,1.2232257,1.1883029,1.1025817,0.78098279,1.1981546,1.2232257,1.1883029,1.1025817,0.68789333,0.62953198,0.66895968,0.69143498,0.69588113,0.3976402,1.0224131,0.47167856,0.40971658,0.42343941,58.248341,11.304182,2.4666667,4.3608246,5.9325514,7.0545454,10.713201,2.476923,4.3064518,5.8462186,6.9483013,1579,16,98,342,606,0.013068082,0.20952381,0.070017181,0.029015008,0.020048164,0.64127344,0.18518518,0.13756613,0.16938272,0.23751041,1.2804379,0.8346169,0.8175106,0.84153634,0.90696228,3.663873,1.9073327,3.084163,3.3481886,3.2652376,4606,65,372,1190,2031,17838,37,423,2023,4268,6,3,1.1981546,65
1148,64158.2298493,4243.50710118,64322.2804626,4210.41927365,9452,14,72,338,1290,59779,187,1033,4589,13277,0.0056354781,0.17674859,0.062371694,0.016403815,0.010218799,0.0075965258,0.21212122,0.06122449,0.015852915,0.011459027,3,1.5,0.5,4.1229057,1.4912097,1.8676918,1.9385433,2.3960283,5.3411541,4.8000002,6.3030305,8.1627903,10.050396,0.71405643,1.2123377,1.0451591,1.022884,0.98537695,0.71405643,1.2123377,1.0451591,1.022884,0.98537695,0.68159568,0.62951124,0.63426167,0.66678929,0.68150115,0.3660838,1.3846948,0.62674218,0.38659349,0.37381497,167.35414,12.269962,2.25,4.0612245,6.0434785,7.4252629,11.682371,2.3043478,4.0769229,6.0187168,7.3393302,1579,13,50,208,476,0.014292913,0.22727273,0.12755102,0.048965808,0.027110815,0.62060797,0.2857143,0.19354838,0.14496315,0.18916047,1.4004495,0.82485271,0.95679218,0.97762799,1.01484,3.7541864,1.5790722,2.6860833,3.4979618,3.5174742,4606,46,182,748,1612,19362,27,199,1251,3527,14,3,1.2123377,46
1149,64283.5604384,4155.95161033,64310.0530894,4267.43215791,375,12,89,204,272,11211,290,1115,2767,4769,0.001056882,0.12182315,0.059251782,0.0097599858,0.0036209312,0.00030138565,0.063157894,0.05993266,0.0093853511,0.0023660404,2,0.5,0.22222222,4.1387115,1.3400532,2.053369,2.0420139,2.4407649,5.4331765,5.4513273,7.0679884,9.1062946,11.194759,0.71582752,1.4382962,1.2045035,1.052601,0.99613178,0.71582752,1.4382962,1.2045035,1.052601,0.99613178,0.68176824,0.66857558,0.6551789,0.6697613,0.68264186,0.36839876,1.0050398,0.75650436,0.41795605,0.38403922,114.58522,12.242079,2.45,3.7818182,5.9138756,7.3708334,11.6561,2.2753623,3.7886598,5.9136786,7.2908196,1579,21,56,210,481,0.01425755,0.15263158,0.1030303,0.047248803,0.026600556,0.62154669,0.21621622,0.27142859,0.16707218,0.19610935,1.3969846,0.69526708,0.8302176,0.95002764,1.0038832,3.7623265,1.9283266,2.348171,3.4035649,3.4973147,4606,69,194,753,1623,19318,49,208,1236,3538,12,3,1.4382962,69
1150,64218.3477632,4222.63631628,64245.3498903,4281.68537059,6304,8,30,140,612,36804,62,362,1632,6106,0.0034695819,0.28117913,0.089382716,0.022135416,0.0085516712,0.0050664935,0.38095239,0.1,0.026651436,0.010434248,2,0.83333331,0.40000001,4.1258535,1.5306391,1.8861827,1.9314617,2.1517293,4.9318399,3,3.7261147,4.7891526,5.9262424,0.65603036,0.98510355,0.79435408,0.83372128,0.86258996,0.65603036,0.98510355,0.79435408,0.83372128,0.86258996,0.67574322,0.56457502,0.57733947,0.6290946,0.66298372,0.33657384,2.0408521,0.67179108,0.38853389,0.31727171,64.930008,13.266793,2,3.96,6.0291262,7.8046646,12.6802,2,4.022222,6.0625,7.7514644,1579,8,26,104,344,0.015557125,0.33333334,0.24666667,0.098610319,0.039793361,0.60024369,0.36363637,0.17777778,0.1323283,0.13810931,1.5243196,1.0151217,1.2588844,1.1994416,1.1592994,3.8411868,1.1403179,2.6055133,3.5120969,3.8340225,4606,21,90,384,1195,20935,14,99,621,2677,8,3,0.98510355,21
1151,64207.1393422,4280.66727998,64282.5414861,4275.06780956,3154,4,12,48,204,18408,24,118,528,2248,0.0017353566,0.33333334,0.11153119,0.031880207,0.0080356887,0.0025348542,0.40000001,0.18181819,0.040816326,0.0095680319,2,1.5,0.66666669,4.1275983,1.4874687,2.0612028,2.0158899,1.9741678,4.3268661,2,2.2222223,2.8382988,3.5128102,0.60666823,0.69804502,0.58661503,0.65322441,0.73647648,0.60666823,0.69804502,0.58661503,0.65322441,0.73647648,0.67043012,0.43067655,0.49643403,0.57986921,0.63669819,0.31137919,2.2312031,0.89318788,0.4217343,0.28338641,75.609772,14.264893,2,3.5833333,5.8979592,8.0048313,13.678897,1.75,3.9565217,5.9890108,7.9973264,1579,6,13,50,208,0.016822945,0.5,0.46969697,0.20408164,0.068008065,0.58109188,0.2857143,0.18421052,0.12087912,0.10493827,1.6483474,1.4325724,1.7046956,1.5308675,1.3578167,3.9268849,1.1120105,2.1564758,3.4028392,4.0579443,4606,12,46,182,748,22510,10,43,289,1657,4,3,0.69804502,12
1152,64271.3330652,4265.9050164,64282.032037,4301.02902516,0,0,0,0,0,4603,5,18,87,381,0.00043393343,0.15625,0.081632651,0.021481482,0.0051676431,0,0,0,0,0,1,0.5,0.5,4.1288652,1.5,2.125,2.0690629,1.9771818,3.7401628,1.3333334,1.5,1.8705035,2.3056839,0.56416452,0.33333334,0.40563086,0.48985168,0.59981614,0.56416452,0.33333334,0.40563086,0.48985168,0.59981614,0.66557091,0,0.38776192,0.51904142,0.59760988,0.28965157,3,1.0625,0.45206416,0.28599015,36.717354,15.264258,2,3.4285715,5.8000002,7.9902911,14.678463,1.875,3.6190476,5.9333334,8.041667,1579,4,8,26,104,0.018090373,1,0.80952382,0.40000001,0.13706453,0.56304234,0,0.055555556,0.069767445,0.086294413,1.7725325,3,2.4652956,2.0414343,1.6671776,4.0090261,0.81028318,1.7467526,3.2687089,4.0519643,4606,8,21,90,384,24087,6,24,145,823,0,3,0.33333334,8
1153,64830.3966176,3931.10343573,64873.1106461,3991.83742312,163,18,88,130,150,10615,466,1505,3091,5157,0.0010006959,0.12899654,0.031936679,0.0066385674,0.002774681,0.00013100229,0.065217391,0.025859537,0.0035272411,0.00091531506,2,0.41666666,0.2,4.0858097,1.2859832,1.8324999,2.1269207,2.532352,5.3484402,5.7435899,7.6708255,9.9510717,12.236549,0.76734424,1.5346701,1.2643336,1.1498877,1.0590388,0.76734424,1.5346701,1.2643336,1.1498877,1.0590388,0.68664575,0.68154991,0.66969401,0.68383932,0.69141442,0.38986546,0.91855943,0.60364705,0.44324377,0.40727654,74.25029,11.487326,2.5,4.0843372,5.8198528,7.2303667,10.910551,2.3411765,4.0488601,5.7844558,7.1353736,1579,25,84,273,574,0.01330035,0.13043478,0.075227737,0.035570871,0.021784497,0.63489753,0.2,0.20496894,0.18621974,0.21503958,1.3031961,0.65160584,0.79093051,0.86965013,0.94425249,3.6564496,2.0404875,2.7378891,3.2572272,3.377517,4606,85,307,965,1928,18127,60,339,1583,4143,18,3,1.5346701,85
1154,64826.2895136,3803.89034449,64840.2537053,3958.18751134,2579,25,130,397,772,33351,554,2957,7939,14667,0.0031440612,0.11304969,0.025668403,0.0094972691,0.0052936883,0.0020727296,0.13157895,0.014588711,0.0059111686,0.0030585765,4,1.6666666,0.5,4.023922,1.3727047,1.6130142,2.1504605,2.5912843,5.3416414,6.8571429,9.6552715,12.513339,15.361335,0.83058274,1.4896638,1.3775719,1.2524498,1.1318834,0.83058274,1.4896638,1.3775719,1.2524498,1.1318834,0.69228947,0.67561632,0.68879199,0.69774008,0.70113426,0.41560522,1.0676593,0.4926627,0.45298767,0.42540798,154.92776,10.688847,2.4000001,4.3059702,5.7629428,7.1012659,10.110725,2.4949496,4.1750002,5.6906419,6.9583688,1579,21,135,368,712,0.012287694,0.14736842,0.049713835,0.026027009,0.017186664,0.65076065,0.24324325,0.15779468,0.19853279,0.23248407,1.2039739,0.67129236,0.7259149,0.79843521,0.88348323,3.5529521,1.9084357,3.0279725,3.1926947,3.2902663,4606,99,480,1293,2354,16867,48,577,2115,5049,25,3,1.4896638,99
1155,64825.9703478,3830.7244073,64853.559648,3669.03414205,10889,30,546,1915,4080,104320,1353,9021,26418,49516,0.0098344414,0.05642084,0.027980378,0.016056666,0.012604608,0.0087514352,0.024489796,0.022665007,0.013869274,0.010719127,3,0.70833331,0.23076923,3.9964178,1.0372025,1.7690438,2.299485,2.7512178,5.3035951,8.6888456,12.389257,16.083036,19.647383,0.92227322,1.9201292,1.6720611,1.4295254,1.2627902,0.92227322,1.9201292,1.6720611,1.4295254,1.2627902,0.6998961,0.72191501,0.7183947,0.71632826,0.71395987,0.45833406,0.63731718,0.56742913,0.50874412,0.48323238,164.02716,9.7256021,2.6800001,4.1363635,5.5304184,6.7010307,9.1443768,2.589041,4.0473228,5.4272327,6.4980378,1579,51,221,527,874,0.011066077,0.068571426,0.028642591,0.017258735,0.013075759,0.67393672,0.13402061,0.20689656,0.23987241,0.28367877,1.0842774,0.52079827,0.59806424,0.69953287,0.79189718,3.4504964,2.4823501,2.7896636,2.989151,3.0644944,4606,219,803,1814,2803,15347,134,910,2909,5850,30,2,1.9201292,219
