Ref,x1,y1,x2,y2,Choice,Choice R3,Choice R5,Choice R7,Choice R9,Choice [Connectivity Wgt],Choice [Connectivity Wgt] R3,Choice [Connectivity Wgt] R5,Choice [Connectivity Wgt] R7,Choice [Connectivity Wgt] R9,Choice [Connectivity Wgt][Norm],Choice [Connectivity Wgt][Norm] R3,Choice [Connectivity Wgt][Norm] R5,Choice [Connectivity Wgt][Norm] R7,Choice [Connectivity Wgt][Norm] R9,Choice [Norm],Choice [Norm] R3,Choice [Norm] R5,Choice [Norm] R7,Choice [Norm] R9,Connectivity,Control,Controllability,Entropy,Entropy R3,Entropy R5,Entropy R7,Entropy R9,Harmonic Mean Depth,Harmonic Mean Depth R3,Harmonic Mean Depth R5,Harmonic Mean Depth R7,Harmonic Mean Depth R9,Integration [HH],Integration [HH] R3,Integration [HH] R5,Integration [HH] R7,Integration [HH] R9,Integration [P-value],Integration [P-value] R3,Integration [P-value] R5,Integration [P-value] R7,Integration [P-value] R9,Integration [Tekl],Integration [Tekl] R3,Integration [Tekl] R5,Integration [Tekl] R7,Integration [Tekl] R9,Intensity,Intensity R3,Intensity R5,Intensity R7,Intensity R9,Line Length,Mean Depth,Mean Depth R3,Mean Depth R5,Mean Depth R7,Mean Depth R9,Mean Depth [Connectivity Wgt],Mean Depth [Connectivity Wgt] R3,Mean Depth [Connectivity Wgt] R5,Mean Depth [Connectivity Wgt] R7,Mean Depth [Connectivity Wgt] R9,Node Count,Node Count R3,Node Count R5,Node Count R7,Node Count R9,RA,RA R3,RA R5,RA R7,RA R9,RA [Penn],RA [Penn] R3,RA [Penn] R5,RA [Penn] R7,RA [Penn] R9,RRA,RRA R3,RRA R5,RRA R7,RRA R9,Relativised Entropy,Relativised Entropy R3,Relativised Entropy R5,Relativised Entropy R7,Relativised Entropy R9,Total Connectivity,Total Connectivity R3,Total Connectivity R5,Total Connectivity R7,Total Connectivity R9,Total Depth,Total Depth R3,Total Depth R5,Total Depth R7,Total Depth R9,xinqiao_try1_Choice_R3,xinqiao_try1_Cluster_Kmeans_850,xinqiao_try1_Integration__HH__R,xinqiao_try1_Total_Connectivity
0,63680.4678251,3249.08839832,63917.2730845,3427.43399532,0,0,0,0,0,4597,200,794,1805,2794,0.00043336779,0.0091572991,0.0024627447,0.0010970657,0.00071123021,0,0,0,0,0,1,0.125,0.125,3.9847417,0.7648139,1.6856215,2.2645013,2.7301235,4.6958513,3.4231975,5.0337033,6.6384902,8.2193012,0.92153698,1.7391399,1.6458234,1.4229569,1.2600054,0.92153698,1.7391399,1.6458234,1.4229569,1.2600054,0.69983745,0.70577097,0.71666062,0.71590424,0.71377474,0.45663017,0.43703651,0.53217477,0.4987013,0.47846961,296.45215,9.7325726,2.8085105,4.1863637,5.5513306,6.7136312,9.1521931,2.6842105,4.0921545,5.4470782,6.5108814,1579,48,221,527,874,0.011074918,0.078630894,0.029099211,0.017338403,0.013104659,0.67367625,0.065934069,0.19425288,0.23636363,0.28209558,1.0851437,0.57499683,0.6075986,0.70276195,0.79364741,3.4518952,2.8105161,2.8705194,3.0126348,3.0746157,4606,209,803,1814,2803,15358,132,921,2920,5861,0,2,1.7391399,209
1,63870.1796092,3403.08158448,65384.6629633,3828.73716885,350858,563,7260,30588,76164,2610346,15088,110268,370881,786786,0.2460822,0.146403,0.13355902,0.13477476,0.15728533,0.28198284,0.075036652,0.11049724,0.1222161,0.15006857,8,2.6791666,0.17021276,3.9819877,1.2128465,1.9761075,2.4981928,2.9280865,5.4286637,24.420185,33.130646,41.508701,48.496914,1.0406277,2.8567924,2.0491352,1.6498207,1.4365231,1.0406277,2.8567924,2.0491352,1.6498207,1.4365231,0.70887691,0.78268468,0.7468732,0.73410189,0.72719055,0.51528919,0.79154193,0.68309891,0.59838474,0.56870824,1573.1632,8.7332067,2.5528455,3.9035814,5.1822033,6.1547618,8.152627,2.3986783,3.8093386,5.026854,5.9086308,1579,124,364,709,1009,0.0098074907,0.025456484,0.016041886,0.011830844,0.010237859,0.70000243,0.21399178,0.26907074,0.29950321,0.35276532,0.96095848,0.35004294,0.48801076,0.60612649,0.69612521,3.3566456,2.2565978,2.5329182,2.7467041,2.8195102,4606,454,1285,2346,3163,13781,314,1417,3669,6204,560,1,2.8567924,454
2,65333.0206864,3810.01241598,66753.0495132,4615.38143148,633828,902,10613,45100,110657,5012040,26950,189539,612261,1254159,0.47249439,0.13537237,0.12933649,0.16156755,0.22086291,0.50940442,0.081806637,0.093094043,0.12411318,0.18678935,12,3.1130953,0.22222222,3.8883245,1.2230722,1.9614842,2.5265918,2.9449825,5.4116597,33.99361,46.20079,56.911903,63.283691,1.1515034,3.0191584,2.1756222,1.7743555,1.5754564,1.1515034,3.0191584,2.1756222,1.7743555,1.5754564,0.71658725,0.79020977,0.75621033,0.74336129,0.73624974,0.55678469,0.79420269,0.67496473,0.62651259,0.61802679,1632.5138,7.9885931,2.5570469,3.9142261,5.0386868,5.7704315,7.3760314,2.4310617,3.7535048,4.7758808,5.4391689,1579,150,479,854,1090,0.0088631492,0.021041175,0.012218976,0.0094804857,0.008769176,0.71813416,0.21355931,0.26761305,0.32411224,0.40122175,0.8684299,0.33121812,0.45963863,0.56358492,0.63473672,3.2330635,2.2635891,2.5414078,2.6487477,2.6578238,4606,631,1712,2753,3370,12606,381,1871,4298,6284,879,1,3.0191584,631
3,66732.9812709,4597.27060492,67190.5371959,5562.56742772,1045423,1166,13661,61801,158037,8559797,32422,252164,874174,1870486,0.80694807,0.13659391,0.13695034,0.20933035,0.30802,0.84020132,0.092827007,0.092835352,0.15621896,0.25310096,14,4.203968,0.25,3.8267231,1.2231045,1.9269885,2.5270729,2.943373,5.6346798,38.114536,51.92194,62.897694,68.998306,1.2036759,3.0717015,2.1886528,1.8324332,1.6214546,1.2036759,3.0717015,2.1886528,1.8324332,1.6214546,0.72001487,0.79251009,0.75817561,0.7468667,0.7391085,0.57279325,0.79229438,0.64828801,0.64167058,0.63253975,1068.2488,7.685678,2.5597484,3.9797423,4.94382,5.6583185,7.0488491,2.4557331,3.7795727,4.6764708,5.3256817,1579,160,544,891,1119,0.0084789833,0.019743651,0.010995358,0.0088724867,0.0083407667,0.7192058,0.21269841,0.25161886,0.34010151,0.41535699,0.83078849,0.32555246,0.45690206,0.54572248,0.61673021,3.1546474,2.2715175,2.6108294,2.5959289,2.6201489,4606,689,1919,2890,3485,12128,407,2161,4400,6326,1165,1,3.0717015,689
4,67165.920152,5547.73087491,67311.481803,5585.58966486,599958,196,3772,19627,56150,5058329,8438,75109,288833,685381,0.47685814,0.078385107,0.06961108,0.085981853,0.11934904,0.48218328,0.035220128,0.048229128,0.063619718,0.094955757,4,0.59920633,0.10526316,3.853117,1.1184514,1.8557607,2.4282575,2.8832002,5.5595546,13.6,19.46562,25.113544,30.136894,1.1071299,2.6388514,1.9924997,1.6603624,1.460963,1.1071299,2.6388514,1.9924997,1.6603624,1.460963,0.71357471,0.77121663,0.74490106,0.73618436,0.72979957,0.53047973,0.70813191,0.61089301,0.57285327,0.56118053,150.40439,8.2686949,2.6037736,4.0479798,5.2455473,6.1433825,7.6415544,2.5280173,3.9251192,5.0239196,5.8220716,1579,107,397,787,1089,0.0092183826,0.030548068,0.015432809,0.01081668,0.0094634453,0.70683706,0.18660288,0.23316391,0.28924388,0.35440701,0.90323639,0.37895274,0.50188214,0.60227817,0.68448001,3.2312176,2.3699467,2.6909795,2.7858198,2.8111882,4606,464,1469,2592,3389,13048,276,1603,4123,6684,193,2,2.6388514,464
5,67289.9162766,5583.32901277,68045.7118955,5491.24965313,581892,278,3558,15654,46176,4893159,7257,56572,214925,557499,0.46128726,0.12932947,0.11269278,0.087771617,0.10740463,0.46766374,0.077871151,0.09307801,0.075138599,0.091163054,9,3.25,0.375,3.9072838,1.1316842,1.9164395,2.366276,2.8122811,5.8562121,20.600376,27.847752,35.304203,42.033073,1.012985,2.4394479,1.8740232,1.5167713,1.3396834,1.012985,2.4394479,1.8740232,1.5167713,1.3396834,0.7068544,0.75969189,0.73399162,0.72504115,0.72129035,0.49218994,0.71562386,0.64813888,0.53122163,0.5094859,761.38403,8.9442329,2.6117647,3.9711192,5.4628482,6.5263157,8.3250113,2.4716418,3.8732536,5.3330321,6.3088145,1579,86,278,647,1008,0.010075121,0.038375352,0.02152985,0.013838289,0.010986711,0.69181603,0.17964073,0.25045538,0.25214007,0.30610973,0.98718148,0.40992883,0.5336113,0.6592952,0.746445,3.3437362,2.3940437,2.6086543,2.9558303,2.9911327,4606,335,1002,2213,3222,14114,222,1100,3529,6572,269,2,2.4394479,335
6,68019.7569687,5498.10516375,68138.5609633,5430.77791026,386907,48,496,2541,9339,3339479,943,7414,32527,112839,0.31481895,0.081630886,0.03498812,0.022117995,0.026413843,0.31095526,0.096774191,0.032207791,0.021560391,0.023136323,3,0.94444442,0.21428572,3.9159031,1.3197978,1.7261472,2.1854556,2.6339631,5.6998839,8.3368425,11.805455,15.332852,18.815075,0.91840458,1.8077145,1.5446566,1.3447089,1.2093291,0.91840458,1.8077145,1.5446566,1.3447089,1.2093291,0.69958752,0.71187919,0.70625246,0.70937085,0.71086276,0.44721618,0.94681144,0.54461324,0.46294776,0.44046205,136.5553,9.7623577,2.46875,4.193182,5.7325101,6.9877644,9.1424227,2.5328948,4.1152072,5.6431489,6.8049951,1579,33,177,487,900,0.011112692,0.094758064,0.036493506,0.019515507,0.013335777,0.67256325,0.22950819,0.19020173,0.20552677,0.24776411,1.0888448,0.55318475,0.64739305,0.74365532,0.82690471,3.4544683,2.0203397,2.8667986,3.1656847,3.2244203,4606,152,651,1715,2923,15405,79,738,2786,6282,47,2,1.8077145,152
7,68116.8872616,5448.58177364,68185.1192855,5364.57618837,347298,7,80,712,3587,3063417,190,1929,11637,55367,0.28879404,0.11296076,0.020110089,0.014590303,0.017946418,0.2791217,0.051470589,0.013845622,0.01101826,0.012908217,2,0.66666669,0.33333334,3.9580636,1.2686099,1.4311405,2.0078983,2.4816239,5.4541874,4.7567568,6.5922236,8.6386337,10.67776,0.83842468,1.2409762,1.2361033,1.2118535,1.1124659,0.83842468,1.2409762,1.2361033,1.2118535,1.1124659,0.69296539,0.63823813,0.67236918,0.69430631,0.7005856,0.41266307,0.9133991,0.42046985,0.41114652,0.3964442,108.22453,10.598226,2.5294118,4.4444447,5.9000001,7.2694368,9.9748154,2.4137931,4.3972602,5.8083925,7.1316423,1579,18,109,361,747,0.012172765,0.19117647,0.064382136,0.02729805,0.016830703,0.65402716,0.16129032,0.11848341,0.17531557,0.21156439,1.192713,0.80581725,0.80899388,0.82518226,0.89890397,3.5619538,2.0459249,3.2579916,3.3352258,3.4018109,4606,58,438,1263,2484,16724,43,480,2124,5423,7,3,1.2409762,58
8,68163.8066506,5395.28880056,68291.3799513,5164.68480874,349617,15,138,1039,4630,3084832,214,2467,14570,65082,0.29081288,0.15236738,0.041694835,0.03116281,0.035605337,0.28098544,0.22727273,0.030907055,0.026600102,0.030445304,3,1.5,0.5,4.0631852,1.4912097,1.5072144,2.0839939,2.5445356,5.6395731,4.8000002,6.7372227,8.7655201,10.781045,0.77238488,1.2123377,1.2045209,1.1554135,1.0601097,0.77238488,1.2123377,1.2045209,1.1554135,1.0601097,0.68710887,0.62951124,0.66674399,0.68488348,0.69076347,0.39025363,1.3846948,0.45075572,0.43313777,0.41301093,263.53964,11.418884,2.25,4.3894739,5.8321428,7.173913,10.792662,2.4150944,4.2877908,5.7590485,7.1464434,1579,13,96,281,553,0.013213551,0.22727273,0.072116464,0.034639016,0.022409847,0.63728023,0.2857143,0.12972973,0.18444847,0.22191781,1.2946913,0.82485271,0.83020556,0.86549097,0.94329858,3.6622193,1.5790722,3.1612635,3.2582114,3.336648,4606,53,344,967,1912,18019,27,417,1633,3960,16,3,1.2123377,53
9,68279.8639452,5178.00109449,68362.2254906,5105.71748554,344943,10,194,982,4010,3053685,336,2750,13048,57915,0.28787661,0.062130179,0.052392926,0.049104229,0.060036667,0.27722898,0.047619049,0.039991755,0.04190135,0.048534878,2,0.66666669,0.33333334,4.1593285,1.1383957,1.7628411,2.323581,2.695281,5.816607,4.8979592,6.9085112,8.8509769,10.807196,0.7151019,1.3235294,1.352298,1.1761562,1.0356216,0.7151019,1.3235294,1.352298,1.1761562,1.0356216,0.68169761,0.65296358,0.68113446,0.68142468,0.6825754,0.36985862,0.75893044,0.58372223,0.52600271,0.45800692,109.58259,12.253486,2.6190476,4.060606,5.4423962,6.90172,11.62462,2.625,3.925926,5.3840876,6.8999281,1579,22,100,218,408,0.014272017,0.16190477,0.062461346,0.041133299,0.029072512,0.62116265,0.12820514,0.2150259,0.24746291,0.25403726,1.3984021,0.75555557,0.73948199,0.85022718,0.96560359,3.7937427,2.2659328,2.7277467,2.9452422,3.2078896,4606,104,324,729,1389,19336,55,402,1181,2809,10,3,1.3235294,104
10,68344.8390679,5115.6114844,68456.0594601,5086.66264607,342331,34,330,1142,3926,3034637,919,3959,13643,55953,0.2860809,0.056103293,0.058787279,0.089225627,0.10819606,0.27512974,0.020568663,0.050343249,0.082389437,0.085808583,3,0.90476191,0.17647059,4.2269211,1.0758612,2.0246027,2.596576,2.8644917,6.3545327,9.3207035,11.990356,13.854273,16.460876,0.66579878,2.0666742,1.6706721,1.3895617,1.0690318,0.66579878,2.0666742,1.6706721,1.3895617,1.0690318,0.67675656,0.73392826,0.70925206,0.69370633,0.67925262,0.34995326,0.6681664,0.78810042,0.74824142,0.53986704,114.92611,13.086819,2.6551723,3.5999999,4.4970059,6.3267326,12.45571,2.3480663,3.4577656,4.5135622,6.3716812,1579,59,116,168,304,0.015328876,0.058076225,0.045614034,0.042132601,0.035276376,0.60610878,0.15044248,0.33555555,0.4046891,0.32412061,1.5019553,0.48386922,0.59856153,0.71965146,0.93542588,3.9950018,2.4311416,2.2887826,2.380667,3.1137438,4606,181,367,553,1017,20651,154,414,751,1917,34,2,2.0666742,181
11,68423.9157118,5091.7709456,70495.5152809,4993.6065731,351612,1145,5625,11238,16531,3075865,16078,58888,101459,161822,0.28996754,0.49066162,0.79457581,0.88810593,0.52253824,0.28258884,0.37163258,0.71428573,0.97926104,0.54856479,14,4.4458332,0.26415095,4.2834935,1.4723403,2.2223275,2.6638236,2.9495289,6.7470956,29.513514,26.351851,20.502937,22.771452,0.62484771,3.3275511,2.2615888,1.8196146,1.1894671,0.62484771,3.3275511,2.2615888,1.8196146,1.1894671,0.67242569,0.8121649,0.74947023,0.72323388,0.68507206,0.33282334,1.3087471,1.1380467,1.034429,0.65280795,2073.9241,13.878961,2.1518986,2.9761906,3.5986843,5.5406504,13.250543,1.9453125,2.7428572,3.5104601,5.5095301,1579,80,127,153,247,0.016333494,0.029535865,0.031619046,0.03441966,0.037066534,0.59327972,0.41290322,0.49595141,0.55667788,0.42184266,1.60039,0.30052128,0.44216701,0.54956692,0.84071261,4.2550082,1.6633677,1.7965105,1.9916316,3.1282976,4606,256,385,478,787,21901,170,375,547,1363,1146,1,3.3275511,256
12,70450.2028722,5000.12907575,71080.1277794,4816.66121981,43688,74,866,2219,3138,378039,1873,10456,21664,29748,0.035638444,0.093649998,0.16973889,0.25279468,0.16471715,0.03511183,0.039132733,0.13685209,0.24172114,0.19051667,3,1.2714286,0.15000001,4.2905903,1.1090837,2.044646,2.5181055,2.9305942,6.50211,9.6161613,12.135237,11.91627,13.034677,0.58064836,2.1540251,1.7495488,1.5399878,1.1986701,0.58064836,2.1540251,1.7495488,1.5399878,1.1986701,0.66748911,0.7405498,0.71482867,0.70185578,0.67974073,0.30979204,0.69872266,0.83845198,0.85603088,0.71032947,656.09894,14.859316,2.6290324,3.4690266,3.9705882,5.1538463,14.230786,2.3599999,3.2649572,3.7512078,5.2778702,1579,63,114,137,183,0.017576812,0.053410895,0.044089761,0.044008713,0.045898851,0.57544696,0.16528925,0.36877829,0.49182391,0.46760562,1.7222127,0.46424714,0.57157594,0.64935583,0.83425784,4.3100066,2.3810751,2.1861615,2.1475346,2.6842372,4606,200,351,414,601,23448,163,392,540,938,74,2,2.1540251,200
13,71033.7472675,4835.39491402,71416.7303904,4607.45611045,0,0,0,0,0,4602,98,277,381,474,0.00043383916,0.018838909,0.0070161219,0.0051408331,0.0041490872,0,0,0,0,0,1,0.33333334,0.33333334,4.292335,0.77902287,1.6818979,2.3322561,2.7550714,5.4965734,2.5660377,3.7012029,4.6029453,5.2617245,0.5415951,1.1586275,1.316286,1.2007157,1.0775828,0.5415951,1.1586275,1.316286,1.2007157,1.0775828,0.66287047,0.62823492,0.67569864,0.67231894,0.66496575,0.28907263,0.46741372,0.5648638,0.63289857,0.63292181,445.6817,15.858682,2.8,4.0227275,4.7222223,5.3881578,15.230351,2.7254901,3.8256228,4.5012989,5.3158994,1579,21,89,127,153,0.018844238,0.18947369,0.069487981,0.059555557,0.058121298,0.55807906,0.027027028,0.22222222,0.36190477,0.43474576,1.8463979,0.86309022,0.75971335,0.83283669,0.92800289,4.3436694,2.7095447,2.7521665,2.576185,2.6349423,4606,102,281,385,478,25025,56,354,595,819,0,3,1.1586275,102
14,63683.7115659,3221.5411977,63920.5168253,3399.8867947,0,0,0,0,0,4597,143,930,1805,2715,0.00043336779,0.012378809,0.0021095108,0.0010970657,0.00073178858,0,0,0,0,0,1,0.125,0.125,4.0236845,0.92950588,1.4798224,2.2204719,2.7166386,4.8639903,3.3860464,4.986011,6.5690613,8.1260328,0.89554161,1.5738505,1.5792491,1.4331139,1.2677033,0.89554161,1.5738505,1.5792491,1.4331139,1.2677033,0.6977427,0.68751311,0.71384048,0.71643364,0.71352565,0.44808501,0.56090873,0.43545014,0.49333337,0.4833177,296.45215,9.9860582,2.7352941,4.4163265,5.5114942,6.6287427,9.3514977,2.6447368,4.3003197,5.3577728,6.4060206,1579,35,246,523,836,0.011396396,0.10516934,0.028002676,0.017318595,0.013498183,0.66420382,0.092307694,0.13711341,0.24300867,0.29259482,1.1166427,0.63538438,0.63321233,0.69778121,0.78882813,3.5617998,2.5770543,3.1776936,3.004225,3.0465424,4606,152,939,1814,2724,15758,93,1082,2877,5535,0,2,1.5738505,152
15,63873.4233499,3375.53438386,65369.3099898,3795.96323844,184629,394,5473,23523,52552,1430484,9588,84410,278642,535905,0.13485441,0.094276823,0.088263176,0.10786429,0.1123992,0.14838542,0.079595961,0.072522722,0.10159368,0.11182109,8,2.8666666,0.23529412,4.0209303,1.1948485,1.8706514,2.4792993,2.9159362,5.6630569,22.394779,31.176273,38.785595,45.420879,1.0075997,2.6281984,2.0124905,1.6718189,1.4414546,1.0075997,2.6281984,2.0124905,1.6718189,1.4414546,0.70645535,0.77074558,0.74574316,0.73476452,0.72688389,0.50381279,0.76866055,0.62461817,0.60670334,0.57257313,1553.8459,8.9866924,2.5799999,4.0051413,5.0939794,6.098969,8.3519325,2.5476718,3.8474331,4.8922129,5.8303108,1579,101,390,682,971,0.010128969,0.031919193,0.015490419,0.012041116,0.010524188,0.69016892,0.19796954,0.2438551,0.31414515,0.35965821,0.99245757,0.38048878,0.49689674,0.59815091,0.69374365,3.4794095,2.2980051,2.6513278,2.6970696,2.8064535,4606,451,1383,2273,3088,14181,258,1558,3469,5916,399,1,2.6281984,451
16,65336.2644271,3782.46521535,66756.293254,4587.83423085,406329,1128,15358,54546,114009,3402919,36536,268137,727639,1295558,0.32079953,0.12717818,0.19045958,0.20398498,0.24084584,0.32656461,0.066999286,0.14675164,0.16565938,0.2070162,12,3.6083333,0.19672132,3.959466,1.1551598,2.0320208,2.5695333,2.9799163,5.6071882,35.755283,47.437366,58.062126,64.439247,1.1111015,3.1151099,2.2861845,1.7988352,1.5780405,1.1111015,3.1151099,2.2861845,1.7988352,1.5780405,0.71384817,0.79415482,0.76100945,0.74395907,0.73586053,0.54707706,0.72688627,0.74200279,0.65241432,0.63079399,1632.5138,8.242712,2.6032608,3.7467248,4.9445815,5.7295237,7.5749025,2.453826,3.5846245,4.6649194,5.3548779,1579,185,459,813,1051,0.0091854306,0.017521977,0.012020678,0.0097276978,0.0090172049,0.70788497,0.19178082,0.30954996,0.33972377,0.40626493,0.90000772,0.32101595,0.43741,0.5559153,0.63369733,3.3660116,2.3627155,2.3884673,2.6073587,2.6561661,4606,758,1678,2671,3280,13007,479,1716,4015,6016,1145,1,3.1151099,758
17,66745.2506217,4572.75259246,67202.8065467,5538.04941526,483128,1665,19205,69583,143461,4267611,51113,358749,980812,1711906,0.40231568,0.17152473,0.21424885,0.25056496,0.30618039,0.3882876,0.10220995,0.14913261,0.19652829,0.24944186,15,3.4294012,0.20547946,3.9136014,1.2693226,2.033052,2.591207,2.9972756,5.7881579,42.933517,56.91222,68.133209,74.068398,1.1573806,3.2840333,2.289494,1.8477751,1.6163821,1.1573806,3.2840333,2.289494,1.8477751,1.6163821,0.71697938,0.80165809,0.76217085,0.74691206,0.73825198,0.56326467,0.84621513,0.72619188,0.67088068,0.64718014,1068.2488,7.953105,2.5138121,3.8070867,4.8681712,5.6365333,7.2624836,2.392487,3.6010928,4.5914941,5.220993,1579,182,509,843,1074,0.0088181421,0.016820135,0.01107332,0.0091989795,0.0086502479,0.70797402,0.2367688,0.29475766,0.35261381,0.4179925,0.86402005,0.30450362,0.43677774,0.5411914,0.61866564,3.2641919,2.1879077,2.4332983,2.5480697,2.6114771,4606,772,1830,2798,3344,12550,455,1934,4099,6048,1691,1,3.2840333,772
18,67178.1895028,5523.21286245,67323.7511538,5561.0716524,141280,91,2935,15970,38901,1198171,6408,66138,236334,458968,0.11295382,0.049273357,0.053938337,0.07496573,0.087984741,0.11354604,0.013643178,0.03288405,0.057624307,0.07485424,3,0.26111111,0.085714288,3.9219372,1.0143553,1.8409929,2.4629376,2.9073746,5.5128102,10.612078,15.377831,19.870262,23.964819,1.0798283,2.6043973,2.0252273,1.7014743,1.4835026,1.0798283,2.6043973,2.0252273,1.7014743,1.4835026,0.71167368,0.76915222,0.74737793,0.73765981,0.73011637,0.52663821,0.61492008,0.60651201,0.60201555,0.58181679,150.40439,8.4524717,2.6724138,4.0449171,5.0979867,6.0029411,7.7733393,2.5568628,3.8965516,4.866189,5.6606812,1579,117,424,746,1021,0.0094514536,0.029085457,0.014430887,0.011016093,0.0098193157,0.69942492,0.15283842,0.23424494,0.31377837,0.37186116,0.92607325,0.383966,0.49377173,0.58772558,0.67408037,3.2860961,2.5198123,2.6928759,2.6941705,2.7582951,4606,510,1566,2511,3230,13338,310,1711,3798,6123,81,2,2.6043973,510
19,67295.388038,5559.63915764,68057.9812463,5466.73164067,110211,263,2759,12975,30290,875477,5237,46599,168105,333212,0.082532853,0.15258434,0.072473705,0.072128244,0.073899239,0.088576034,0.16478696,0.062767312,0.067399099,0.07087867,9,3.3333333,0.39130434,3.9479263,1.3637739,1.7420142,2.3520157,2.8203418,7.3156281,18.872246,26.134935,33.065994,39.197418,0.98577702,2.3618517,1.7714412,1.5292273,1.3471631,0.98577702,2.3618517,1.7714412,1.5292273,1.3471631,0.70482081,0.75616449,0.72883248,0.72517622,0.72037405,0.48395121,0.97652948,0.54701817,0.53686374,0.52243179,768.23187,9.1634979,2.4385965,4.1986532,5.3896942,6.4054055,8.4889278,2.4465649,4.0881834,5.2153773,6.1225443,1579,58,298,622,926,0.0103532,0.051378448,0.021612521,0.014160303,0.011700012,0.65713829,0.26126125,0.19354838,0.26423752,0.32102117,1.0144281,0.42339662,0.56451207,0.65392506,0.74230063,3.3463686,2.0322115,2.8839438,2.8942845,2.9296796,4606,262,1134,2159,3003,14460,139,1247,3347,5925,264,2,2.3618517,262
20,68015.0210657,5481.5439617,68133.8250603,5414.21670821,23852,46,322,1832,5299,185651,712,5720,24774,58718,0.017501667,0.11768595,0.026262626,0.014123768,0.015642282,0.019169735,0.13105413,0.0262943,0.013734574,0.015703952,4,1.4444444,0.30769232,3.9166,1.4273674,1.6025323,2.0627956,2.6174469,12.346863,9.2477064,12.721637,16.567923,20.15868,0.90215826,1.7841618,1.4357098,1.3236413,1.2193965,0.90215826,1.7841618,1.4357098,1.3236413,1.2193965,0.69828039,0.71033168,0.69621927,0.70900786,0.70998728,0.43938267,1.1101747,0.48598868,0.42418742,0.44934475,136.5553,9.9201517,2.3703704,4.3248405,5.8742747,6.8333335,9.2472858,2.3727272,4.3121214,5.7501335,6.5999999,1579,28,158,518,823,0.011312812,0.10541311,0.042626165,0.018892538,0.014210313,0.60919541,0.27450982,0.15533981,0.18208374,0.26681957,1.1084529,0.56048727,0.69651955,0.75549173,0.82007784,3.4319265,1.8388038,3.0721891,3.3022449,3.158787,4606,110,660,1873,2740,15654,64,679,3037,5617,44,2,1.7841618,110
21,68112.1513586,5432.02057159,68180.3833825,5348.01498632,19382,12,130,841,3368,153515,246,2242,14084,41512,0.014472147,0.14625446,0.030094767,0.010975669,0.012889035,0.015577218,0.078431375,0.034750067,0.009378206,0.011991099,2,0.58333331,0.2857143,3.8973327,1.3052267,1.6408799,1.8404173,2.4567249,8.1374283,5.0574713,6.904779,9.07728,11.188207,0.8495872,1.3088794,1.2056167,1.2039025,1.1391406,0.8495872,1.3088794,1.2056167,1.2039025,1.1391406,0.69391882,0.64932406,0.66499388,0.69681412,0.70265383,0.41174147,0.95381951,0.50665766,0.36011848,0.40143612,108.22453,10.472116,2.5,4.2873564,6.125,7.1293335,9.7930956,2.3275862,4.3782382,6.0287142,6.9093776,1579,19,88,425,751,0.01201283,0.17647059,0.076450147,0.024231678,0.016366711,0.60217714,0.18181819,0.15384616,0.13872375,0.22920859,1.1770422,0.76401234,0.82945102,0.83063203,0.87785476,3.501271,1.9928683,2.9959071,3.5743873,3.3506138,4606,58,386,1602,2538,16525,45,373,2597,5347,12,3,1.3088794,58
22,68159.0707476,5378.72759851,68286.6440483,5148.12360669,22260,22,216,1370,4412,170780,293,3290,17701,48705,0.016099751,0.15748455,0.035258058,0.020915739,0.018223336,0.017890252,0.20952381,0.039560441,0.024342572,0.019627644,3,1.3333334,0.42857143,3.9901812,1.4528196,1.5651948,2.0610442,2.530225,8.0506849,5.647059,7.8929024,10.284714,12.661327,0.81163108,1.31797,1.258557,1.1973156,1.1042989,0.81163108,1.31797,1.258557,1.1973156,1.1042989,0.69063497,0.64956075,0.67385614,0.69185263,0.69798326,0.40271628,1.2234269,0.47267991,0.42403656,0.41020778,263.53964,10.915082,2.3333333,4.3523808,5.8779764,7.1788378,10.221233,2.4262295,4.3865743,5.8355112,6.9887543,1579,16,106,337,672,0.012574613,0.19047619,0.064468868,0.029122246,0.01844429,0.60010225,0.25925925,0.14146341,0.17844611,0.2224306,1.2320869,0.75874263,0.79456079,0.83520168,0.90555185,3.5384259,1.7175666,3.0925617,3.2969048,3.3366065,4606,61,432,1301,2312,17224,35,457,1975,4817,22,3,1.31797,61
23,68275.1280422,5161.43989244,68350.2983977,5095.46754389,38165,30,502,2924,8020,305963,729,8673,39705,92413,0.028843705,0.087614924,0.045564752,0.049079597,0.035152398,0.030673021,0.068965517,0.038021661,0.049275361,0.036990743,3,1,0.33333334,4.1051335,1.1652439,1.6917294,2.3110144,2.6774204,8.6529207,7.304348,10.362927,13.296412,16.269154,0.81152731,1.6092162,1.4925476,1.3133818,1.1424582,0.81152731,1.6092162,1.4925476,1.3133818,1.1424582,0.69062585,0.6907801,0.70118213,0.70108992,0.70050597,0.4142651,0.76856512,0.52745932,0.5182184,0.45079017,100.01466,10.916349,2.5999999,4.233129,5.4753623,6.949924,10.210812,2.5813954,4.1442466,5.3891511,6.7727866,1579,31,164,346,660,0.012576221,0.11034483,0.039915171,0.026019549,0.018084876,0.61531085,0.15789473,0.17912772,0.24646169,0.2511459,1.2322444,0.6214205,0.66999537,0.76139325,0.87530559,3.5887153,2.2749455,2.9072297,2.9538178,3.2250459,4606,129,617,1272,2293,17226,78,690,1889,4580,30,2,1.6092162,129
