Cluster_Kmeans_809962,Ref,x1,y1,x2,y2,Choice R7,Integration [HH] R7,Total Connectivity R7,choice归一化,integration归一化,connectivity归一化
2,380,67408.38135,4728.88632,67422.53233,4698.644303,411,1.3423253,1873,0.005906615,0.667337507,0.64626087
2,381,67333.69507,4680.184799,67379.29283,4738.312489,269,1.4274009,2224,0.003865887,0.723330132,0.768347826
2,382,67289.59327,4726.534076,67316.052,4756.990102,3431,1.5560379,2437,0.049308021,0.807992754,0.842434783
2,383,67301.86366,4856.448182,67314.53908,4748.402376,1039,1.3431067,2031,0.014931808,0.667851787,0.701217391
2,384,67302.2597,4765.816306,67349.39667,4805.789368,614,1.2420655,1702,0.008823994,0.60135138,0.586782609
2,385,67333.55222,4803.018895,67434.16352,4786.792329,1817,1.3099908,1489,0.0261127,0.646056511,0.512695652
3,386,67416.51837,4880.792659,67418.50619,4780.27816,100,1.1118449,1002,0.001437133,0.51564651,0.343304348
2,387,67363.23635,4793.38877,67369.99605,4907.80841,483,1.222708,1094,0.006941351,0.588611214,0.375304348
3,388,67336.59534,4858.544488,67424.07327,4856.160632,48,1.0612793,831,0.000689824,0.482366689,0.283826087
2,389,67344.29585,4800.07621,67345.54797,4863.568269,101,1.1556454,1273,0.001451504,0.54447387,0.437565217
3,390,67351.86597,5038.122756,67400.72096,5049.821941,17,1.0064887,557,0.000244313,0.446306179,0.188521739
3,391,67351.05832,4996.167138,67353.88457,5047.401447,2,0.99386811,557,2.87427E-05,0.43799992,0.188521739
3,392,67347.82841,5011.900478,67375.68937,4894.758246,255,1.1467471,931,0.003664688,0.538617441,0.318608696
2,393,67121.55415,4791.877879,67156.85067,4853.206043,4414,1.5902549,2575,0.063435034,0.83051272,0.890434783
2,394,67142.3154,4845.137599,67209.74356,4868.535968,3149,1.3982683,2106,0.045255307,0.704156471,0.727304348
2,395,67186.72885,4864.905228,67259.94804,4867.767872,1726,1.2620111,1569,0.024804909,0.614478604,0.540521739
2,396,67242.04435,4864.098396,67365.59531,4902.82669,3453,1.2878009,1586,0.04962419,0.631452197,0.546434783
3,397,67315.93266,4994.403087,67349.44475,4889.110428,0,1.1019958,992,0,0.509164311,0.339826087
3,398,67283.63188,4974.232043,67312.70241,4881.848815,275,1.105741,992,0.003952115,0.511629219,0.339826087
3,399,67240.83304,4990.772347,67253.05501,4864.895043,540,1.1451304,1022,0.007760516,0.537553408,0.35026087
2,400,67266.03274,4882.588983,67267.67882,4813.915878,1657,1.3734063,2025,0.023813288,0.687793511,0.699130435
2,401,67230.63833,4762.925205,67270.56007,4829.542081,2621,1.563482,2446,0.037667246,0.812892099,0.845565217
2,402,67148.7344,4853.285668,67294.06318,4730.522997,1112,1.4793915,2218,0.015980915,0.757547818,0.76626087
2,403,66926.57067,4986.679861,67153.34405,4849.842483,4408,1.5974889,2363,0.063348806,0.835273787,0.816695652
2,404,67153.68683,4972.699725,67163.35821,4848.626813,855,1.195889,1508,0.012287484,0.570960252,0.519304348
2,405,67097.84904,4874.098209,67147.98451,5005.89739,723,1.36903,1868,0.010390469,0.684913243,0.644521739
2,406,67124.64466,4968.001984,67166.81571,4961.376974,195,1.1889483,1419,0.002802409,0.56639222,0.488347826
3,407,67145.33224,4945.741908,67210.3129,4949.451877,384,1.0045456,884,0.005518589,0.445027325,0.30226087
3,408,67188.56413,5031.33757,67189.89027,4938.851835,81,0.81906438,389,0.001164077,0.322952601,0.130086957
3,409,67188.03388,4943.886858,67208.19087,4925.601683,20,0.6997304,208,0.000287427,0.244412775,0.067130435
3,410,67204.21246,4932.75682,67205.00835,4908.111566,38,0.74613333,267,0.00054611,0.274952928,0.087652174
3,411,67195.9907,4911.821667,67219.06525,4912.616594,150,0.90058434,497,0.002155699,0.376605077,0.167652174
3,412,67214.57217,4916.757887,67226.24209,4857.132533,375,1.0769594,973,0.005389247,0.492686569,0.333217391
3,413,67201.77949,4978.369103,67201.94586,4946.114373,94,0.9176057,497,0.001350905,0.387807708,0.167652174
3,414,67195.4563,4969.557316,67249.70335,4983.356907,312,0.99407458,568,0.004483854,0.438135809,0.192347826
2,415,66982.69831,4944.712074,67039.78096,5033.668784,596,1.3684763,1868,0.00856531,0.684548824,0.644521739
2,416,67027.84539,5130.79618,67034.23498,5018.004354,6,1.3531355,1839,8.6228E-05,0.674452255,0.634434783
2,417,66945.20333,5023.963133,67050.95419,5024.564289,3303,1.5757374,2349,0.047468491,0.820958007,0.811826087
