Ref,x1,y1,x2,y2,Choice,Choice R3,Choice R7,Choice [Connectivity Wgt],Choice [Connectivity Wgt] R3,Choice [Connectivity Wgt] R7,Choice [Connectivity Wgt][Norm],Choice [Connectivity Wgt][Norm] R3,Choice [Connectivity Wgt][Norm] R7,Choice [Norm],Choice [Norm] R3,Choice [Norm] R7,Connectivity,Control,Controllability,Entropy,Entropy R3,Entropy R7,Harmonic Mean Depth,Harmonic Mean Depth R3,Harmonic Mean Depth R7,Integration [HH],Integration [HH] R3,Integration [HH] R7,Integration [P-value],Integration [P-value] R3,Integration [P-value] R7,Integration [Tekl],Integration [Tekl] R3,Integration [Tekl] R7,Intensity,Intensity R3,Intensity R7,Line Length,Mean Depth,Mean Depth R3,Mean Depth R7,Mean Depth [Connectivity Wgt],Mean Depth [Connectivity Wgt] R3,Mean Depth [Connectivity Wgt] R7,Node Count,Node Count R3,Node Count R7,RA,RA R3,RA R7,RA [Penn],RA [Penn] R3,RA [Penn] R7,RRA,RRA R3,RRA R7,Relativised Entropy,Relativised Entropy R3,Relativised Entropy R7,Total Connectivity,Total Connectivity R3,Total Connectivity R7,Total Depth,Total Depth R3,Total Depth R7
1361,65366.385863,3679.16186945,65488.4102621,3699.59192499,0,0,0,4602,79,1674,0.00043383916,0.022935115,0.0011890539,0,0,0,1,0.33333334,0.33333334,3.9724073,0.9362781,2.0765402,4.5913806,2.5263157,4.9157634,0.8711518,1.013823,1.3278024,0.8711518,1.013823,1.3278024,0.69573307,0.59725368,0.70717257,0.43032596,0.59921801,0.44024572,123.72284,10.237642,2.7333333,5.7292576,9.5714283,2.7228916,5.5750895,1579,16,459,0.011715463,0.24761905,0.02069697,0.6548025,0.037037037,0.20572057,1.1479056,0.98636538,0.75312406,3.5493472,2.467025,3.1928449,4606,83,1678,16155,41,2624
1362,65272.7238965,3756.9278967,65390.7907482,3791.1976792,3154,6,632,18406,186,5744,0.001735168,0.05399913,0.0040800031,0.0025348542,0.057142857,0.0060390052,2,1.3333334,0.5,3.9742856,1.1216408,2.0830016,4.9796019,3.6666667,7.0484991,0.87127131,1.0983083,1.3290297,0.87127131,1.0983083,1.3290297,0.69574302,0.61229616,0.70725763,0.43058851,0.78027183,0.44202393,122.93982,10.236375,2.5999999,5.7248907,9.5705605,2.6746988,5.5727057,1579,16,459,0.011713856,0.22857143,0.020677859,0.65484989,0.11111111,0.20645398,1.1477481,0.91049111,0.75242865,3.5499036,2.2293227,3.190625,4606,83,1678,16153,39,2622
1363,65279.319791,3764.83630891,65297.1287818,3606.66812072,0,0,0,4603,16,1200,0.00043393343,0.088642657,0.0016583644,0,0,0,1,0.5,0.5,3.9755523,1.4575424,1.730069,4.0962572,1.6,3.0442545,0.78620481,0.42239243,1.1171083,0.78620481,0.42239243,1.1171083,0.68836641,0.25192964,0.68424672,0.38866925,1.8219281,0.33690262,159.16763,11.235742,2.25,6.1545739,10.570126,2.4736843,6.0074811,1579,5,318,0.012981283,0.83333331,0.032623887,0.63104755,0,0.13131313,1.2719332,2.3674667,0.8951683,3.6489763,1.2033685,3.6345105,4606,19,1203,17730,9,1951
1364,65805.2708809,3080.02031293,66407.5737747,3140.94434585,23629,30,340,162225,207,2918,0.015293255,0.4922711,0.08767502,0.018990511,0.45454547,0.097532988,3,1.0833334,0.33333334,4.3019562,1.4912097,2.2577903,5.6639328,4.8000002,6.6829505,0.56461608,1.5154221,0.85214609,0.56461608,1.5154221,0.85214609,0.66562402,0.68604112,0.62555325,0.30203596,1.7623388,0.4984732,605.37634,15.252851,2,5.5952382,14.704733,1.7586207,5.6744184,1579,13,85,0.018075906,0.18181819,0.11072863,0.57609743,0.42857143,0.20082815,1.7711151,0.65988213,1.1735077,4.0979223,1.3072186,3.1756773,4606,29,258,24069,24,470
1365,66122.3437273,3157.86767963,66146.7901169,2797.58818094,3687,18,156,25751,125,1089,0.002427595,0.36982247,0.099433891,0.0029632237,0.32727271,0.13265306,3,1.8333334,0.5,4.3117566,1.5262643,2.5014381,5.6010957,4.6153846,5.6403675,0.52803773,1.2052853,0.76475054,0.52803773,1.2052853,0.76475054,0.66120464,0.62747359,0.59704071,0.28311142,1.5262643,0.61309755,361.10794,16.240177,2.1818182,5.1836734,15.694746,1.8846154,5.3783784,1579,12,50,0.019328063,0.23636363,0.17431973,0.55954212,0.31578946,0.24908425,1.893804,0.82967907,1.307616,4.1704931,1.4668683,2.8265152,4606,26,148,25627,24,254
1366,65918.9166244,2844.85391807,66150.8947137,2897.92552465,0,0,0,4602,13,85,0.00043383916,0.089965396,0.021461936,0,0,0,1,0.33333334,0.33333334,4.3135014,1.4413203,2.4904642,4.8890214,2.1818182,3.1668239,0.49554279,0.63684219,0.63404906,0.49554279,0.63684219,0.63404906,0.65706766,0.44064268,0.55960178,0.26579586,1.4413203,0.6179347,237.97148,17.239544,2.3333333,5.1875,16.694311,2.1764705,5.280899,1579,7,33,0.020595489,0.53333336,0.2701613,0.54355031,0.11111111,0.21637426,2.0179892,1.5702478,1.577165,4.2298641,1.4406053,2.6905785,4606,17,89,27204,14,166
1367,66138.5835899,2857.09151644,66185.9728159,2591.01803647,340,8,94,10956,84,702,0.0010328427,0.24852072,0.1008331,0.00027325633,0.22222222,0.1268556,2,0.83333331,0.40000001,4.2848244,1.5142466,2.5773768,5.3777232,3.6923077,4.7278543,0.52569878,1,0.73567659,0.52569878,1,0.73567659,0.66091377,0.57812965,0.58456755,0.28009677,1.5142466,0.67382401,270.26068,16.307985,2.2222223,4.9487181,15.754017,2.1153846,5.1949153,1579,10,40,0.019414058,0.30555555,0.20782726,0.55758244,0.26666668,0.2769953,1.90223,1,1.3592929,4.1581917,1.4379251,2.6086721,4606,26,118,25734,20,193
1368,66169.461757,2598.5792155,66351.0833514,2630.8860368,3195,8,108,27894,92,972,0.0026296196,0.27218935,0.063477553,0.0025678058,0.17777778,0.067669176,2,0.83333331,0.40000001,4.2433138,1.4754353,2.314219,5.3657436,3.8709676,5.1668463,0.55872846,1.0207884,0.75949734,0.55872846,1.0207884,0.75949734,0.6649285,0.58639652,0.60134381,0.29481199,1.3524823,0.52844369,184.47258,15.403042,2.3,5.4736843,14.834347,2.0384614,5.5599999,1579,11,58,0.018266382,0.2888889,0.15977444,0.57163054,0.23529412,0.20560747,1.7897782,0.97963494,1.3166603,4.0747657,1.5687064,3.0561056,4606,26,175,24306,23,312
1369,66307.0538789,2628.13652224,66520.2611831,2629.51033449,7012,16,192,54747,137,1944,0.0051611019,0.30444443,0.056210153,0.0056355097,0.35555556,0.055077452,3,1.25,0.42857143,4.2281423,1.5531402,2.2851956,5.5190668,4.3636365,6.59271,0.59851909,1.3270249,0.85658431,0.59851909,1.3270249,0.85658431,0.66952008,0.65321249,0.62609935,0.31467935,1.8982824,0.50715828,213.21173,14.4455,2,5.5714288,13.867347,1.9,5.581749,1579,11,85,0.017051999,0.22222222,0.1101549,0.58812338,0.41176471,0.20496894,1.6707904,0.75356531,1.1674274,3.993293,1.229477,3.0898519,4606,30,263,22795,20,468
1370,66367.5393063,2812.07433715,66543.5805805,2809.28239142,2297,4,66,22738,58,944,0.0021435539,0.1856,0.02836368,0.0018460875,0.14285715,0.019873532,2,0.75,0.40000001,4.2188702,1.5388472,2.1789303,5.2879028,3.4285715,5.3678794,0.59688741,0.98558021,0.82068956,0.59688741,0.98558021,0.82068956,0.66933662,0.57015699,0.62091911,0.31313321,1.7312031,0.46731579,176.06342,14.482256,2.125,5.7317071,13.895788,2,5.6937985,1579,9,83,0.017098613,0.32142857,0.11683228,0.58699745,0.30769232,0.1762208,1.6753578,1.0146308,1.2184875,3.9858174,1.293768,3.1955607,4606,25,258,22853,17,470
1371,66384.0756607,2614.11297912,66396.3705966,2856.45383001,40,3,10,9380,40,368,0.00088427018,0.22160664,0.026077097,3.2147804e-005,0.14285715,0.0069881203,2,0.83333331,0.5,4.2306757,1.5306391,2.1682353,5.0763917,3,4.1448026,0.55715954,0.8619656,0.70445496,0.55715954,0.8619656,0.70445496,0.66474217,0.52832085,0.59140748,0.29310855,1.7493018,0.46949974,242.65254,15.4436,2.1428571,5.7222223,14.86561,1.8421053,5.7321429,1579,8,55,0.018317819,0.38095239,0.17819707,0.57042426,0.27272728,0.15841584,1.7948182,1.1601391,1.4195372,4.0649529,1.2942394,3.2413802,4606,19,168,24370,15,309
1372,66185.0188049,2501.26897543,66516.2881503,2564.34834128,0,0,0,4601,20,253,0.00043374489,0.064000003,0.0076017068,0,0,0,1,0.25,0.25,4.2180815,1.4005014,2.163929,4.9747372,2.5263157,4.1950421,0.59683132,0.80638385,0.81648093,0.59683132,0.80638385,0.81648093,0.66933036,0.52244276,0.62038398,0.31304523,1.2604512,0.46171236,337.22156,14.483523,2.375,5.7560978,13.897091,2.24,5.7170544,1579,9,83,0.017100221,0.39285713,0.11743451,0.58695865,0.15384616,0.17197452,1.6755153,1.2401042,1.2247684,3.9834847,1.602149,3.1869867,4606,25,258,22855,19,472
1373,65676.3429071,3083.72653049,65891.3795636,3083.72653049,14261,8,160,102861,100,1262,0.009696899,0.25510204,0.099837825,0.011461495,0.12121212,0.1161103,2,0.83333331,0.40000001,4.3219423,1.3845311,2.3987947,5.4856615,4.0975609,5.1297708,0.52891749,1.0697098,0.76423228,0.52891749,1.0697098,0.76423228,0.66131377,0.60170126,0.59960675,0.28425303,1.1249316,0.56813556,215.03665,16.214828,2.4166667,5.3207545,15.674772,2.0714285,5.4779873,1579,13,54,0.019295914,0.25757575,0.16618288,0.56027472,0.19047619,0.22895622,1.8906541,0.93483305,1.3085027,4.1715245,1.7917442,2.942538,4606,28,159,25587,29,282
1374,65648.6450472,2901.27298977,65783.6634931,3401.75636198,11305,8,138,85413,84,1004,0.0080520436,0.24852072,0.17215364,0.0090857726,0.22222222,0.18623482,2,0.83333331,0.40000001,4.3433852,1.5142466,2.5383334,5.4636016,3.6923077,4.6517572,0.49793279,1,0.72624487,0.49793279,1,0.72624487,0.65737927,0.57812965,0.58307385,0.26892814,1.5142466,0.65505373,518.37592,17.161596,2.2222223,5,16.630047,2.1153846,5.1203704,1579,10,40,0.020496635,0.30555555,0.21052632,0.54574114,0.26666668,0.26760563,2.0083032,1,1.3769461,4.2497635,1.4379251,2.6868598,4606,26,108,27081,20,195
1375,65327.1620919,2867.50137638,65665.2807727,2914.81279082,8807,15,146,66770,111,969,0.0062945327,0.38541666,0.2882213,0.0070781424,0.41666666,0.29435483,3,1.5,0.5,4.3729305,1.563269,2.6677737,5.5329018,4,4.5933013,0.47371134,1.2222222,0.74528575,0.47371134,1.2222222,0.74528575,0.65416425,0.63092977,0.57870042,0.25758624,1.9540863,0.77908438,341.41266,17.987959,2,4.5625,17.479591,1.8333334,4.5609756,1579,10,33,0.021544654,0.25,0.22983871,0.53527033,0.40000001,0.33333334,2.1109903,0.81818181,1.3417672,4.3308105,1.2090708,2.380646,4606,24,82,28385,18,146
1376,65349.6600089,2933.08989557,65390.665379,2866.04686216,1541,5,38,17962,57,307,0.0016933114,0.25850341,0.140955,0.0012384941,0.17857143,0.1005291,2,0.83333331,0.40000001,4.3795166,1.5388472,2.6258333,5.2965503,3.4285715,3.8554218,0.44767609,0.98558021,0.67026711,0.44767609,0.98558021,0.67026711,0.65055764,0.57015699,0.56039417,0.24379539,1.7312031,0.73931229,78.58886,18.97592,2.125,4.7142859,18.470907,1.9047619,4.4848485,1579,9,29,0.022797614,0.32142857,0.27513227,0.52103066,0.30769232,0.29251701,2.233758,1.0146308,1.4919425,4.3968439,1.293768,2.4552658,4606,21,66,29944,17,132
1377,65245.2826665,2945.00865632,65374.263231,2919.68129112,1219,6,36,15676,67,309,0.0014778059,0.25330812,0.13365053,0.00097970432,0.16666667,0.088669948,2,0.83333331,0.40000001,4.3435688,1.5142466,2.6393471,5.2372565,3.6923077,4.0167365,0.44557121,1,0.67386353,0.44557121,1,0.67386353,0.65025872,0.57812965,0.56253713,0.2406574,1.5142466,0.73315197,131.44376,19.060837,2.2222223,4.7586207,18.580765,1.9565217,4.4852943,1579,10,30,0.022905309,0.30555555,0.26847291,0.51876807,0.26666668,0.28758171,2.2443101,1,1.4839799,4.4003806,1.4379251,2.5059166,4606,23,68,30078,20,138
