Ref,Choice R3,Integration [HH] R3,Total Connectivity R3,Choice R3,Integration [HH] R3,Total Connectivity R3
32,6,0.84912294,14,0.007272727,0.194087149,0.0155902
33,6,0.84912294,14,0.007272727,0.194087149,0.0155902
34,30,1.9174613,90,0.036363636,0.596093601,0.184855234
35,26,1.7495173,72,0.031515152,0.532897731,0.144766147
36,10,1.1768752,57,0.012121212,0.31741748,0.111358575
37,6,0.8870222,31,0.007272727,0.208348312,0.053452116
38,6,0.84912294,16,0.007272727,0.194087149,0.020044543
39,6,0.84912294,14,0.007272727,0.194087149,0.0155902
40,6,0.84912294,14,0.007272727,0.194087149,0.0155902
41,6,0.84912294,14,0.007272727,0.194087149,0.0155902
42,6,0.84912294,14,0.007272727,0.194087149,0.0155902
43,6,0.84912294,14,0.007272727,0.194087149,0.0155902
44,6,0.84912294,14,0.007272727,0.194087149,0.0155902
45,6,0.84912294,14,0.007272727,0.194087149,0.0155902
46,6,0.84912294,14,0.007272727,0.194087149,0.0155902
47,6,0.84912294,14,0.007272727,0.194087149,0.0155902
48,6,0.84912294,14,0.007272727,0.194087149,0.0155902
49,8,1.0445806,39,0.00969697,0.26763617,0.071269488
50,8,1,26,0.00969697,0.250860877,0.042316258
51,12,1.2222222,25,0.014545455,0.334481162,0.040089087
52,12,1.2063863,30,0.014545455,0.328522251,0.051224944
53,10,1.1365665,44,0.012121212,0.302249666,0.082405345
54,16,1.4135897,81,0.019393939,0.406491091,0.16481069
55,50,1.8912494,155,0.060606061,0.58623029,0.329621381
56,51,2.0729513,210,0.061818182,0.654603138,0.452115813
57,31,2.0165863,64,0.037575758,0.633393478,0.126948775
58,0,1.471094,58,0,0.42812946,0.113585746
59,0,1.1663449,92,0,0.313455019,0.189309577
60,36,2.0712798,194,0.043636364,0.653974167,0.416481069
61,57,2.172699,199,0.069090909,0.692137332,0.427616927
62,0,1.4380959,105,0,0.415712562,0.218262806
63,14,1.3938289,74,0.016969697,0.399055274,0.14922049
64,6,1.0207884,39,0.007272727,0.258683372,0.071269488
65,6,1.0207884,39,0.007272727,0.258683372,0.071269488
66,14,1.3938289,75,0.016969697,0.399055274,0.151447661
67,17,1.5226898,92,0.020606061,0.447544512,0.189309577
68,26,1.7555087,134,0.031515152,0.535152243,0.28285078
69,65,2.1342585,231,0.078787879,0.677672505,0.498886414
70,145,2.3191147,269,0.175757576,0.747232289,0.583518931
71,103,2.2867606,316,0.124848485,0.735057722,0.688195991
72,129,2.5426433,357,0.156363636,0.831344161,0.779510022
73,313,2.5892975,352,0.379393939,0.848899731,0.768374165
74,57,2.1473613,268,0.069090909,0.682602975,0.581291759
75,172,2.2094638,243,0.208484848,0.705971607,0.525612472
76,0,0.42239243,13,0,0.033512163,0.013363029
77,6,0.8619656,21,0.007272727,0.198919731,0.031180401
78,14,1.3270249,27,0.016969697,0.373917509,0.04454343
79,14,1.3057258,30,0.016969697,0.365902842,0.051224944
80,8,1.0207884,33,0.00969697,0.258683372,0.057906459
81,8,1.0952908,38,0.00969697,0.286717978,0.069042316
82,34,1.5365106,54,0.041212121,0.452745159,0.10467706
83,8,1.0697098,34,0.00969697,0.27709207,0.06013363
84,6,0.91666669,35,0.007272727,0.219503276,0.062360802
85,10,1.1365665,48,0.012121212,0.302249666,0.091314031
86,22,1.6042534,86,0.026666667,0.478236187,0.175946548
87,72,2.0201983,133,0.087272727,0.634752642,0.280623608
88,113,2.3399084,207,0.136969697,0.755056778,0.445434298
89,636,2.8709838,297,0.770909091,0.954895841,0.645879733
90,130,2.494889,292,0.157575758,0.813374632,0.634743875
91,24,1.5154221,31,0.029090909,0.44480974,0.053452116
92,14,1.3057258,31,0.016969697,0.365902842,0.053452116
93,8,1.0207884,31,0.00969697,0.258683372,0.053452116
94,8,1.0445806,33,0.00969697,0.26763617,0.057906459
95,26,1.3873369,44,0.031515152,0.396612391,0.082405345
96,42,1.550553,39,0.050909091,0.458029192,0.071269488
97,10,1.1191936,29,0.012121212,0.295712394,0.048997773
98,6,0.91666669,24,0.007272727,0.219503276,0.037861915
99,12,1.4337122,115,0.014545455,0.414063014,0.240534521
100,30,1.8470125,138,0.036363636,0.569584329,0.291759465
101,55,2.0229185,135,0.066666667,0.63577623,0.285077951
102,30,1.7265038,99,0.036363636,0.524237951,0.204899777
103,42,1.6794915,89,0.050909091,0.506547631,0.182628062
104,8,1.1208336,47,0.00969697,0.296329512,0.08908686
105,6,0.8619656,23,0.007272727,0.198919731,0.035634744
106,6,0.84912294,15,0.007272727,0.194087149,0.017817372
107,6,0.84912294,14,0.007272727,0.194087149,0.0155902
108,6,0.84912294,14,0.007272727,0.194087149,0.0155902
109,6,0.84912294,14,0.007272727,0.194087149,0.0155902
110,6,0.84912294,14,0.007272727,0.194087149,0.0155902
111,6,0.84912294,14,0.007272727,0.194087149,0.0155902
112,6,0.84912294,14,0.007272727,0.194087149,0.0155902
113,6,0.84912294,14,0.007272727,0.194087149,0.0155902
114,6,0.84912294,14,0.007272727,0.194087149,0.0155902
115,6,0.84912294,15,0.007272727,0.194087149,0.017817372
116,6,0.8619656,20,0.007272727,0.198919731,0.028953229
117,8,1,26,0.00969697,0.250860877,0.042316258
118,14,1.3057258,30,0.016969697,0.365902842,0.051224944
119,32,1.9447519,181,0.038787879,0.606362817,0.38752784
120,8,1.2186118,74,0.00969697,0.3331226,0.14922049
121,6,0.8619656,29,0.007272727,0.198919731,0.048997773
122,6,0.84912294,16,0.007272727,0.194087149,0.020044543
123,6,0.8619656,19,0.007272727,0.198919731,0.026726058
124,8,0.98558021,21,0.00969697,0.245434836,0.031180401
125,12,1.2222222,24,0.014545455,0.334481162,0.037861915
126,4,0.70398736,10,0.004848485,0.13947389,0.006681514
127,6,0.84912294,16,0.007272727,0.194087149,0.020044543
128,8,0.98558021,24,0.00969697,0.245434836,0.037861915
129,6,0.91666669,31,0.007272727,0.219503276,0.053452116
130,6,0.87255627,14,0.007272727,0.202904908,0.0155902
131,4,0.70398736,9,0.004848485,0.13947389,0.004454343
132,101,2.0986729,152,0.122424242,0.664281953,0.322939866
133,160,2.2398014,186,0.193939394,0.717387383,0.398663697
134,177,2.3351038,247,0.214545455,0.753248848,0.534521158
135,51,2.3048933,286,0.061818182,0.7418809,0.621380846
136,182,2.4146974,368,0.220606061,0.783199229,0.804008909
137,89,2.3288808,359,0.107878788,0.750907188,0.783964365
138,342,2.6833332,350,0.414545455,0.884284549,0.763919822
139,164,2.494889,308,0.198787879,0.813374632,0.670378619
140,50,1.8649745,167,0.060606061,0.576343274,0.356347439
141,10,1.2409762,91,0.012121212,0.34153813,0.187082405
142,10,1.2196002,70,0.012121212,0.333494527,0.140311804
143,26,1.7495173,70,0.031515152,0.532897731,0.140311804
144,0,0.9216888,49,0,0.221393053,0.093541203
145,20,1.7217885,62,0.024242424,0.522463625,0.122494432
146,406,2.6927178,379,0.492121212,0.887815893,0.828507795
