Ref,x1,y1,x2,y2,Choice,Choice R3,Choice R7,Choice [Connectivity Wgt],Choice [Connectivity Wgt] R3,Choice [Connectivity Wgt] R7,Choice [Connectivity Wgt][Norm],Choice [Connectivity Wgt][Norm] R3,Choice [Connectivity Wgt][Norm] R7,Choice [Norm],Choice [Norm] R3,Choice [Norm] R7,Connectivity,Control,Controllability,Entropy,Entropy R3,Entropy R7,Harmonic Mean Depth,Harmonic Mean Depth R3,Harmonic Mean Depth R7,Integration [HH],Integration [HH] R3,Integration [HH] R7,Integration [P-value],Integration [P-value] R3,Integration [P-value] R7,Integration [Tekl],Integration [Tekl] R3,Integration [Tekl] R7,Intensity,Intensity R3,Intensity R7,Line Length,Mean Depth,Mean Depth R3,Mean Depth R7,Mean Depth [Connectivity Wgt],Mean Depth [Connectivity Wgt] R3,Mean Depth [Connectivity Wgt] R7,Node Count,Node Count R3,Node Count R7,RA,RA R3,RA R7,RA [Penn],RA [Penn] R3,RA [Penn] R7,RRA,RRA R3,RRA R7,Relativised Entropy,Relativised Entropy R3,Relativised Entropy R7,Total Connectivity,Total Connectivity R3,Total Connectivity R7,Total Depth,Total Depth R3,Total Depth R7
252,-2174.74301149,867.516999925,-2111.85126192,880.171060711,31634,48,906,208151,676,6762,0.037632581,0.26080248,0.21812551,0.040784646,0.14769231,0.25989673,4,1.2833333,0.33333334,5.1775551,1.4194113,2.6831429,15.7125,8.96,10.944085,0.4134514,1.7325417,1.0714279,0.4134514,1.7325417,1.0714279,0.63996702,0.70481801,0.65056616,0.27793419,1.0949745,0.74531746,64.152145,19.644463,2.3846154,4.6547618,18.732111,2.1111112,4.763052,1247,27,85,0.029950943,0.11076923,0.088066556,0.57788682,0.26530612,0.36438924,2.418664,0.5771867,0.93333387,6.0636706,1.8584157,2.4397948,3326,72,249,24477,62,391
253,-2196.42242103,896.471215865,-2183.88900342,872.403209269,2011,4,62,21829,75,704,0.0039465656,0.15608741,0.077256516,0.0025927143,0.07272727,0.048627451,2,0.53333336,0.2857143,5.2273221,1.4854122,2.5848024,12.952264,4.2105265,5.816503,0.3583914,1.2052853,0.83755606,0.3583914,1.2052853,0.83755606,0.63099688,0.62747359,0.60868257,0.2432356,1.4854122,0.68228287,27.135872,22.508829,2.1818182,4.8823528,21.596212,1.967742,4.7111111,1247,12,52,0.034552336,0.23636363,0.15529412,0.54291171,0.31578946,0.30526316,2.7902455,0.82967907,1.1939499,6.0068345,1.4589735,2.5377593,3326,31,135,28046,24,249
254,-2225.91243001,884.71441532,-2191.26711264,896.325287391,1303,11,96,16817,118,963,0.0030404232,0.32373112,0.11941224,0.0016799138,0.24444444,0.092753626,3,1.5,0.60000002,5.2737508,1.4754353,2.5381327,12.470784,3.8709676,5.0911069,0.34486693,1.1058542,0.76683491,0.34486693,1.1058542,0.76683491,0.62862527,0.60528529,0.59519225,0.23613527,1.4754353,0.64135611,36.539162,23.352327,2.2,5.0652175,22.422729,1.925926,4.9133859,1247,11,47,0.035907354,0.26666668,0.18067633,0.53448999,0.29411766,0.26666668,2.8996689,0.9042784,1.3040617,6.0537496,1.525843,2.6980624,3326,27,127,29097,22,233
255,-2220.74794006,889.229747862,-2211.71002286,866.00802351,1284,6,56,14526,95,627,0.0026262226,0.19771072,0.068806581,0.0016554178,0.10909091,0.043921567,2,0.53333336,0.2857143,5.2273221,1.4854122,2.5848024,12.952264,4.2105265,5.816503,0.3583914,1.2052853,0.83755606,0.3583914,1.2052853,0.83755606,0.63099688,0.62747359,0.60868257,0.2432356,1.4854122,0.68228287,24.918516,22.508829,2.1818182,4.8823528,21.596212,1.967742,4.7111111,1247,12,52,0.034552336,0.23636363,0.15529412,0.54291171,0.31578946,0.30526316,2.7902455,0.82967907,1.1939499,6.0068345,1.4589735,2.5377593,3326,31,135,28046,24,249
256,-2224.19093336,930.942869864,-2205.46951979,886.649560665,535,10,87,10589,106,887,0.0019144343,0.27040815,0.12527364,0.00068975741,0.35714287,0.10609756,2,0.66666669,0.33333334,5.3246331,1.4843777,2.5600355,12.150479,3.2,4.551724,0.3341296,1.1087778,0.7514056,0.3341296,1.1087778,0.7514056,0.62668854,0.60245162,0.58883059,0.23099034,1.9084858,0.66783535,48.087303,24.070625,2,4.9512196,23.12237,2.0714285,4.8655462,1247,9,42,0.037061248,0.2857143,0.19756098,0.52894717,0.38461539,0.28,2.9928508,0.90189397,1.3308392,6.1897206,1.2104051,2.6190879,3326,28,119,29992,16,203
257,-2232.36812614,919.331997793,-2210.63405757,935.028174505,1945,11,109,21598,150,1125,0.0039048023,0.24489796,0.12530631,0.0025076228,0.16666667,0.10531401,3,1.5,0.60000002,5.3087173,1.3845311,2.5750322,10.746411,4.0975609,5.2227979,0.34470606,1.1365665,0.79225481,0.34470606,1.1365665,0.79225481,0.6285966,0.61485791,0.59892607,0.23759001,1.199927,0.67236954,26.80932,23.362761,2.3333333,4.9347825,22.398075,2.1142857,4.8283582,1247,13,47,0.035924114,0.24242425,0.17487922,0.54340023,0.23809524,0.29019609,2.9010224,0.87984288,1.2622201,6.2167645,1.7640781,2.6220951,3326,35,134,29110,28,227
258,-2222.46943671,957.389862845,-2213.21632645,929.43777221,2116,7,81,20758,139,1025,0.0037529347,0.15759636,0.055609807,0.0027280874,0.089743592,0.041474655,2,0.47619048,0.22222222,5.2982993,1.4174378,2.536139,11.335085,4.48,6.4132791,0.36053035,1.3873683,0.86202955,0.36053035,1.3873683,0.86202955,0.63136536,0.6616419,0.61840665,0.24800973,1.4174378,0.63156766,29.443834,22.38122,2.1538463,5.0952382,21.415514,2,5.0677085,1247,14,64,0.03434734,0.1923077,0.13210446,0.55471426,0.34782609,0.27731094,2.7736914,0.72078913,1.160053,6.2589798,1.5205324,2.7324862,3326,42,192,27887,28,321
259,-2251.30468494,947.284108218,-2227.41878142,917.611886188,2246,7,63,23633,123,878,0.0042727194,0.13945578,0.047634549,0.0028956919,0.089743592,0.032258064,2,0.47619048,0.22222222,5.2982993,1.4174378,2.536139,11.335085,4.48,6.4132791,0.36053035,1.3873683,0.86202955,0.36053035,1.3873683,0.86202955,0.63136536,0.6616419,0.61840665,0.24800973,1.4174378,0.63156766,38.091694,22.38122,2.1538463,5.0952382,21.415514,2,5.0677085,1247,14,64,0.03434734,0.1923077,0.13210446,0.55471426,0.34782609,0.27731094,2.7736914,0.72078913,1.160053,6.2589798,1.5205324,2.7324862,3326,42,192,27887,28,321
260,-2243.77952713,977.454493725,-2225.27330662,944.987050758,4477,4,178,39315,150,2373,0.0071079405,0.092336103,0.050685633,0.0057720449,0.026143791,0.034556396,2,0.30952382,0.18181819,5.2602577,1.3832572,2.4760993,10.93542,5.305263,8.2032719,0.39045852,1.5365106,0.98913258,0.39045852,1.5365106,0.98913258,0.63634521,0.68252915,0.64653867,0.26666972,1.1946312,0.59311211,37.371315,20.742376,2.2777777,5.2254901,19.764883,2.0526316,5.1143789,1247,19,103,0.031714659,0.1503268,0.083673075,0.58045095,0.30303031,0.27072757,2.5610914,0.65082532,1.0109868,6.3216219,1.7183119,2.7963879,3326,57,306,25845,41,533
261,-2216.88096861,984.765047204,-2208.27343753,954.017735632,3766,9,139,44664,272,2674,0.008075011,0.16743614,0.057114784,0.0048553767,0.05882353,0.026985051,2,0.30952382,0.18181819,5.2602577,1.3832572,2.4760993,10.93542,5.305263,8.2032719,0.39045852,1.5365106,0.98913258,0.39045852,1.5365106,0.98913258,0.63634521,0.68252915,0.64653867,0.26666972,1.1946312,0.59311211,31.929403,20.742376,2.2777777,5.2254901,19.764883,2.0526316,5.1143789,1247,19,103,0.031714659,0.1503268,0.083673075,0.58045095,0.30303031,0.27072757,2.5610914,0.65082532,1.0109868,6.3216219,1.7183119,2.7963879,3326,57,306,25845,41,533
