Ref,Choice R3,Integration [HH] R3,Total Connectivity R3,Choice R3 normal,Integration [HH] R3 normal,Total Connectivity R3 normal
116,14,1.4783703,22,0.0875,0.560735174,0.065217391
117,28,1.6812503,56,0.175,0.660087384,0.213043478
118,12,1.2063863,38,0.075,0.427542098,0.134782609
119,6,0.84912294,20,0.0375,0.252586931,0.056521739
120,0,0.42239243,12,0,0.043613059,0.02173913
121,28,1.5365106,68,0.175,0.589207016,0.265217391
122,87,2.1024222,144,0.54375,0.866339153,0.595652174
123,64,1.9805739,122,0.4,0.806668915,0.5
124,99,2.1471546,142,0.61875,0.888245022,0.586956522
125,22,1.3938289,68,0.1375,0.51933447,0.265217391
126,40,1.9363272,113,0.25,0.785000898,0.460869565
127,18,1.471094,48,0.1125,0.557171903,0.17826087
128,10,1.1191936,40,0.0625,0.384843027,0.143478261
129,8,1.0445806,40,0.05,0.348304352,0.143478261
130,14,1.3006579,44,0.0875,0.473707771,0.160869565
131,43,1.7925211,56,0.26875,0.714577722,0.213043478
132,15,1.4864661,45,0.09375,0.564699762,0.165217391
133,6,1.1058542,36,0.0375,0.3783106,0.126086957
134,5,1.0207884,37,0.03125,0.336653092,0.130434783
135,13,1.3076391,54,0.08125,0.477126529,0.204347826
136,24,1.4635203,64,0.15,0.553462992,0.247826087
137,32,1.6042534,82,0.2,0.622381291,0.326086957
138,52,1.8861139,107,0.325,0.760410981,0.434782609
139,0,1.2241485,55,0,0.436240411,0.208695652
140,36,1.6981779,65,0.225,0.668376986,0.252173913
141,42,1.7669872,61,0.2625,0.702073536,0.234782609
142,20,1.569167,49,0.125,0.605199157,0.182608696
143,8,1,33,0.05,0.32647282,0.113043478
144,0,0.49860358,20,0,0.080934363,0.056521739
145,12,1.1,32,0.075,0.375443744,0.108695652
146,20,1.4644111,56,0.125,0.553899225,0.213043478
147,28,1.550553,49,0.175,0.596083709,0.182608696
148,28,1.550553,46,0.175,0.596083709,0.169565217
149,28,1.5365106,64,0.175,0.589207016,0.247826087
150,12,1.2052853,35,0.075,0.427002928,0.12173913
151,8,1,28,0.05,0.32647282,0.091304348
152,8,1,28,0.05,0.32647282,0.091304348
153,12,1.2052853,38,0.075,0.427002928,0.134782609
154,16,1.3006579,41,0.1,0.473707771,0.147826087
155,18,1.3845592,43,0.1125,0.514795012,0.156521739
156,16,1.2989333,36,0.1,0.472863218,0.126086957
157,16,1.3057258,31,0.1,0.476189568,0.104347826
158,12,1.2123377,41,0.075,0.430456553,0.147826087
159,10,1.1058542,33,0.0625,0.3783106,0.113043478
