Ref,x1,y1,x2,y2,Choice,Choice R3,Choice R7,Choice [Connectivity Wgt],Choice [Connectivity Wgt] R3,Choice [Connectivity Wgt] R7,Choice [Connectivity Wgt][Norm],Choice [Connectivity Wgt][Norm] R3,Choice [Connectivity Wgt][Norm] R7,Choice [Norm],Choice [Norm] R3,Choice [Norm] R7,Connectivity,Control,Controllability,Entropy,Entropy R3,Entropy R7,Harmonic Mean Depth,Harmonic Mean Depth R3,Harmonic Mean Depth R7,Integration [HH],Integration [HH] R3,Integration [HH] R7,Integration [P-value],Integration [P-value] R3,Integration [P-value] R7,Integration [Tekl],Integration [Tekl] R3,Integration [Tekl] R7,Intensity,Intensity R3,Intensity R7,Line Length,Mean Depth,Mean Depth R3,Mean Depth R7,Mean Depth [Connectivity Wgt],Mean Depth [Connectivity Wgt] R3,Mean Depth [Connectivity Wgt] R7,Node Count,Node Count R3,Node Count R7,RA,RA R3,RA R7,RA [Penn],RA [Penn] R3,RA [Penn] R7,RRA,RRA R3,RRA R7,Relativised Entropy,Relativised Entropy R3,Relativised Entropy R7,Total Connectivity,Total Connectivity R3,Total Connectivity R7,Total Depth,Total Depth R3,Total Depth R7
1279,8846.27292554,2325.51099854,8921.37873706,2304.82620092,2750,6,52,14886,44,560,0.0021444815,0.22,0.032373685,0.0029069767,0.2857143,0.029378532,2,1.3333334,0.5,5.1906314,1.5306391,2.0487804,8.3498392,3,4.3444872,0.38992238,0.8619656,0.7194857,0.38992238,0.8619656,0.7194857,0.63865739,0.52832085,0.59727061,0.25799522,1.7493018,0.43394306,77.902145,21.134447,2.1428571,5.8166666,19.707729,2.05,5.7526884,1377,8,61,0.02928647,0.38095239,0.16327684,0.63915914,0.27272728,0.14749263,2.5646129,1.1601391,1.3898817,7.1749482,1.2942394,3.4017861,3726,20,186,29081,15,349
1280,8858.30912359,2263.45670813,8895.86202935,2325.0299484,0,0,0,3723,8,100,0.00053633645,0.1322314,0.018851919,0,0,0,1,0.5,0.5,5.1920838,1.4575424,2.4069626,7.0044327,1.6,2.4161074,0.37148556,0.42239243,0.5642221,0.37148556,0.42239243,0.5642221,0.63564754,0.25192964,0.53860891,0.24586469,1.8219281,0.58099097,72.121323,22.13372,2.25,5.3333335,20.707193,2.090909,5.7281551,1377,5,28,0.030739957,0.83333331,0.33333334,0.62764257,0,0.17021276,2.6918948,2.3674667,1.7723516,7.0720348,1.2033685,2.7611442,3726,11,103,30456,9,144
1281,8902.00028674,2204.37088283,9010.25815356,2137.2497119,9276,8,570,62934,290,5974,0.0090662902,0.082199544,0.026223321,0.0098054968,0.028985508,0.02780081,2,0.83333331,0.40000001,5.1465755,0.95948154,2.3778112,8.80758,4.5148516,8.1797657,0.46674442,1.3475152,1.1905301,0.46674442,1.3475152,1.1905301,0.65008605,0.65768135,0.68127662,0.30620614,0.59967595,0.555004,127.37746,17.820494,2.7083333,5.3103447,16.446592,2.5476191,5.3851852,1377,25,204,0.024466174,0.14855072,0.04267668,0.68215716,0.088888891,0.26900584,2.1425002,0.74210662,0.83996201,7.5552974,2.5187523,2.8232467,3726,84,675,24521,65,1078
1282,8773.44396104,2191.33294354,8792.29248215,2230.92960443,2750,4,26,14888,18,168,0.0021447695,0.36000001,0.10341644,0.0029069767,0.66666669,0.1368421,2,1.5,0.66666669,5.1278152,1.4575424,2.4922178,6.7484417,1.6,2.1818182,0.38158953,0.70398736,0.51494557,0.38158953,0.70398736,0.51494557,0.63731158,0.36907023,0.51230353,0.24942604,3.6438563,0.65420717,43.853874,21.574127,1.75,5.0500002,20.059582,1.6,5.2631578,1377,5,21,0.029926004,0.5,0.42631578,0.63127941,0.40000001,0.18181819,2.6206169,1.42048,1.9419529,7.0657802,0.79481012,2.6800849,3726,10,57,29686,7,101
1283,8774.8938988,2226.10071336,8866.23649487,2191.81583777,5496,6,60,29766,44,496,0.0042880988,0.34375,0.068888888,0.0058097253,0.40000001,0.11363637,2,1,0.5,5.1263628,1.5491613,2.419729,8.0079975,2.6666667,3.5657144,0.40103945,0.84912294,0.62597692,0.40103945,0.84912294,0.62597692,0.6404174,0.51139158,0.55946034,0.26206571,2.1688259,0.58348072,97.564964,20.576307,2,5.3030305,19.061192,1.875,5.75,1377,7,34,0.028474631,0.40000001,0.26893941,0.64302939,0.33333334,0.19774011,2.4935203,1.1776857,1.5975029,7.1650734,1.0911623,2.8944411,3726,16,120,28313,12,175
1284,8846.42148254,2188.43562939,8854.63739465,2229.48092174,8238,8,116,44628,82,1278,0.0064291228,0.28472221,0.029977482,0.0087082451,0.17777778,0.040701754,2,0.83333331,0.40000001,5.1231933,1.4754353,1.9865763,8.73417,3.8709676,5.1606946,0.42254555,1.0207884,0.77244353,0.42254555,1.0207884,0.77244353,0.64371365,0.58639652,0.61233419,0.27594903,1.3524823,0.41230828,41.859493,19.579943,2.3,5.8947368,18.063875,2,6.1095891,1377,11,77,0.02702537,0.2888889,0.13052632,0.65516591,0.23529412,0.14482759,2.3666086,0.97963494,1.294593,7.2799454,1.5687064,3.4963644,3726,24,292,26942,23,448
1285,8698.25549878,2247.62759205,8784.94313022,2192.15550804,0,0,0,3723,4,32,0.00053633645,0.1632653,0.052244898,0,0,0,1,0.5,0.5,5.1292677,1.5,2.4464312,5.8577967,1.3333334,1.6,0.36391443,0.33333334,0.40581906,0.36391443,0.33333334,0.40581906,0.63437659,0,0.46098471,0.23793969,3,0.6437977,102.91695,22.5734,2,5.1428571,21.059044,1.7142857,5.1142859,1377,4,15,0.031379491,1,0.63736266,0.61989576,0,0.079365082,2.7478988,3,2.4641523,6.9767642,0.81028318,2.6197641,3726,7,35,31061,6,72
1286,8642.29157161,2586.35937622,8780.72178056,2521.878833,2230,18,653,20378,428,7554,0.0029356608,0.044948541,0.0081923297,0.0023572939,0.055384614,0.0083072539,2,0.625,0.2,5.1039696,1.2454473,2.2534628,10.063228,5.818182,10.902945,0.50506335,1.5592874,1.391257,0.50506335,1.5592874,1.391257,0.65523046,0.68468726,0.70905536,0.32860324,0.86223269,0.51752925,152.71104,16.544331,2.5384614,5.3677583,14.922706,2.615942,5.1215024,1377,27,398,0.022609936,0.12307692,0.022059385,0.68324322,0.18367347,0.26556543,1.9799497,0.64131856,0.71877444,7.4823542,2.118223,2.9207323,3726,138,1358,22765,66,2131
1287,8726.03445233,2438.59830104,8748.2029344,2565.59051904,836,8,146,12114,186,3794,0.0017451464,0.11058264,0.004270385,0.00088372093,0.06666667,0.0019751082,2,0.83333331,0.40000001,5.0423765,1.2112218,1.9356146,9.5613708,4.3278689,7.9035492,0.49074638,1.1708162,1.2142032,0.49074638,1.1708162,1.2142032,0.65334612,0.62596482,0.69576466,0.31543487,0.85794878,0.3907674,128.91263,16.99782,2.5625,5.9688311,15.429415,2.4827585,5.771193,1377,17,386,0.023269556,0.20833333,0.025879329,0.68027598,0.13793103,0.16426387,2.0377126,0.854105,0.82358533,7.4893379,2.1209126,3.4167423,3726,58,1333,23389,41,2298
1288,8710.27012994,2456.81033392,8836.38457506,2388.39205387,1487,21,305,18545,289,5979,0.0026715982,0.16604424,0.0064651817,0.0015718816,0.2,0.0038997571,3,1.1666666,0.375,5.0451994,1.4989992,1.959349,9.5252924,5.915493,10.610677,0.49231189,1.3873369,1.2245148,0.49231189,1.3873369,1.2245148,0.65355432,0.66087639,0.69707513,0.31661835,1.3324437,0.3962616,143.47792,16.946947,2.2666667,5.9595962,15.398551,2.3220339,5.7845588,1377,16,397,0.023195561,0.18095239,0.025111878,0.68730587,0.2962963,0.16602972,2.0312326,0.72080547,0.81664997,7.5957146,1.6082193,3.4033527,3726,59,1360,23319,34,2360
1289,8733.423991,2322.92707645,8853.13400852,2534.5807902,3737,29,942,40221,605,14392,0.005794249,0.093105569,0.012393136,0.0039503169,0.15263158,0.0090406537,3,0.91666669,0.30000001,5.028275,1.4390807,2.1408224,9.6591759,6.9421487,12.917567,0.51429659,1.5448366,1.3730596,0.51429659,1.5448366,1.3730596,0.65642315,0.68307137,0.71023452,0.32964841,1.1623344,0.46958652,243.16205,16.265261,2.3499999,5.571116,14.687869,2.5526316,5.3143044,1377,21,458,0.022204017,0.14210527,0.020048754,0.69491649,0.27027026,0.23226754,1.9444034,0.64731765,0.72830045,7.6536355,1.7692264,3.0913091,3726,114,1524,22381,47,2546
1290,8800.91481621,2577.40372956,8897.96379611,2469.60802988,67605,44,4529,542791,2222,64257,0.078194633,0.040808082,0.043847308,0.071464062,0.022529442,0.032552756,4,1.1666666,0.30769232,4.9975758,0.92621666,2.3397126,9.8637247,10.495626,19.103016,0.54900646,2.0404003,1.6289212,0.54900646,2.0404003,1.6289212,0.66075915,0.73198307,0.72861838,0.34974903,0.54886913,0.58938479,145.04626,15.300145,2.7301588,4.9791665,13.722759,2.6575758,4.6793222,1377,64,529,0.020800211,0.055811573,0.015101202,0.70859683,0.11382114,0.33238006,1.8214723,0.49009994,0.61390328,7.8580351,2.6433508,2.6991725,3726,330,1712,21053,172,2629
1291,8376.75376912,2725.70491684,8814.70556754,2568.6874042,119646,290,9953,1011261,12208,144357,0.14568256,0.0605518,0.097591266,0.12647569,0.028562987,0.0702013,6,1.0165205,0.12765957,5.0558,1.097038,2.5642667,10.201959,19.85372,32.692223,0.56642199,2.8502152,1.833645,0.56642199,2.8502152,1.833645,0.66285282,0.7819941,0.74019539,0.36504835,0.68092012,0.72565889,465.24863,14.860465,2.6293707,4.5422139,13.232421,2.4771655,4.1802325,1377,144,534,0.020160677,0.022948882,0.013316593,0.71189898,0.17667845,0.40572867,1.7654682,0.3508507,0.54536188,7.858705,2.4212992,2.4000335,3726,635,1720,20448,376,2421
1292,8800.91173522,2563.76523315,8816.18350207,2590.34495683,41409,18,2110,379659,1563,45052,0.054693788,0.027362488,0.030778259,0.043772727,0.0089285718,0.015223555,3,0.66666669,0.25,4.9994397,0.85729945,2.3422492,9.7128773,8.6267281,15.962886,0.54900646,2.0112677,1.6313711,0.54900646,2.0112677,1.6313711,0.66075915,0.72978729,0.72873348,0.34987947,0.49753985,0.59116042,30.654667,15.300145,2.765625,4.9715371,13.719539,2.6745563,4.6697836,1377,65,528,0.020800211,0.056051586,0.015100901,0.70859683,0.096000001,0.33365169,1.8214723,0.49719888,0.61298132,7.856914,2.726326,2.6924055,3726,338,1711,21053,177,2620
