Ref,x1,y1,x2,y2,Choice,Choice R3,Choice R7,Choice [Connectivity Wgt],Choice [Connectivity Wgt] R3,Choice [Connectivity Wgt] R7,Choice [Connectivity Wgt][Norm],Choice [Connectivity Wgt][Norm] R3,Choice [Connectivity Wgt][Norm] R7,Choice [Norm],Choice [Norm] R3,Choice [Norm] R7,Connectivity,Control,Controllability,Entropy,Entropy R3,Entropy R7,Harmonic Mean Depth,Harmonic Mean Depth R3,Harmonic Mean Depth R7,Integration [HH],Integration [HH] R3,Integration [HH] R7,Integration [P-value],Integration [P-value] R3,Integration [P-value] R7,Integration [Tekl],Integration [Tekl] R3,Integration [Tekl] R7,Intensity,Intensity R3,Intensity R7,Line Length,Mean Depth,Mean Depth R3,Mean Depth R7,Mean Depth [Connectivity Wgt],Mean Depth [Connectivity Wgt] R3,Mean Depth [Connectivity Wgt] R7,Node Count,Node Count R3,Node Count R7,RA,RA R3,RA R7,RA [Penn],RA [Penn] R3,RA [Penn] R7,RRA,RRA R3,RRA R7,Relativised Entropy,Relativised Entropy R3,Relativised Entropy R7,Total Connectivity,Total Connectivity R3,Total Connectivity R7,Total Depth,Total Depth R3,Total Depth R7
1080,13848.0665754,1870.03198125,13863.491075,1818.92731163,0,0,0,4645,10,140,0.00043001486,0.1183432,0.013692601,0,0,0,1,0.5,0.5,5.5141172,1.4575424,2.167872,3.9356523,1.6,2.6422019,0.34834981,0.42239243,0.64417791,0.34834981,0.42239243,0.64417791,0.6369251,0.25192964,0.57429069,0.23548713,1.8219281,0.46901074,53.381668,24.430077,2.25,5.75,23.063253,2.2307692,5.8601398,1710,5,45,0.027435686,0.83333331,0.22093023,0.67627394,0,0.1399177,2.8706777,2.3674667,1.5523661,7.569663,1.2033685,3.1548908,4648,13,143,41751,9,253
1081,13876.4802039,1994.95437922,13964.9701912,2007.93343419,376,7,72,13120,259,2221,0.0012145953,0.077037476,0.0098952996,0.00025762495,0.045751635,0.0037676608,2,0.5,0.22222222,5.4064035,1.3832572,2.2660792,4.1778898,5.305263,9.2340422,0.42770129,1.4135897,1.0995336,0.42770129,1.4135897,1.0995336,0.64950234,0.66484892,0.67261356,0.28348309,1.0950786,0.4932791,89.43676,20.08309,2.3888888,5.6224489,18.671257,2.4024391,5.452239,1710,19,197,0.022345537,0.1633987,0.047409732,0.71765101,0.24242425,0.21558441,2.3380804,0.70741886,0.90947652,7.7850885,1.8215879,3.0601735,4648,82,670,34322,43,1102
1082,13935.7442872,2151.51315182,13960.0994498,1969.80781955,4499,60,698,58016,1349,12198,0.0053708809,0.13765307,0.031218648,0.003082592,0.12903225,0.020891324,6,2,0.46153846,5.402256,1.3993778,2.4303761,4.2314553,10.956522,18.268362,0.44860974,1.8855816,1.2702507,0.44860974,1.8855816,1.2702507,0.65249902,0.71999633,0.692527,0.29711366,1.0661926,0.56672448,183.33031,19.19368,2.3870969,5.3088803,17.773235,2.3214285,5.1628962,1710,32,260,0.021304075,0.092473119,0.033402175,0.72693342,0.27118644,0.27201566,2.229109,0.53034031,0.78724623,7.8967848,1.9228942,2.8273816,4648,140,884,32802,74,1375
1083,13672.7184301,2085.48780108,13949.5456916,2121.4993028,17543,46,765,165068,2005,14227,0.015281312,0.076466888,0.031133471,0.012019985,0.026884863,0.018255578,4,0.63644689,0.18181819,5.4155865,1.2116354,2.5236843,4.234406,12.027088,19.669352,0.45421937,2.2081959,1.3623438,0.45421937,2.2081959,1.3623438,0.65328377,0.74468225,0.70152473,0.30157134,0.79888046,0.61301512,279.15973,18.968988,2.5593221,5.1344829,17.542814,2.349345,4.9633889,1710,60,291,0.021040969,0.053769726,0.028612338,0.73030579,0.2,0.30250144,2.2015793,0.45285836,0.73402911,8.0538883,2.2343729,2.7314775,4648,229,956,32418,151,1489
1084,13820.283261,2078.87839528,13958.4756267,2095.54119285,524,3,93,21378,587,4181,0.0019790868,0.02766519,0.0092653744,0.0003590305,0.0022624435,0.0022660266,3,0.38644689,0.16666667,5.4070916,1.1607524,2.4790204,4.2100291,9.3150682,15.90385,0.45354,2.0531211,1.3281257,0.45354,2.0531211,1.3281257,0.65318912,0.73292494,0.69882727,0.30064794,0.75024247,0.58858854,139.19331,18.995905,2.5961537,5.2299652,17.569923,2.393204,5.0568423,1710,53,288,0.021072486,0.062594272,0.029580176,0.72990179,0.17821783,0.28630218,2.2048771,0.48706332,0.75294077,8.0187769,2.2998769,2.7878082,4648,206,950,32464,135,1501
1085,13819.652219,2054.17081446,13960.0994498,2071.20589599,874,12,188,27817,1020,6346,0.0025751828,0.04807239,0.014063158,0.00059884094,0.0090497741,0.0045807851,3,0.38644689,0.16666667,5.4070916,1.1607524,2.4790204,4.2100291,9.3150682,15.90385,0.45354,2.0531211,1.3281257,0.45354,2.0531211,1.3281257,0.65318912,0.73292494,0.69882727,0.30064794,0.75024247,0.58858854,141.47656,18.995905,2.5961537,5.2299652,17.569923,2.393204,5.0568423,1710,53,288,0.021072486,0.062594272,0.029580176,0.72990179,0.17821783,0.28630218,2.2048771,0.48706332,0.75294077,8.0187769,2.2998769,2.7878082,4648,206,950,32464,135,1501
1086,13823.7114128,2029.83523012,13961.7232729,2050.11507539,1802,6,160,32063,670,4982,0.0029682599,0.031576961,0.011040444,0.0012346812,0.0045248871,0.0038985405,3,0.38644689,0.16666667,5.4070916,1.1607524,2.4790204,4.2100291,9.3150682,15.90385,0.45354,2.0531211,1.3281257,0.45354,2.0531211,1.3281257,0.65318912,0.73292494,0.69882727,0.30064794,0.75024247,0.58858854,139.4939,18.995905,2.5961537,5.2299652,17.569923,2.393204,5.0568423,1710,53,288,0.021072486,0.062594272,0.029580176,0.72990179,0.17821783,0.28630218,2.2048771,0.48706332,0.75294077,8.0187769,2.2998769,2.7878082,4648,206,950,32464,135,1501
1087,13827.7706065,2144.21236153,13842.4192229,1948.02417707,10677,71,545,113153,1733,11285,0.010475236,0.17433731,0.037192609,0.0073155891,0.14314516,0.019991931,7,2.0333333,0.4375,5.4374814,1.4921153,2.4661276,4.2902012,12.639499,19.968586,0.43495658,2.072258,1.2436575,0.43495658,2.072258,1.2436575,0.65055531,0.7380603,0.68847674,0.28994927,1.2309951,0.57838327,196.7343,19.764774,2.28125,5.286325,18.341867,2.1843972,5.1052632,1710,33,235,0.021972803,0.082661293,0.036792487,0.72236073,0.32786885,0.27476501,2.2990801,0.4825654,0.80407989,8.0140133,1.7470766,2.8208473,4648,141,779,33778,73,1237
1088,13680.3018512,2067.68055375,13775.9640271,2080.8999403,0,0,0,4642,36,378,0.00042973715,0.040816326,0.0051269531,0,0,0,1,0.2,0.2,5.4530845,1.3270677,2.2383564,4.0998898,2.8235295,4.9349866,0.39300752,0.9792943,0.9319607,0.39300752,0.9792943,0.9319607,0.64425796,0.58048201,0.64337444,0.26273629,1.0616542,0.48532587,96.571236,21.7677,2.4545455,5.6608696,20.353916,2.4285715,5.4479165,1710,12,116,0.024318151,0.29090908,0.081769645,0.70120305,0.15789473,0.19880418,2.5444806,1.0211434,1.0730066,7.6915808,1.8175362,3.079181,4648,42,384,37201,27,651
1089,13604.4836522,2042.25887767,13703.7086313,2057.00333481,1,1,1,9278,128,982,0.00085891882,0.04803903,0.0078560002,6.8517272e-007,0.0083333338,8.948546e-005,2,0.44999999,0.25,5.4421563,1.4052724,2.3812668,4.21664,5.0526314,8.7045631,0.41016915,1.3304729,1.0705094,0.41016915,1.3304729,1.0705094,0.64689696,0.65185225,0.66399258,0.27366018,1.1376015,0.54563171,100.31448,20.898771,2.375,5.4000001,19.483219,2.3972602,5.2179999,1710,17,151,0.023300668,0.18333334,0.059060402,0.70970166,0.24137931,0.24914676,2.4380186,0.75161242,0.93413466,7.7528534,1.7740045,2.8802788,4648,73,500,35716,38,810
1090,13626.8729044,2016.32836561,13717.4474409,2032.59846828,3,3,3,9318,168,1022,0.00086262188,0.063051231,0.0081759999,2.0555183e-006,0.025,0.00026845638,2,0.44999999,0.25,5.4421563,1.4052724,2.3812668,4.21664,5.0526314,8.7045631,0.41016915,1.3304729,1.0705094,0.41016915,1.3304729,1.0705094,0.64689696,0.65185225,0.66399258,0.27366018,1.1376015,0.54563171,92.024254,20.898771,2.375,5.4000001,19.483219,2.3972602,5.2179999,1710,17,151,0.023300668,0.18333334,0.059060402,0.70970166,0.24137931,0.24914676,2.4380186,0.75161242,0.93413466,7.7528534,1.7740045,2.8802788,4648,73,500,35716,38,810
1091,13655.3680516,2115.47347726,13673.6864644,1974.12832582,22560,40,854,156933,1093,10550,0.014528207,0.10255207,0.046036799,0.015457497,0.063492067,0.041652441,4,1.4,0.30769232,5.4350376,1.2694343,2.5061378,4.266573,9.8865671,15.830454,0.43059278,1.8348413,1.2298864,0.43059278,1.8348413,1.2298864,0.64992368,0.71424079,0.68456322,0.28691119,0.86979759,0.60431695,142.52725,19.954945,2.5277777,5.1724138,18.536144,2.4041095,5.029542,1710,37,204,0.022195484,0.08730159,0.041311029,0.71954703,0.20289855,0.29239765,2.3223798,0.54500628,0.81308323,7.8840108,2.1402023,2.7439229,4648,146,677,34103,91,1050
