Ref,Choice R3,Integration [HH] R3,Total Connectivity R3,Choice R3,Integration [HH] R3,Total Connectivity R3
107,15,1.4516129,86,0.017142857,0.417420639,0.212365591
108,13,1.5763751,118,0.014857143,0.463990673,0.298387097
109,46,1.7307693,83,0.052571429,0.521621455,0.204301075
110,8,1.2989333,44,0.009142857,0.360429867,0.099462366
111,3,1.1191936,39,0.003428571,0.29333836,0.086021505
112,34,1.6812503,45,0.038857143,0.503137479,0.102150538
113,5,1.2196002,53,0.005714286,0.33081717,0.123655914
114,36,1.6926663,80,0.041142857,0.507398734,0.196236559
115,14,1.40625,61,0.016,0.400488012,0.14516129
116,6,0.94787496,32,0.006857143,0.229390186,0.067204301
117,6,0.87255627,15,0.006857143,0.201275949,0.021505376
118,4,0.70398736,9,0.004571429,0.138354168,0.005376344
119,0,0.33333334,7,0,0,0
120,19,1.3057258,33,0.021714286,0.362965306,0.069892473
121,4,0.8619656,23,0.004571429,0.197322766,0.043010753
122,0,0.8619656,23,0,0.197322766,0.043010753
123,1,0.70398736,13,0.001142857,0.138354168,0.016129032
124,138,2.124928,67,0.157714286,0.668749224,0.161290323
125,14,1.31797,39,0.016,0.367535703,0.086021505
126,0,0.68232477,23,0,0.130268165,0.043010753
127,0,1.1981546,39,0,0.322812163,0.086021505
128,0,1.1981546,39,0,0.322812163,0.086021505
129,16,1.4135897,46,0.018285714,0.403227705,0.10483871
130,8,1.0952908,41,0.009142857,0.284416153,0.091397849
131,18,1.2552096,47,0.020571429,0.344109104,0.107526882
132,16,1.4028426,45,0.018285714,0.399216131,0.102150538
133,96,1.9862185,51,0.109714286,0.616973076,0.11827957
134,38,1.606352,54,0.043428571,0.475180162,0.126344086
135,24,1.8075906,139,0.027428571,0.550296572,0.35483871
136,8,1.3068799,82,0.009142857,0.363396097,0.201612903
137,2,0.84912294,20,0.002285714,0.192528981,0.034946237
138,1,0.70398736,12,0.001142857,0.138354168,0.01344086
139,2,0.84912294,20,0.002285714,0.192528981,0.034946237
140,15,1.2123377,33,0.017142857,0.328106294,0.069892473
141,0,0.90925324,48,0,0.214973841,0.110215054
142,0,0.82939059,39,0,0.18516348,0.086021505
143,10,1.1191936,34,0.011428571,0.29333836,0.072580645
144,4,0.72781962,17,0.004571429,0.147250045,0.02688172
145,0,0.33333334,9,0,0,0.005376344
146,12,1.3272201,57,0.013714286,0.370988491,0.134408602
147,0,0.62688404,26,0,0.109573782,0.051075269
148,16,1.4028426,43,0.018285714,0.399216131,0.096774194
149,6,0.9792943,29,0.006857143,0.241118095,0.059139785
150,6,0.87255627,16,0.006857143,0.201275949,0.024193548
151,4,0.70398736,9,0.004571429,0.138354168,0.005376344
152,0,0.33333334,7,0,0,0
153,18,1.2989333,38,0.020571429,0.360429867,0.083333333
154,10,1.1058542,28,0.011428571,0.288359157,0.056451613
155,10,1.1,24,0.011428571,0.286173958,0.045698925
156,0,0.8870222,24,0,0.206675653,0.045698925
157,18,1.2222222,21,0.020571429,0.331795885,0.037634409
158,6,0.84912294,15,0.006857143,0.192528981,0.021505376
159,0,0.42239243,10,0,0.033243121,0.008064516
160,0,0.33333334,8,0,0,0.002688172
161,8,0.98510355,16,0.009142857,0.243286516,0.024193548
162,4,0.69804502,12,0.004571429,0.136136068,0.01344086
163,330,2.4722333,232,0.377142857,0.798388006,0.60483871
164,26,1.5592874,97,0.029714286,0.457612341,0.241935484
165,8,1.0697098,42,0.009142857,0.274867523,0.094086022
166,8,0.98510355,19,0.009142857,0.243286516,0.032258065
167,10,1.1634083,12,0.011428571,0.309842398,0.01344086
168,0,0.52799052,9,0,0.07265976,0.005376344
169,0,0.52799052,9,0,0.07265976,0.005376344
170,22,1.7297633,128,0.025142857,0.521245945,0.325268817
171,34,1.6100973,89,0.038857143,0.476578172,0.220430108
172,89,1.9051077,75,0.101714286,0.586696817,0.182795699
173,15,1.4382962,62,0.017142857,0.41244991,0.147849462
174,31,1.5517242,72,0.035428571,0.454789223,0.174731183
175,18,1.5346701,89,0.020571429,0.448423432,0.220430108
176,117,2.0612876,144,0.133714286,0.644994148,0.36827957
177,165,2.2594883,135,0.188571429,0.718976599,0.344086022
178,172,2.2071013,146,0.196571429,0.699422083,0.373655914
179,160,2.2784922,201,0.182857143,0.726070192,0.521505376
180,18,1.6891669,112,0.020571429,0.506092512,0.282258065
181,25,1.5469,95,0.028571429,0.452988492,0.23655914
182,8,1.1460608,61,0.009142857,0.30336709,0.14516129
183,79,2.019321,143,0.090285714,0.629329259,0.365591398
184,27,1.6118186,85,0.030857143,0.477220682,0.209677419
185,14,1.3443909,55,0.016,0.377397842,0.129032258
186,97,1.9594067,80,0.110857143,0.606965025,0.196236559
187,36,1.6857162,90,0.041142857,0.504804468,0.22311828
188,15,1.4255327,73,0.017142857,0.407685673,0.177419355
189,18,1.3938289,63,0.020571429,0.395851583,0.150537634
190,8,1.3006579,53,0.009142857,0.361073609,0.123655914
191,19,1.6700469,108,0.021714286,0.498955582,0.271505376
192,6,1.390353,97,0.006857143,0.394554133,0.241935484
193,101,2.1570766,178,0.115428571,0.680749344,0.459677419
194,185,2.4445839,227,0.211428571,0.788067304,0.591397849
195,47,1.7963344,129,0.053714286,0.546094965,0.327956989
196,3,1.238816,45,0.003428571,0.337989859,0.102150538
197,7,1.238816,45,0.008,0.337989859,0.102150538
198,1,0.76619166,25,0.001142857,0.161573191,0.048387097
199,42,1.7265038,71,0.048,0.520029271,0.172043011
200,56,1.8962001,76,0.064,0.583371874,0.185483871
201,53,1.6794915,78,0.060571429,0.502480971,0.190860215
202,10,1.3592209,56,0.011428571,0.382933442,0.13172043
203,29,1.6812503,47,0.033142857,0.503137479,0.107526882
204,32,1.569167,43,0.036571429,0.461300103,0.096774194
205,6,1.1561403,45,0.006857143,0.307129469,0.102150538
206,17,1.4803609,57,0.019428571,0.428151416,0.134408602
207,12,1.2241485,37,0.013714286,0.332514916,0.080645161
208,18,1.2241485,48,0.020571429,0.332514916,0.110215054
209,8,1.1460608,56,0.009142857,0.30336709,0.13172043
210,20,1.6434549,110,0.022857143,0.489029576,0.27688172
211,12,1.2726263,51,0.013714286,0.350610243,0.11827957
212,8,1.2241485,39,0.009142857,0.332514916,0.086021505
213,21,1.3938289,53,0.024,0.395851583,0.123655914
214,6,1.2241485,40,0.006857143,0.332514916,0.088709677
215,10,1.1561403,43,0.011428571,0.307129469,0.096774194
216,6,0.8870222,29,0.006857143,0.206675653,0.059139785
217,6,1.0102814,45,0.006857143,0.252684661,0.102150538
218,18,1.5842677,87,0.020571429,0.466936747,0.215053763
219,294,2.505738,142,0.336,0.810894319,0.362903226
220,18,1.5842677,88,0.020571429,0.466936747,0.217741935
221,22,1.7195774,106,0.025142857,0.517443851,0.266129032
222,39,1.6118186,93,0.044571429,0.477220682,0.231182796
223,24,1.6434549,140,0.027428571,0.489029576,0.357526882
224,62,2.0223916,199,0.070857143,0.630475423,0.516129032
225,46,1.8017781,134,0.052571429,0.548126937,0.341397849
226,91,1.9876175,162,0.104,0.617495281,0.416666667
227,122,2.2159617,245,0.139428571,0.702729408,0.639784946
228,65,1.9798998,175,0.074285714,0.614614493,0.451612903
229,36,1.8649745,170,0.041142857,0.571716282,0.438172043
230,7,1.390353,90,0.008,0.394554133,0.22311828
231,33,1.7372102,104,0.037714286,0.524025653,0.260752688
232,125,2.2819183,174,0.142857143,0.727349054,0.448924731
233,31,1.7963344,118,0.035428571,0.546094965,0.298387097
234,15,1.4652896,85,0.017142857,0.422525746,0.209677419
235,8,1.1768752,60,0.009142857,0.314869193,0.142473118
236,19,1.5592874,115,0.021714286,0.457612341,0.290322581
237,59,1.9310595,117,0.067428571,0.596383855,0.295698925
