Depthmap_Ref,Choice_R3,Integration_HH_R3,Total_Connectivity_R3,Choice_R3,Integration_HH_R3,Total_Connectivity_R3
111,14,1.3006579,42,0.109375,0.458387556,0.192307692
112,8,0.98558021,25,0.0625,0.309081213,0.098901099
113,4,0.69804502,15,0.03125,0.172826477,0.043956044
114,0,0.33333334,8,0,0,0.005494505
115,6,1.2671746,24,0.046875,0.442520774,0.093406593
116,7,1.2671746,25,0.0546875,0.442520774,0.098901099
117,5,1.2671746,24,0.0390625,0.442520774,0.093406593
118,6,1.2671746,25,0.046875,0.442520774,0.098901099
119,55,2.040309,126,0.4296875,0.808887144,0.653846154
120,56,1.8962001,102,0.4375,0.740598041,0.521978022
121,26,1.7269484,88,0.203125,0.660394481,0.445054945
122,32,1.7852225,94,0.25,0.688008917,0.478021978
123,28,1.7379411,85,0.21875,0.665603609,0.428571429
124,22,1.5364467,68,0.171875,0.570121152,0.335164835
125,16,1.3076391,53,0.125,0.461695748,0.252747253
126,0,1.3873369,63,0,0.499462265,0.307692308
127,22,1.6684235,83,0.171875,0.632661198,0.417582418
128,12,1.2123377,42,0.09375,0.416535129,0.192307692
129,10,1.1365665,40,0.078125,0.380629315,0.181318681
130,16,1.3845592,43,0.125,0.498145992,0.197802198
131,0,0.84912294,17,0,0.244418,0.054945055
132,0,1.0445806,43,0,0.337039817,0.197802198
133,50,1.8337219,102,0.390625,0.710991401,0.521978022
134,12,1.2222222,30,0.09375,0.421219112,0.126373626
135,10,1.1191936,41,0.078125,0.372396793,0.186813187
136,14,1.3076391,55,0.109375,0.461695748,0.263736264
137,0,1.1365665,49,0,0.380629315,0.230769231
138,48,1.8470125,136,0.375,0.717289438,0.708791209
139,27,1.6794915,113,0.2109375,0.637906008,0.582417582
140,0,0.42239243,13,0,0.042202566,0.032967033
141,6,0.8619656,24,0.046875,0.25050377,0.093406593
142,14,1.3006579,46,0.109375,0.458387556,0.214285714
143,12,1.2222222,27,0.09375,0.421219112,0.10989011
144,8,1.0207884,36,0.0625,0.325765371,0.159340659
145,10,1.1768752,55,0.078125,0.39973046,0.263736264
146,24,1.6666666,88,0.1875,0.631828653,0.445054945
147,10,1.2222222,28,0.078125,0.421219112,0.115384615
148,8,1.1191936,43,0.0625,0.372396793,0.197802198
149,14,1.4135897,76,0.109375,0.511902719,0.379120879
150,10,1.2222222,28,0.078125,0.421219112,0.115384615
151,8,1.1191936,43,0.0625,0.372396793,0.197802198
152,14,1.4135897,76,0.109375,0.511902719,0.379120879
153,24,1.6673985,91,0.1875,0.63217548,0.461538462
154,12,1.2552096,58,0.09375,0.436850901,0.28021978
155,12,1.2123377,47,0.09375,0.416535129,0.21978022
156,66,1.9363272,116,0.515625,0.759613131,0.598901099
