Ref,Choice R3,Integration [HH] R3,Total Connectivity R3,Choice R3 n,Integration [HH] R3 n,Total Connectivity R3 n
0,85,2.2527149,169,0.092896175,0.686833829,0.411167513
1,51,2.1456218,144,0.055737705,0.648511504,0.347715736
2,0,1.6666666,103,0,0.477121594,0.243654822
3,41,2.1384616,196,0.044808743,0.64594929,0.479695431
4,149,2.3667924,228,0.16284153,0.727655461,0.560913706
5,49,1.9768722,174,0.053551913,0.588125942,0.423857868
6,0,0.90925324,73,0,0.206087877,0.16751269
7,22,1.7164973,138,0.024043716,0.494953072,0.33248731
8,111,2.4275136,216,0.121311475,0.749384009,0.530456853
9,30,1.8276744,162,0.032786885,0.53473682,0.393401015
10,16,1.3746208,95,0.017486339,0.37261557,0.223350254
11,12,1.2052853,40,0.013114754,0.312020349,0.083756345
12,8,0.98558021,23,0.008743169,0.233400812,0.040609137
13,6,0.8619656,19,0.006557377,0.18916641,0.030456853
14,6,0.84912294,15,0.006557377,0.184570777,0.020304569
15,6,0.84912294,14,0.006557377,0.184570777,0.017766497
16,6,0.84912294,17,0.006557377,0.184570777,0.025380711
17,6,0.91666669,43,0.006557377,0.208740715,0.091370558
18,8,0.98558021,24,0.008743169,0.233400812,0.043147208
19,12,1.2123377,47,0.013114754,0.314543988,0.101522843
20,24,1.5346701,111,0.026229508,0.429887806,0.263959391
21,79,2.1355736,179,0.086338798,0.644915844,0.436548223
22,84,2.3375487,207,0.091803279,0.717190859,0.507614213
23,85,2.3121264,164,0.092896175,0.708093713,0.398477157
24,48,2.1000938,161,0.052459016,0.63221971,0.390862944
25,24,1.5346701,119,0.026229508,0.429887806,0.284263959
26,16,1.3076391,62,0.017486339,0.348646757,0.139593909
27,16,1.3057258,34,0.017486339,0.347962099,0.068527919
28,12,1.2052853,33,0.013114754,0.312020349,0.065989848
29,10,1.1058542,29,0.010928962,0.276439803,0.055837563
30,12,1.2063863,28,0.013114754,0.312414332,0.053299492
31,0,1.4538981,121,0,0.400984255,0.289340102
32,0,1.1950141,94,0,0.30834489,0.220812183
33,150,2.447639,242,0.163934426,0.756585706,0.596446701
34,16,1.5898042,150,0.017486339,0.449617059,0.362944162
35,8,1.1460608,83,0.008743169,0.290827382,0.192893401
