Ref,x1,y1,x2,y2,Choice R3,Choice R7,Choice [Connectivity Wgt] R3,Choice [Connectivity Wgt] R7,Choice [Connectivity Wgt][Norm] R3,Choice [Connectivity Wgt][Norm] R7,Choice [Norm] R3,Choice [Norm] R7,Connectivity,Control,Controllability,Entropy R3,Entropy R7,Harmonic Mean Depth R3,Harmonic Mean Depth R7,Integration [HH] R3,Integration [HH] R7,Integration [P-value] R3,Integration [P-value] R7,Integration [Tekl] R3,Integration [Tekl] R7,Intensity R3,Intensity R7,Line Length,Mean Depth R3,Mean Depth R7,Mean Depth [Connectivity Wgt] R3,Mean Depth [Connectivity Wgt] R7,Node Count R3,Node Count R7,RA R3,RA R7,RA [Penn] R3,RA [Penn] R7,RRA R3,RRA R7,Relativised Entropy R3,Relativised Entropy R7,Total Connectivity R3,Total Connectivity R7,Total Depth R3,Total Depth R7
1973,12329.1203025,-476.876362716,12339.072265,-539.983805453,10,166,194,1487,0.11942136,0.051631946,0.083333336,0.055278055,2,0.75,0.33333334,1.3047132,2.5457175,4.7058825,7.1404634,1.2196002,0.93596262,1.2196002,0.93596262,0.63400531,0.63356918,0.96435326,0.63442171,63.887329,2.5,5.0769229,2.3684211,5.0250001,17,79,0.2,0.1058941,0.1724138,0.28859061,0.81994081,1.0684187,1.9794723,2.653542,57,240,40,396
1974,12339.072265,-539.983805453,12349.0130955,-642.196264007,6,82,94,839,0.15346938,0.055423439,0.16666667,0.047925189,2,1,0.5,1.4287713,2.4919693,3.3333333,5.2276235,0.91666669,0.82582939,0.91666669,0.82582939,0.55788589,0.61164272,1.298883,0.61027819,102.69473,2.3333333,5.1694913,2.4000001,5.0229883,10,60,0.33333334,0.14377557,0.2,0.26126125,1.0909091,1.2109039,1.6264987,2.7014675,35,174,21,305
1975,12349.0130955,-642.196264007,12354.156056,-689.51970167,8,32,80,467,0.30245748,0.04381685,0.2857143,0.02960222,2,0.83333331,0.40000001,1.5388472,2.4796221,3.4285715,4.8648648,0.98558021,0.73913449,0.98558021,0.73913449,0.57015699,0.59179056,1.7312031,0.59809977,47.602077,2.125,5.2553191,1.9565217,5.1986303,9,48,0.32142857,0.18501388,0.30769232,0.23371647,1.0146308,1.3529338,1.293768,2.7878439,23,146,17,247
1976,12354.156056,-689.51970167,12368.2824994,-739.861080595,12,48,106,773,0.33919999,0.049909607,0.33333334,0.033542976,3,1.1666666,0.5,1.563269,2.4477351,4,5.5417409,1.2222222,0.77096999,1.2222222,0.77096999,0.63092977,0.60119641,1.9540863,0.58028203,52.285858,2,5.314815,1.76,5.3352275,10,55,0.25,0.1628232,0.40000001,0.2310231,0.81818181,1.2970673,1.2090708,2.8820922,25,176,18,287
1977,13079.6808372,-698.273602903,13401.8617075,-848.2779092,42,560,661,6295,0.20149368,0.13100937,0.15217391,0.11544012,4,1.2,0.33333334,1.45732,2.6314149,8.727273,11.737991,1.7265038,1.0587759,1.7265038,1.0587759,0.70471239,0.6531626,1.175258,0.6817137,355.38965,2.3333333,4.909091,2.1358025,4.770968,25,100,0.11594203,0.079777367,0.2888889,0.32460734,0.57920516,0.94448692,1.7704366,2.5789607,81,310,56,486
1978,12907.035439,-628.529660003,13079.6808372,-698.273602903,12,420,268,5192,0.12686391,0.10204303,0.078431375,0.079954311,2,0.58333331,0.2857143,1.3052267,2.5279198,5.0574713,8.1498795,1.3088794,1.0356538,1.3088794,1.0356538,0.64932406,0.65171051,0.95381951,0.63197994,186.20056,2.5,5.0485435,2.3846154,4.9310346,19,104,0.17647059,0.079383209,0.18181819,0.30150753,0.76401234,0.96557367,1.9928683,2.6257842,65,319,45,520
1979,12680.2331084,-542.871322443,12907.035439,-628.529660003,26,648,393,7427,0.16040817,0.098668829,0.1368421,0.087792985,3,1.25,0.375,1.3553462,2.5169134,6.4864864,10.297816,1.4382962,1.0753807,1.4382962,1.0753807,0.66857558,0.65973747,1.0165097,0.61792481,242.43895,2.45,5.1147542,2.4000001,5.0438147,21,123,0.15263158,0.068012461,0.21621622,0.29395217,0.69526708,0.92990327,1.9408889,2.6719694,70,388,49,624
1980,12452.8519165,-464.54228189,12680.2331084,-542.871322443,16,507,368,6156,0.11217802,0.069135912,0.057971016,0.062376969,2,0.5,0.22222222,1.2479082,2.5048099,5.6375837,9.1528339,1.4931926,1.0744886,1.4931926,1.0744886,0.67637843,0.6607551,0.8666029,0.60509449,240.49458,2.5416667,5.1796875,2.3827159,5.2180095,25,129,0.13405797,0.065821849,0.17777778,0.28380188,0.66970599,0.93067527,2.1114984,2.7358501,81,422,61,663
1981,12247.8459423,-399.461506669,12452.8519165,-464.54228189,110,1339,1476,14005,0.29519999,0.1408132,0.22177419,0.13961005,6,1.9,0.33333334,1.5026762,2.6123102,12.444445,16.541538,2.1240644,1.1553607,2.1240644,1.1553607,0.74300069,0.67025423,1.2714953,0.66134435,215.08826,2.25,4.9856114,2.02,4.9775786,33,140,0.080645159,0.057762485,0.3442623,0.31857318,0.47079551,0.86553055,1.6872182,2.6592405,100,446,72,693
1982,12004.9579453,-335.360326964,12247.8459423,-399.461506669,18,633,482,7022,0.12170181,0.08910659,0.051282052,0.081677422,2,0.41666666,0.2,1.2254183,2.5580313,5.8494625,9.3834429,1.5717616,1.1123648,1.5717616,1.1123648,0.68624294,0.66388869,0.83687109,0.64462394,251.20418,2.5555556,5.0079999,2.3707864,4.9924436,28,126,0.11965812,0.064645164,0.17647059,0.31275719,0.6362288,0.89898574,2.1544948,2.615633,89,397,69,626
