Ref,x1,y1,x2,y2,Choice,Choice R3,Choice R7,Choice [Connectivity Wgt],Choice [Connectivity Wgt] R3,Choice [Connectivity Wgt] R7,Choice [Connectivity Wgt][Norm],Choice [Connectivity Wgt][Norm] R3,Choice [Connectivity Wgt][Norm] R7,Choice [Norm],Choice [Norm] R3,Choice [Norm] R7,Connectivity,Control,Controllability,Entropy,Entropy R3,Entropy R7,Harmonic Mean Depth,Harmonic Mean Depth R3,Harmonic Mean Depth R7,Integration [HH],Integration [HH] R3,Integration [HH] R7,Integration [P-value],Integration [P-value] R3,Integration [P-value] R7,Integration [Tekl],Integration [Tekl] R3,Integration [Tekl] R7,Intensity,Intensity R3,Intensity R7,Line Length,Mean Depth,Mean Depth R3,Mean Depth R7,Mean Depth [Connectivity Wgt],Mean Depth [Connectivity Wgt] R3,Mean Depth [Connectivity Wgt] R7,Node Count,Node Count R3,Node Count R7,RA,RA R3,RA R7,RA [Penn],RA [Penn] R3,RA [Penn] R7,RRA,RRA R3,RRA R7,Relativised Entropy,Relativised Entropy R3,Relativised Entropy R7,Total Connectivity,Total Connectivity R3,Total Connectivity R7,Total Depth,Total Depth R3,Total Depth R7
1230,-7029.01953381,4898.95485281,-7009.87122201,4824.7088094,0,0,0,8514,24,46,0.00093566836,0.10884354,0.08984375,0,0,0,2,0.69999999,0.40000001,3.7617984,1.5388472,2.5704172,3.6285443,3.4285715,1.7142857,0.31083703,0.98558021,0.65032893,0.31083703,0.98558021,0.65032893,0.62604946,0.57015699,0.51699251,0.14770766,1.7312031,1.1608335,76.675507,26.486168,2.125,3.4615386,26.378105,1.7142857,3.0625,1447,9,14,0.035274975,0.32142857,0.41025642,0.28287604,0.30769232,0.43859649,3.2171197,1.0146308,1.5376835,5.2391853,1.293768,1.7957046,4266,21,32,38299,17,45
1231,-7318.41872548,4935.64965944,-7288.92377727,4769.2235944,7,5,7,8544,50,76,0.0009389653,0.22675736,0.1484375,6.7002638e-006,0.17857143,0.089743592,2,0.69999999,0.33333334,3.7614596,1.4843777,2.5354011,3.5998988,3.2,1.6842105,0.31084546,1.1087778,0.67130727,0.31084546,1.1087778,0.67130727,0.62605107,0.60245162,0.52177233,0.14769836,1.9084858,1.1831871,169.01949,26.485477,2,3.3846154,26.377638,1.6190476,3,1447,9,14,0.035274018,0.2857143,0.3974359,0.28289551,0.38461539,0.45614034,3.2170324,0.90189397,1.4896308,5.2416577,1.2104051,1.8142079,4266,21,32,38298,16,44
1232,-7312.05706667,4809.67437724,-7120.62926158,4809.67437724,2142,3,12,21174,44,110,0.0023269723,0.18181819,0.16975309,0.0020502808,0.10714286,0.11428571,2,0.83333331,0.5,3.7600775,1.4843777,2.625,4.0857558,3.2,2.1333334,0.32344007,0.8870222,0.64291221,0.32344007,0.8870222,0.64291221,0.62842488,0.54406804,0.52399957,0.15362638,1.4843777,1.05,191.42781,25.493084,2.25,3.7333333,25.384201,1.9545455,3.3333333,1447,9,16,0.033900462,0.35714287,0.3904762,0.29137656,0.23076923,0.40579709,3.0917628,1.1273675,1.5554223,5.1675096,1.47219,1.8928568,4266,22,36,36863,18,56
1233,-7142.60587806,4735.12936961,-7142.60587806,4913.69067596,20149,19,93,148684,148,568,0.016340017,0.43786982,0.70999998,0.01928623,0.42222223,0.68382353,3,1.2,0.375,3.7570612,1.4754353,2.5846777,4.3169684,3.8709676,2.2641509,0.33717775,1.4744722,0.78696048,0.33717775,1.4744722,0.78696048,0.6309303,0.68453515,0.55995721,0.16002318,2.0287235,1.1631049,178.56131,24.495159,1.9,3.4117646,24.386076,1.5769231,3,1447,11,18,0.032519251,0.2,0.30147058,0.30050033,0.47058824,0.49382716,2.9657946,0.67820883,1.2707118,5.110476,1.1833953,1.9105408,4266,26,40,35420,19,58
1234,-7148.96753687,4748.99820298,-7090.97301927,4708.54360963,23008,8,94,169828,100,590,0.018663693,0.25510204,0.6095041,0.02202281,0.14545454,0.54970759,2,0.83333331,0.40000001,3.7543659,1.4308271,2.5925987,4.7906799,4,2.6666667,0.35200435,1.0445806,0.75469375,0.35200435,1.0445806,0.75469375,0.63354343,0.59431612,0.55883062,0.16694018,1.2264233,1.0370394,70.710243,23.505533,2.3636363,3.6842105,23.394983,2.0714285,3.3181818,1447,12,20,0.031149525,0.27272728,0.29824561,0.30990097,0.21052632,0.45161289,2.840874,0.957322,1.3250407,5.0271707,1.6862333,1.9131577,4266,28,44,33989,26,70
1235,-7108.35055832,4712.16101859,-6956.65886332,4722.65156917,25866,8,98,186724,74,606,0.020520523,0.27977315,0.52604169,0.024758432,0.2857143,0.46666667,2,0.83333331,0.40000001,3.7519403,1.5388472,2.6306193,5.2529783,3.4285715,3,0.36817116,0.98558021,0.73770493,0.36817116,0.98558021,0.73770493,0.63629335,0.57015699,0.56012058,0.17449483,1.7312031,0.96456045,152.05402,22.517288,2.125,3.9047618,22.404829,2.0434783,3.5833333,1447,9,22,0.029781714,0.32142857,0.2904762,0.31982335,0.30769232,0.41904762,2.7161281,1.0146308,1.3555555,4.9407654,1.293768,1.9597961,4266,23,48,32560,17,82
1236,-7077.72182239,4164.63345975,-7029.74307718,4727.8508276,31590,14,122,216292,82,660,0.023769977,0.41,0.48816568,0.030237332,0.5,0.48221344,3,2,0.60000002,3.749176,1.5388472,2.6533208,5.7666912,3.4285715,3.3103449,0.38586849,1.1087778,0.72917539,0.38586849,1.1087778,0.72917539,0.63919407,0.60245162,0.56253237,0.18274802,1.9785179,0.90970999,565.25726,21.530428,2,4.0869565,21.415611,1.8,3.8076923,1447,9,24,0.028415818,0.2857143,0.28063241,0.33031806,0.38461539,0.3931624,2.5915565,0.90189397,1.3714122,4.8520036,1.2209314,2.0975325,4266,20,52,31133,16,94
1237,-7250.56170712,4203.41649499,-7059.29291605,4203.41649499,34416,10,102,237314,86,620,0.026080243,0.39002267,0.39540815,0.032942325,0.27777779,0.34,2,0.66666669,0.33333334,3.7464116,1.5142466,2.6821752,6.4353704,3.6923077,3.6923077,0.4052957,1.1,0.70821929,0.4052957,1.1,0.70821929,0.64225745,0.60206002,0.5623436,0.19180758,1.6824962,0.85044581,191.26878,20.546335,2.1111112,4.3200002,20.42827,1.8095238,4.0714288,1447,10,26,0.027053751,0.27777779,0.27666667,0.3413958,0.33333334,0.35658914,2.4673343,0.90909094,1.411992,4.7557721,1.3243603,2.2248073,4266,21,56,29710,19,108
1238,-7094.38814735,4177.11620095,-6983.83827007,4131.52900094,0,0,0,4262,9,44,0.00046838366,0.10650887,0.038194444,0,0,0,1,0.33333334,0.33333334,3.7510798,1.4874687,2.5740232,4.9352713,2,2.5945945,0.36795828,0.58170414,0.56962025,0.36795828,0.58170414,0.56962025,0.63625777,0.3868528,0.5269739,0.17435394,1.7849625,0.72600657,119.58038,22.529737,2.2,4.7619047,22.415142,2,4.5,1447,6,22,0.029798944,0.60000002,0.37619048,0.31942987,0.14285715,0.24761905,2.7176993,1.7190869,1.7555555,4.9140558,1.2149562,2.3713884,4266,13,48,32578,11,100
1239,-4286.42003134,2571.63334396,-4102.27191026,2519.48988891,17333,47,2916,160451,1454,38457,0.017633183,0.08405596,0.02035227,0.016590809,0.052048728,0.018696982,4,1.3666667,0.33333334,3.81037,1.1176244,2.219126,6.2493701,9.8217821,18.037399,0.99111241,1.8614054,1.4024081,0.99111241,1.8614054,1.4024081,0.70364767,0.71661192,0.71558321,0.47707927,0.71268803,0.4752239,191.38828,8.993084,2.627907,5.6797853,8.4355364,2.5483871,5.6183128,1447,44,560,0.011063092,0.07751938,0.016773425,0.7010656,0.15662651,0.21512151,1.0089673,0.53722847,0.71305919,3.3382995,2.3729298,3.1158669,4266,186,1944,13004,113,3175
1240,-4134.06297707,2523.0859848,-3366.14244977,2523.0859848,13062,94,1885,128296,1753,26133,0.014099426,0.17887755,0.030643115,0.012502692,0.14114115,0.027169997,5,1.5333333,0.3125,3.8764186,1.3755596,2.2309628,6.5130739,11.815857,19.843208,0.89229453,1.9812206,1.2734551,0.89229453,1.9812206,1.2734551,0.69583541,0.72799981,0.69959688,0.43695393,1.0052166,0.47597265,767.92053,9.8782845,2.4324324,5.7024131,9.3244257,2.3428571,5.6600308,1447,38,374,0.012288284,0.079579577,0.025281789,0.67970657,0.25352111,0.20884077,1.1207062,0.50473934,0.78526521,3.4620459,1.9707452,3.1526639,4266,140,1306,14284,90,2127
