Cluster_Kmeans_740984,Ref,Choice R3,Integration [HH] R3,Total Connectivity R3,Choice R3,Integration [HH] R3,Total Connectivity R3
3,98,6,0.91666669,24,0.007272727,0.219503276,0.037861915
3,99,12,1.4337122,115,0.014545455,0.414063014,0.240534521
2,100,30,1.8470125,138,0.036363636,0.569584329,0.291759465
2,101,55,2.0229185,135,0.066666667,0.63577623,0.285077951
2,102,30,1.7265038,99,0.036363636,0.524237951,0.204899777
2,103,42,1.6794915,89,0.050909091,0.506547631,0.182628062
3,104,8,1.1208336,47,0.00969697,0.296329512,0.08908686
3,105,6,0.8619656,23,0.007272727,0.198919731,0.035634744
3,106,6,0.84912294,15,0.007272727,0.194087149,0.017817372
3,107,6,0.84912294,14,0.007272727,0.194087149,0.0155902
3,108,6,0.84912294,14,0.007272727,0.194087149,0.0155902
3,109,6,0.84912294,14,0.007272727,0.194087149,0.0155902
3,110,6,0.84912294,14,0.007272727,0.194087149,0.0155902
3,111,6,0.84912294,14,0.007272727,0.194087149,0.0155902
3,112,6,0.84912294,14,0.007272727,0.194087149,0.0155902
3,113,6,0.84912294,14,0.007272727,0.194087149,0.0155902
3,114,6,0.84912294,14,0.007272727,0.194087149,0.0155902
3,115,6,0.84912294,15,0.007272727,0.194087149,0.017817372
3,116,6,0.8619656,20,0.007272727,0.198919731,0.028953229
3,117,8,1,26,0.00969697,0.250860877,0.042316258
3,118,14,1.3057258,30,0.016969697,0.365902842,0.051224944
2,119,32,1.9447519,181,0.038787879,0.606362817,0.38752784
3,120,8,1.2186118,74,0.00969697,0.3331226,0.14922049
3,121,6,0.8619656,29,0.007272727,0.198919731,0.048997773
3,122,6,0.84912294,16,0.007272727,0.194087149,0.020044543
3,123,6,0.8619656,19,0.007272727,0.198919731,0.026726058
3,124,8,0.98558021,21,0.00969697,0.245434836,0.031180401
3,125,12,1.2222222,24,0.014545455,0.334481162,0.037861915
3,126,4,0.70398736,10,0.004848485,0.13947389,0.006681514
3,127,6,0.84912294,16,0.007272727,0.194087149,0.020044543
3,128,8,0.98558021,24,0.00969697,0.245434836,0.037861915
3,129,6,0.91666669,31,0.007272727,0.219503276,0.053452116
3,130,6,0.87255627,14,0.007272727,0.202904908,0.0155902
3,131,4,0.70398736,9,0.004848485,0.13947389,0.004454343
2,132,101,2.0986729,152,0.122424242,0.664281953,0.322939866
2,133,160,2.2398014,186,0.193939394,0.717387383,0.398663697
2,134,177,2.3351038,247,0.214545455,0.753248848,0.534521158
2,135,51,2.3048933,286,0.061818182,0.7418809,0.621380846
2,136,182,2.4146974,368,0.220606061,0.783199229,0.804008909
2,137,89,2.3288808,359,0.107878788,0.750907188,0.783964365
1,138,342,2.6833332,350,0.414545455,0.884284549,0.763919822
2,139,164,2.494889,308,0.198787879,0.813374632,0.670378619
2,140,50,1.8649745,167,0.060606061,0.576343274,0.356347439
3,141,10,1.2409762,91,0.012121212,0.34153813,0.187082405
3,142,10,1.2196002,70,0.012121212,0.333494527,0.140311804
3,143,26,1.7495173,70,0.031515152,0.532897731,0.140311804
3,144,0,0.9216888,49,0,0.221393053,0.093541203
3,145,20,1.7217885,62,0.024242424,0.522463625,0.122494432
1,146,406,2.6927178,379,0.492121212,0.887815893,0.828507795
2,147,88,2.4959579,355,0.106666667,0.81377685,0.775055679
2,148,151,2.3085685,287,0.183030303,0.743263845,0.623608018
2,149,74,2.0304756,229,0.08969697,0.638619901,0.494432071
2,150,61,1.8496778,174,0.073939394,0.570587258,0.371937639
3,151,6,0.84912294,14,0.007272727,0.194087149,0.0155902
3,152,6,0.84912294,14,0.007272727,0.194087149,0.0155902
3,153,6,0.84912294,14,0.007272727,0.194087149,0.0155902
3,154,6,0.84912294,14,0.007272727,0.194087149,0.0155902
3,155,0,1.471094,58,0,0.42812946,0.113585746
2,156,33,2.1510253,64,0.04,0.683981707,0.126948775
3,157,6,0.84912294,16,0.007272727,0.194087149,0.020044543
3,158,6,0.8870222,32,0.007272727,0.208348312,0.055679287
3,159,10,1.1981546,69,0.012121212,0.325424733,0.138084633
2,160,28,1.7909094,101,0.033939394,0.548473219,0.20935412
2,161,37,2.0180571,145,0.044848485,0.633946927,0.307349666
3,162,6,0.84912294,14,0.007272727,0.194087149,0.0155902
