Ref,Choice R3,Integration [HH] R3,Total Connectivity R3,Choice R3 n,Integration [HH] R3 n,Total Connectivity R3 n
109,4,0.69804502,16,0.033333333,0.184295797,0.047619048
110,0,0.33333334,8,0,0,0.005291005
111,17,1.471094,55,0.141666667,0.574932251,0.253968254
112,7,1.0445806,44,0.058333333,0.359406862,0.195767196
113,6,1.0445806,40,0.05,0.359406862,0.174603175
114,15,1.4864661,46,0.125,0.582700067,0.206349206
115,27,1.8294003,59,0.225,0.755991286,0.275132275
116,0,1,29,0,0.336879431,0.116402116
117,24,1.4864661,41,0.2,0.582700067,0.17989418
118,16,1.3873683,41,0.133333333,0.532624051,0.17989418
119,8,1.0207884,31,0.066666667,0.347384207,0.126984127
120,6,0.8619656,21,0.05,0.267128005,0.074074074
121,6,0.84912294,16,0.05,0.260638363,0.047619048
122,6,0.8619656,19,0.05,0.267128005,0.063492063
123,8,0.98558021,24,0.066666667,0.329592835,0.08994709
124,12,1.2063863,31,0.1,0.441170381,0.126984127
125,0,1.0207884,33,0,0.347384207,0.137566138
126,12,1.2052853,35,0.1,0.440614024,0.148148148
127,8,0.98558021,26,0.066666667,0.329592835,0.100529101
128,6,0.8870222,24,0.05,0.279789585,0.08994709
129,8,0.98558021,25,0.066666667,0.329592835,0.095238095
130,12,1.2063863,32,0.1,0.441170381,0.132275132
131,28,1.6531878,40,0.233333333,0.666947735,0.174603175
132,16,1.5668709,38,0.133333333,0.623330153,0.164021164
133,8,1.3873683,47,0.066666667,0.532624051,0.211640212
134,3,1.2063863,36,0.025,0.441170381,0.153439153
135,25,1.6812503,49,0.208333333,0.681128254,0.222222222
136,14,1.3057258,32,0.116666667,0.491368532,0.132275132
137,6,0.8619656,22,0.05,0.267128005,0.079365079
138,0,0.42239243,13,0,0.045003264,0.031746032
139,28,1.569167,41,0.233333333,0.624490416,0.17989418
140,28,1.550553,52,0.233333333,0.615084405,0.238095238
141,22,1.6734514,77,0.183333333,0.67718732,0.37037037
142,11,1.2552096,64,0.091666667,0.465841729,0.301587302
143,13,1.3443909,77,0.108333333,0.510906748,0.37037037
144,63,1.9594067,105,0.525,0.82168601,0.518518519
145,14,1.3304729,69,0.116666667,0.503873716,0.328042328
146,36,1.6700469,91,0.3,0.675466961,0.444444444
147,28,1.6178579,104,0.233333333,0.64909486,0.513227513
148,38,1.8880572,141,0.316666667,0.785631741,0.708994709
149,20,1.3845592,58,0.166666667,0.531204559,0.26984127
150,0,1.0445806,50,0,0.359406862,0.227513228
151,24,1.4724894,85,0.2,0.575637373,0.412698413
152,38,1.8839605,134,0.316666667,0.7835616,0.671957672
153,12,1.2989333,40,0.1,0.487936152,0.174603175
154,0,0.68957245,25,0,0.180014445,0.095238095
155,0,1.1058542,35,0,0.390369585,0.148148148
156,28,1.6008096,45,0.233333333,0.640480028,0.201058201
157,36,1.6673985,75,0.3,0.674128674,0.35978836
158,32,1.6132691,57,0.266666667,0.646776052,0.264550265
159,38,1.7925211,55,0.316666667,0.73735552,0.253968254
160,44,1.8599865,58,0.366666667,0.771447079,0.26984127
161,16,1.3938289,53,0.133333333,0.535888716,0.243386243
162,10,1.1191936,39,0.083333333,0.397110239,0.169312169
163,10,1.1087778,26,0.083333333,0.391846936,0.100529101
164,6,0.87255627,11,0.05,0.272479673,0.021164021
165,4,0.70398736,9,0.033333333,0.187298575,0.010582011
166,12,1.2052853,35,0.1,0.440614024,0.148148148
167,8,1,27,0.066666667,0.336879431,0.105820106
168,8,0.98558021,23,0.066666667,0.329592835,0.084656085
169,10,1.1492875,19,0.083333333,0.412317263,0.063492063
170,20,1.3873683,45,0.166666667,0.532624051,0.201058201
171,24,1.550553,55,0.2,0.615084405,0.253968254
172,12,1.2063863,32,0.1,0.441170381,0.132275132
173,6,0.84912294,18,0.05,0.260638363,0.058201058
174,0,0.42239243,12,0,0.045003264,0.026455026
175,14,1.3304729,64,0.116666667,0.503873716,0.301587302
176,12,1.2726263,63,0.1,0.474642721,0.296296296
177,24,1.6684235,77,0.2,0.674646626,0.37037037
178,0,1.5785179,101,0,0.629215605,0.497354497
179,62,1.9304764,117,0.516666667,0.807066975,0.582010582
180,56,1.8855816,127,0.466666667,0.784380773,0.634920635
181,48,1.8391043,120,0.4,0.760894903,0.597883598
182,36,1.6700469,96,0.3,0.675466961,0.470899471
183,36,1.6794915,98,0.3,0.680239499,0.481481481
184,30,1.6037242,75,0.25,0.641952831,0.35978836
185,12,1.3076391,55,0.1,0.49233536,0.253968254
186,8,1.1561403,53,0.066666667,0.415780115,0.243386243
187,16,1.4635203,65,0.133333333,0.571105115,0.306878307
188,11,1.4666082,68,0.091666667,0.57266549,0.322751323
189,5,1.1365665,51,0.041666667,0.405889099,0.232804233
190,12,1.4724894,77,0.1,0.575637373,0.37037037
191,46,2.0454545,82,0.383333333,0.865167611,0.396825397
192,31,1.7257152,94,0.258333333,0.703597219,0.46031746
193,40,2.0147731,87,0.333333333,0.849663712,0.423280423
194,25,1.606352,75,0.208333333,0.643280709,0.35978836
195,31,1.7265038,101,0.258333333,0.703995714,0.497354497
196,0,1.0445806,42,0,0.359406862,0.185185185
197,17,1.6734514,70,0.141666667,0.67718732,0.333333333
198,28,1.7669872,68,0.233333333,0.724452751,0.322751323
199,35,1.7925211,66,0.291666667,0.73735552,0.312169312
200,17,1.6531878,45,0.141666667,0.666947735,0.201058201
201,24,1.5668709,42,0.2,0.623330153,0.185185185
202,17,1.6008096,47,0.141666667,0.640480028,0.211640212
203,0,1.1191936,41,0,0.397110239,0.17989418
204,0,0.49860358,20,0,0.083514217,0.068783069
205,8,1,34,0.066666667,0.336879431,0.142857143
206,20,1.6531878,47,0.166666667,0.666947735,0.211640212
207,0,1.3988512,47,0,0.53842658,0.211640212
208,19,1.6812503,51,0.158333333,0.681128254,0.232804233
209,24,1.5154221,48,0.2,0.597332089,0.216931217
210,19,1.7342104,50,0.158333333,0.707890007,0.227513228
211,21,1.6828449,79,0.175,0.681934036,0.380952381
212,16,1.4644111,69,0.133333333,0.571555253,0.328042328
213,0,1.2123377,56,0,0.444177737,0.259259259
214,36,1.7669872,87,0.3,0.724452751,0.423280423
215,0,1.2123377,56,0,0.444177737,0.259259259
216,33,1.8369439,116,0.275,0.759803212,0.576719577
217,0,1.3443909,76,0,0.510906748,0.365079365
218,34,1.606352,78,0.283333333,0.643280709,0.375661376
219,0,1.2123377,51,0,0.444177737,0.232804233
220,20,1.7217885,59,0.166666667,0.701612983,0.275132275
221,43,2.1397731,50,0.358333333,0.912828606,0.227513228
222,0,1.471094,50,0,0.574932251,0.227513228
223,24,1.4864661,46,0.2,0.582700067,0.206349206
224,0,1.2726263,65,0,0.474642721,0.306878307
225,0,1,30,0,0.336879431,0.121693122
226,32,1.6037242,73,0.266666667,0.641952831,0.349206349
227,24,1.471094,51,0.2,0.574932251,0.232804233
228,0,0.98558021,29,0,0.329592835,0.116402116
229,44,1.7821976,103,0.366666667,0.732138858,0.507936508
230,0,1.238816,62,0,0.457557729,0.291005291
231,28,1.5364467,70,0.233333333,0.607956222,0.333333333
232,0,1.5598243,96,0,0.619769371,0.470899471
233,65,1.9851656,127,0.541666667,0.834702475,0.634920635
234,80,2.0609944,152,0.666666667,0.87302022,0.767195767
235,42,1.7812788,112,0.35,0.731674571,0.555555556
236,0,1.7426945,128,0,0.712177185,0.64021164
237,0,0.84912294,18,0,0.260638363,0.058201058
238,0,0.84912294,16,0,0.260638363,0.047619048
239,62,1.9594067,94,0.516666667,0.82168601,0.46031746
240,48,1.8135039,76,0.4,0.747958531,0.365079365
241,10,1.2123377,50,0.083333333,0.444177737,0.227513228
242,0,0.63684219,22,0,0.153368834,0.079365079
243,40,1.7269484,86,0.333333333,0.704220379,0.417989418
244,10,1.2123377,50,0.083333333,0.444177737,0.227513228
245,0,0.63684219,22,0,0.153368834,0.079365079
246,14,1.31797,61,0.116666667,0.497555761,0.285714286
247,10,1.1561403,49,0.083333333,0.415780115,0.222222222
248,16,1.3873369,57,0.133333333,0.532608184,0.264550265
249,14,1.3076391,55,0.116666667,0.49233536,0.253968254
250,8,1,29,0.066666667,0.336879431,0.116402116
251,6,0.8619656,21,0.05,0.267128005,0.074074074
252,6,0.8619656,22,0.05,0.267128005,0.079365079
253,8,1.0207884,34,0.066666667,0.347384207,0.142857143
254,16,1.3845592,52,0.133333333,0.531204559,0.238095238
255,40,1.7379411,73,0.333333333,0.709775201,0.349206349
256,0,1.4724894,68,0,0.575637373,0.322751323
257,32,1.9862185,79,0.266666667,0.835234526,0.380952381
258,16,1.6132691,70,0.133333333,0.646776052,0.333333333
259,26,1.7495173,77,0.216666667,0.715624876,0.37037037
260,0,1.2123377,53,0,0.444177737,0.243386243
261,45,1.9565217,85,0.375,0.820228164,0.412698413
262,0,1.5365106,75,0,0.607988512,0.35978836
263,47,2.1023719,85,0.391666667,0.893929063,0.412698413
264,28,1.6828449,75,0.233333333,0.681934036,0.35978836
265,26,1.8,86,0.216666667,0.741134752,0.417989418
