Ref,Choice R3,Integration [HH] R3,Total Connectivity R3,Choice normal,Integration normal,Total Connectivity normal
106,30,1.6581639,129,0.012820513,0.438437179,0.166212534
107,223,2.5450079,399,0.095299145,0.731927828,0.534059946
108,67,2.1161878,241,0.028632479,0.590014832,0.31880109
109,206,2.4832485,389,0.088034188,0.711489277,0.520435967
110,59,2.110646,234,0.025213675,0.588180838,0.309264305
111,2340,3.3505712,741,1,0.998519581,1
112,0,0.80638385,25,0,0.156550534,0.024523161
113,0,0.80638385,25,0,0.156550534,0.024523161
114,51,1.6794915,79,0.021794872,0.445495299,0.098092643
115,1,1.2621337,63,0.00042735,0.307375616,0.076294278
116,34,1.4635203,60,0.014529915,0.374022156,0.072207084
117,22,1.4635203,51,0.009401709,0.374022156,0.059945504
118,0,0.80638385,26,0,0.156550534,0.025885559
119,200,2.3399084,185,0.085470085,0.664052547,0.242506812
120,70,1.8518485,118,0.02991453,0.502534832,0.151226158
121,34,1.9384046,163,0.014529915,0.531179561,0.21253406
122,149,2.2601235,254,0.063675214,0.637648668,0.336512262
123,91,2.1565294,241,0.038888889,0.603365412,0.31880109
124,24,1.7081656,115,0.01025641,0.454984657,0.147138965
125,52,1.8020762,141,0.022222222,0.486063271,0.182561308
126,3,1.4516129,86,0.001282051,0.370081541,0.107629428
127,12,1.6322472,123,0.005128205,0.42986035,0.158038147
128,12,1.469555,104,0.005128205,0.376019269,0.132152589
129,94,2.1385241,204,0.04017094,0.597406769,0.268392371
130,247,2.4698408,239,0.105555556,0.707052156,0.316076294
131,12,1.3746208,85,0.005128205,0.344601906,0.10626703
132,51,1.9596733,192,0.021794872,0.538218188,0.252043597
133,128,2.369031,238,0.054700855,0.673690331,0.314713896
134,8,0.98558021,18,0.003418803,0.215853473,0.014986376
135,6,0.84912294,14,0.002564103,0.170694536,0.009536785
136,4,0.70398736,10,0.001709402,0.122663613,0.004087193
137,0,0.33333334,7,0,0,0
138,251,2.5229068,110,0.107264957,0.724613728,0.140326975
139,114,2.063493,108,0.048717949,0.572576104,0.13760218
140,44,1.7164973,101,0.018803419,0.457741935,0.128065395
141,24,1.5992693,89,0.01025641,0.4189467,0.111716621
142,105,2.0201983,100,0.044871795,0.558248229,0.126702997
143,16,1.4652896,71,0.006837607,0.374607685,0.08719346
144,8,1.0445806,43,0.003418803,0.235378962,0.049046322
145,8,1.0952908,40,0.003418803,0.25216091,0.044959128
146,132,2.0789747,91,0.056410256,0.577699591,0.114441417
147,14,1.3746208,61,0.005982906,0.344601906,0.073569482
148,6,0.9792943,37,0.002564103,0.213773225,0.040871935
149,21,1.4382962,67,0.008974359,0.365674535,0.081743869
150,8,1.0207884,40,0.003418803,0.227505212,0.044959128
151,6,0.9792943,39,0.002564103,0.213773225,0.04359673
152,12,1.3272201,62,0.005128205,0.328915199,0.07493188
153,10,1.1,29,0.004273504,0.253719364,0.029972752
154,26,1.3873683,38,0.011111111,0.348820542,0.042234332
155,14,1.3304729,58,0.005982906,0.329991675,0.069482289
156,0,1,25,0,0.220625534,0.024523161
157,16,1.3270249,28,0.006837607,0.3288506,0.028610354
158,18,1.2063863,27,0.007692308,0.288926666,0.027247956
159,0,0.63684219,18,0,0.100442704,0.014986376
160,10,1.1191936,28,0.004273504,0.260071262,0.028610354
161,22,1.3057258,27,0.009401709,0.321801912,0.027247956
162,22,1.5887082,84,0.009401709,0.415451627,0.104904632
163,18,1.3006579,46,0.007692308,0.320124749,0.053133515
164,6,1.1058542,31,0.002564103,0.255656743,0.032697548
165,4,0.98558021,22,0.001709402,0.215853473,0.020435967
166,4,0.98558021,27,0.001709402,0.215853473,0.027247956
167,18,1.3270249,26,0.007692308,0.3288506,0.025885559
168,92,2.3144312,267,0.039316239,0.655621166,0.354223433
169,65,2.0144928,219,0.027777778,0.556360061,0.288828338
170,11,1.4652896,106,0.004700855,0.374607685,0.134877384
171,9,1.4652896,106,0.003846154,0.374607685,0.134877384
172,11,1.4803609,82,0.004700855,0.379595356,0.102179837
173,13,1.7257152,82,0.005555556,0.460792491,0.102179837
174,143,2.2177286,209,0.061111111,0.623618572,0.27520436
175,78,1.9363272,114,0.033333333,0.53049207,0.145776567
176,13,1.4803609,82,0.005555556,0.379595356,0.102179837
177,44,1.7081656,104,0.018803419,0.454984657,0.132152589
178,37,1.6413553,91,0.015811966,0.432874569,0.114441417
179,9,1.1768752,46,0.003846154,0.279160313,0.053133515
180,16,1.2052853,35,0.006837607,0.288562303,0.038147139
181,11,1.3443909,48,0.004700855,0.334597674,0.055858311
182,6,0.84912294,18,0.002564103,0.170694536,0.014986376
183,0,0.42239243,10,0,0.029473064,0.004087193
184,7,1.1768752,43,0.002991453,0.279160313,0.049046322
185,1,0.72781962,22,0.00042735,0.130550621,0.020435967
186,1,1.1768752,43,0.00042735,0.279160313,0.049046322
187,10,1.2621337,56,0.004273504,0.307375616,0.066757493
188,22,1.3873683,42,0.009401709,0.348820542,0.047683924
189,4,1,25,0.001709402,0.220625534,0.024523161
190,4,1,27,0.001709402,0.220625534,0.027247956
191,18,1.3873683,38,0.007692308,0.348820542,0.042234332
192,10,1.3443909,51,0.004273504,0.334597674,0.059945504
193,80,1.8489804,70,0.034188034,0.501585668,0.085831063
194,68,1.8861139,82,0.029059829,0.513874565,0.102179837
195,4,1.4791844,77,0.001709402,0.379206007,0.095367847
196,63,1.9304764,92,0.026923077,0.528555816,0.115803815
197,12,1.4255327,55,0.005128205,0.361450604,0.065395095
198,40,1.6474625,43,0.017094017,0.434895676,0.049046322
199,6,0.9792943,34,0.002564103,0.213773225,0.036784741
200,12,1.238816,46,0.005128205,0.299658896,0.053133515
201,10,1.1191936,33,0.004273504,0.260071262,0.035422343
202,34,1.550553,39,0.014529915,0.40282461,0.04359673
203,10,1.1058542,27,0.004273504,0.255656743,0.027247956
204,4,0.72781962,18,0.001709402,0.130550621,0.014986376
205,0,0.33333334,9,0,0,0.002724796
206,40,1.606352,48,0.017094017,0.421290636,0.055858311
207,16,1.3845592,38,0.006837607,0.347890903,0.042234332
208,10,1.1365665,34,0.004273504,0.26582062,0.036784741
209,6,0.91666669,29,0.002564103,0.19304735,0.029972752
210,8,1.0207884,30,0.003418803,0.227505212,0.03133515
211,34,1.5365106,48,0.014529915,0.398177442,0.055858311
212,24,1.4744722,31,0.01025641,0.377646559,0.032697548
213,10,1.1191936,32,0.004273504,0.260071262,0.034059946
214,10,1.1561403,38,0.004273504,0.27229834,0.042234332
215,36,1.5405476,49,0.015384615,0.39951344,0.057220708
216,8,1.0697098,36,0.003418803,0.243695177,0.039509537
217,6,0.8619656,24,0.002564103,0.174944664,0.023160763
218,12,1.2552096,48,0.005128205,0.305084166,0.055858311
219,12,1.2552096,46,0.005128205,0.305084166,0.053133515
220,6,0.91666669,27,0.002564103,0.19304735,0.027247956
221,6,0.9792943,36,0.002564103,0.213773225,0.039509537
222,10,1.1365665,37,0.004273504,0.26582062,0.040871935
223,54,1.8900454,88,0.023076923,0.515175649,0.110354223
224,14,1.3746208,64,0.005982906,0.344601906,0.077656676
225,14,1.3006579,44,0.005982906,0.320124749,0.050408719
226,14,1.3057258,34,0.005982906,0.321801912,0.036784741
227,10,1.1365665,34,0.004273504,0.26582062,0.036784741
228,14,1.3006579,41,0.005982906,0.320124749,0.046321526
229,14,1.3076391,50,0.005982906,0.322435096,0.058583106
230,12,1.3636364,70,0.005128205,0.340966747,0.085831063
231,22,1.31797,54,0.009401709,0.325853986,0.064032698
232,0,0.68957245,27,0,0.117893167,0.027247956
233,0,0.68957245,27,0,0.117893167,0.027247956
234,10,1.1981546,54,0.004273504,0.286202481,0.064032698
235,0,0.56608194,26,0,0.077025427,0.025885559
236,0,1.2857143,100,0,0.31517934,0.126702997
237,8,1.3636364,100,0.003418803,0.340966747,0.126702997
238,1,1.3995763,122,0.00042735,0.352860637,0.156675749
239,18,1.5346701,86,0.007692308,0.39756835,0.107629428
240,115,1.9775612,102,0.049145299,0.54413798,0.129427793
241,60,1.7288883,91,0.025641026,0.461842592,0.114441417
242,27,1.6741856,74,0.011538462,0.443739373,0.091280654
243,8,1.4255327,62,0.003418803,0.361450604,0.07493188
244,55,1.9565217,72,0.023504274,0.537175203,0.088555858
245,93,2.1294835,120,0.03974359,0.594414888,0.153950954
246,0,0.68957245,28,0,0.117893167,0.028610354
247,17,1.3076391,50,0.007264957,0.322435096,0.058583106
248,5,1.4028426,62,0.002136752,0.353941581,0.07493188
249,31,1.7257152,110,0.013247863,0.460792491,0.140326975
250,0,1.7389672,182,0,0.465178086,0.238419619
251,59,1.9976608,201,0.025213675,0.550789707,0.264305177
252,4,1.238816,51,0.001709402,0.299658896,0.059945504
253,33,1.7217885,61,0.014102564,0.459492996,0.073569482
254,2,1.0445806,39,0.000854701,0.235378962,0.04359673
255,3,1.4635203,61,0.001282051,0.374022156,0.073569482
256,0,1.2196002,61,0,0.293299652,0.073569482
257,20,1.6857162,85,0.008547009,0.44755529,0.10626703
258,0,1.1460608,50,0,0.268962647,0.058583106
259,282,2.5942967,243,0.120512821,0.74823938,0.321525886
260,339,2.5887299,310,0.144871795,0.746397113,0.41280654
261,119,2.283149,289,0.050854701,0.645268688,0.384196185
262,149,2.1876149,213,0.063675214,0.613652795,0.280653951
263,169,2.28496,249,0.072222222,0.645868017,0.329700272
264,398,2.6838112,463,0.17008547,0.777863157,0.621253406
265,904,2.9651899,630,0.386324786,0.870982147,0.848773842
266,657,2.93313,534,0.280769231,0.860372298,0.717983651
267,257,2.6063502,406,0.10982906,0.752228345,0.54359673
268,152,2.4233918,199,0.064957265,0.691680402,0.261580381
269,293,2.6435792,297,0.125213675,0.764548847,0.395095368
270,1,1.7001897,123,0.00042735,0.452345126,0.158038147
271,172,2.4629173,174,0.073504274,0.704760904,0.227520436
