Ref,Choice R3,Integration [HH] R3,Total Connectivity R3,Choice R3 n,Integration [HH] R3 n,Total Connectivity R3 n
0,41,1.8328277,67,0.045303867,0.536580884,0.108892922
1,36,1.6734514,65,0.039779006,0.479549475,0.105263158
2,14,1.3076391,50,0.015469613,0.348646757,0.078039927
3,8,1.0207884,35,0.008839779,0.245999754,0.050816697
4,8,1.0207884,33,0.008839779,0.245999754,0.047186933
5,14,1.2989333,41,0.015469613,0.345531463,0.061705989
6,18,1.3873369,58,0.019889503,0.377165914,0.092558984
7,20,1.5,82,0.022099448,0.417481415,0.136116152
8,56,1.9309677,117,0.061878453,0.57169942,0.199637024
9,246,2.4821429,152,0.271823204,0.768932624,0.263157895
10,100,2.1737089,142,0.110497238,0.658562226,0.245009074
11,58,1.8839605,114,0.064088398,0.554878307,0.194192377
12,22,1.6042534,78,0.024309392,0.454787578,0.128856624
13,10,1.1561403,49,0.011049724,0.294434242,0.076225045
14,8,1.0207884,36,0.008839779,0.245999754,0.052631579
15,12,1.2063863,31,0.013259669,0.312414332,0.043557169
16,16,1.2989333,35,0.017679558,0.345531463,0.050816697
17,18,1.3873683,38,0.019889503,0.377177151,0.056261343
18,14,1.2989333,36,0.015469613,0.345531463,0.052631579
19,8,1,27,0.008839779,0.238560808,0.036297641
20,6,0.8619656,20,0.006629834,0.18916641,0.023593466
21,6,0.84912294,16,0.006629834,0.184570777,0.016333938
22,6,0.8619656,19,0.006629834,0.18916641,0.021778584
23,8,0.98558021,22,0.008839779,0.233400812,0.02722323
24,12,1.2063863,29,0.013259669,0.312414332,0.039927405
25,16,1.2989333,38,0.017679558,0.345531463,0.056261343
26,18,1.3938289,57,0.019889503,0.37948902,0.090744102
27,18,1.3938289,57,0.019889503,0.37948902,0.090744102
28,16,1.2989333,39,0.017679558,0.345531463,0.058076225
29,12,1.2052853,36,0.013259669,0.312020349,0.052631579
30,10,1.1365665,47,0.011049724,0.28742993,0.072595281
31,16,1.4382962,92,0.017679558,0.395401252,0.154264973
32,60,1.9756846,161,0.066298343,0.58770097,0.279491833
33,62,2.1429529,173,0.068508287,0.647556462,0.301270417
34,85,2.2168565,204,0.093922652,0.674002216,0.35753176
35,66,2.2063491,225,0.072928177,0.670242235,0.395644283
36,110,2.2819183,212,0.121546961,0.69728401,0.372050817
37,81,2.3212619,203,0.089502762,0.711362771,0.355716878
38,46,1.8391043,123,0.050828729,0.53882691,0.210526316
39,62,1.9805739,121,0.068508287,0.589450563,0.206896552
40,41,2.1384616,204,0.045303867,0.64594929,0.35753176
41,149,2.3667924,234,0.164640884,0.727655461,0.411978221
42,49,1.9768722,174,0.054143646,0.588125942,0.303085299
43,22,1.5887082,124,0.024309392,0.449224865,0.212341198
44,30,1.8348413,170,0.033149171,0.537301433,0.295825771
45,114,2.4226639,233,0.125966851,0.747648586,0.410163339
46,30,1.8276744,164,0.033149171,0.53473682,0.284936479
47,16,1.3746208,95,0.017679558,0.37261557,0.159709619
48,12,1.2052853,40,0.013259669,0.312020349,0.059891107
49,8,0.98558021,23,0.008839779,0.233400812,0.029038113
50,6,0.8619656,19,0.006629834,0.18916641,0.021778584
51,6,0.84912294,15,0.006629834,0.184570777,0.014519056
52,6,0.84912294,14,0.006629834,0.184570777,0.012704174
53,6,0.84912294,17,0.006629834,0.184570777,0.01814882
54,6,0.91666669,43,0.006629834,0.208740715,0.065335753
55,63,2.2729206,278,0.06961326,0.694064262,0.491833031
56,22,1.6037242,68,0.024309392,0.454598209,0.110707804
57,52,1.8344558,102,0.057458564,0.537163485,0.172413793
58,48,1.8518485,141,0.053038674,0.54338731,0.243194192
59,42,1.8140556,151,0.04640884,0.529863453,0.261343013
60,54,1.8880572,151,0.059668508,0.556344275,0.261343013
61,63,2.0186343,153,0.06961326,0.603070143,0.264972777
62,68,2.0270002,120,0.075138122,0.606063807,0.20508167
63,0,0.70398736,13,0,0.132635285,0.010889292
64,8,0.98510355,29,0.008839779,0.233230244,0.039927405
65,12,1.238816,62,0.013259669,0.324019015,0.099818512
66,26,1.7488363,125,0.028729282,0.506525299,0.21415608
67,64,2.0186343,143,0.070718232,0.603070143,0.246823956
68,59,1.9805739,127,0.06519337,0.589450563,0.217785844
69,24,1.6794915,113,0.026519337,0.481710871,0.192377495
70,14,1.40625,99,0.015469613,0.383933801,0.166969147
71,26,1.7325417,116,0.028729282,0.50069442,0.197822142
72,56,2.040309,119,0.061878453,0.610826244,0.203266788
73,16,1.2989333,38,0.017679558,0.345531463,0.056261343
74,18,1.3938289,57,0.019889503,0.37948902,0.090744102
75,32,1.6071428,85,0.035359116,0.455821525,0.141560799
76,34,1.9345245,167,0.037569061,0.57297219,0.290381125
77,10,1.2829794,98,0.011049724,0.3398225,0.165154265
78,8,1.0207884,42,0.008839779,0.245999754,0.063520871
79,8,0.98558021,24,0.008839779,0.233400812,0.030852995
80,12,1.2123377,47,0.013259669,0.314543988,0.072595281
81,24,1.5346701,111,0.026519337,0.429887806,0.188747731
82,80,2.1355736,179,0.08839779,0.644915844,0.31215971
83,88,2.3375487,207,0.097237569,0.717190859,0.362976407
84,176,2.3166666,191,0.194475138,0.709718383,0.333938294
85,70,2.1362436,193,0.077348066,0.645155598,0.337568058
86,30,1.8017781,151,0.033149171,0.525470057,0.261343013
87,23,1.5598243,101,0.025414365,0.438889015,0.170598911
88,32,1.6118186,95,0.035359116,0.457494719,0.159709619
89,40,1.7288883,102,0.044198895,0.499387082,0.172413793
90,60,1.9345245,142,0.066298343,0.57297219,0.245009074
91,32,1.7820429,97,0.035359116,0.518407989,0.163339383
92,20,1.4028426,62,0.022099448,0.382714493,0.099818512
93,12,1.2052853,39,0.013259669,0.312020349,0.058076225
94,8,0.98558021,23,0.008839779,0.233400812,0.029038113
95,6,0.8619656,19,0.006629834,0.18916641,0.021778584
96,6,0.84912294,15,0.006629834,0.184570777,0.014519056
97,6,0.84912294,14,0.006629834,0.184570777,0.012704174
98,6,0.84912294,14,0.006629834,0.184570777,0.012704174
99,6,0.84912294,14,0.006629834,0.184570777,0.012704174
100,6,0.84912294,14,0.006629834,0.184570777,0.012704174
101,6,0.84912294,14,0.006629834,0.184570777,0.012704174
102,6,0.84912294,15,0.006629834,0.184570777,0.014519056
103,6,0.8619656,21,0.006629834,0.18916641,0.025408348
104,8,1.0207884,31,0.008839779,0.245999754,0.043557169
105,16,1.3873683,39,0.017679558,0.377177151,0.058076225
106,12,1.4669775,148,0.013259669,0.405664604,0.255898367
107,34,1.5992693,114,0.037569061,0.453004062,0.194192377
108,37,1.787379,132,0.040883978,0.520317466,0.226860254
109,28,1.5364467,76,0.030939227,0.430523546,0.12522686
110,18,1.3938289,63,0.019889503,0.37948902,0.101633394
111,22,1.5448366,88,0.024309392,0.433525798,0.147005445
112,83,2.040309,107,0.091712707,0.610826244,0.181488203
113,62,2.1594694,155,0.068508287,0.653466746,0.268602541
114,12,1.2063863,31,0.013259669,0.312414332,0.043557169
115,24,1.6673985,96,0.026519337,0.477383498,0.161524501
116,12,1.2552096,59,0.013259669,0.329885321,0.094373866
