Ref,x1,y1,x2,y2,Choice,Choice R3,Choice R7,Choice [Connectivity Wgt],Choice [Connectivity Wgt] R3,Choice [Connectivity Wgt] R7,Choice [Connectivity Wgt][Norm],Choice [Connectivity Wgt][Norm] R3,Choice [Connectivity Wgt][Norm] R7,Choice [Norm],Choice [Norm] R3,Choice [Norm] R7,Connectivity,Control,Controllability,Entropy,Entropy R3,Entropy R7,Harmonic Mean Depth,Harmonic Mean Depth R3,Harmonic Mean Depth R7,Integration [HH],Integration [HH] R3,Integration [HH] R7,Integration [P-value],Integration [P-value] R3,Integration [P-value] R7,Integration [Tekl],Integration [Tekl] R3,Integration [Tekl] R7,Intensity,Intensity R3,Intensity R7,Line Length,Mean Depth,Mean Depth R3,Mean Depth R7,Mean Depth [Connectivity Wgt],Mean Depth [Connectivity Wgt] R3,Mean Depth [Connectivity Wgt] R7,Node Count,Node Count R3,Node Count R7,RA,RA R3,RA R7,RA [Penn],RA [Penn] R3,RA [Penn] R7,RRA,RRA R3,RRA R7,Relativised Entropy,Relativised Entropy R3,Relativised Entropy R7,Total Connectivity,Total Connectivity R3,Total Connectivity R7,Total Depth,Total Depth R3,Total Depth R7
644,3012.68530387,2747.42236219,3013.38439027,2755.1190546,17301,12,220,164446,236,2969,0.019718861,0.19658476,0.076833494,0.019056525,0.13186814,0.083713852,2,0.58333331,0.2857143,5.1684041,1.4290229,2.4841776,7.1902537,4.7457628,6.82973,0.34932184,1.238816,0.87478912,0.34932184,1.238816,0.87478912,0.63136089,0.63570756,0.62432897,0.23101212,1.1908524,0.59299725,7.7283759,23.390207,2.3571429,5.2602739,22.303869,2.1836734,5.4064746,1349,15,74,0.033244554,0.20879121,0.11834095,0.51497716,0.23999999,0.25419664,2.8626895,0.80722237,1.1431327,5.8429618,1.7176391,2.8053148,4084,49,278,31530,33,384
645,3013.38439027,2755.1190546,3034.63305468,2753.43895406,14655,12,170,144377,186,2248,0.01731237,0.22129685,0.15197404,0.016142037,0.21818182,0.13877551,3,1.25,0.5,5.1791444,1.5262643,2.6017823,7.1538277,4.6153846,6.1427135,0.33464202,1.2052853,0.81050682,0.33464202,1.2052853,0.81050682,0.62874395,0.62747359,0.60428661,0.2217637,1.5262643,0.67015606,21.314983,24.372404,2.1818182,4.98,23.286728,2.1463416,5.0174417,1349,12,51,0.034702901,0.23636363,0.16244897,0.50406122,0.31578946,0.28673837,2.9882677,0.82967907,1.2337959,5.8251562,1.4668683,2.6118023,4084,41,172,32854,24,249
646,3034.63305468,2753.43895406,3041.21537616,2752.91981466,9373,20,132,100272,212,1575,0.012023702,0.4140625,0.21163666,0.010324074,0.44444445,0.1981982,4,1.5833334,0.5714286,5.1870346,1.5531402,2.6840134,7.0038691,4.3636365,5.2705884,0.32117561,1.4744722,0.80156255,0.32117561,1.4744722,0.80156255,0.62626058,0.68453515,0.5928728,0.21316363,2.1355677,0.78455776,6.6027617,25.352373,1.9,4.5405407,24.268364,1.6875,4.5901637,1349,11,38,0.036157943,0.2,0.1966967,0.4936215,0.47058824,0.3482587,3.1135614,0.67820883,1.2475632,5.8239675,1.1588688,2.394485,4084,32,122,34175,19,168
647,3041.21537616,2752.91981466,3097.79907333,2748.45547499,4168,24,130,53280,272,1315,0.006388851,0.41975307,0.27384424,0.0045909253,0.36363637,0.26209676,4,1.4166666,0.5,5.1937742,1.5696367,2.7122564,6.8727975,5.3333335,4.869565,0.30888677,1.5154221,0.84121364,0.30888677,1.5154221,0.84121364,0.62391984,0.68604112,0.59388268,0.20527369,1.8550252,0.89504462,56.759537,26.321217,2,4.15625,25.239225,1.7222222,4.1224489,1349,13,33,0.03759646,0.18181819,0.20362903,0.48381096,0.42857143,0.40935671,3.2374322,0.65988213,1.1887586,5.8462505,1.2737888,2.1894572,4084,36,98,35481,24,133
648,3041.21537616,2752.91981466,3042.54898366,2775.17309292,0,0,0,8148,36,170,0.00097703375,0.091836736,0.037673131,0,0,0,2,0.5,0.33333334,5.1924834,1.5142466,2.6479793,6.6768532,3.6923077,4.2666669,0.30866069,1.1,0.737091,0.30866069,1.1,0.737091,0.62387609,0.60206002,0.57612199,0.20507246,1.6824962,0.77738839,22.293203,26.339762,2.1111112,4.5483871,25.257101,1.8214285,4.4526315,1349,10,32,0.037623998,0.27777779,0.23655914,0.48343289,0.33333334,0.33333334,3.2398036,0.90909094,1.3566846,5.8100715,1.3243603,2.3426046,4084,28,95,35506,19,141
649,3031.66639024,2724.83466335,3034.63305468,2753.43895406,0,0,0,8150,36,226,0.00097727356,0.098765433,0.030368181,0,0,0,2,0.58333331,0.40000001,5.1848559,1.5388472,2.6066816,6.7950177,3.4285715,4.5933013,0.32104847,0.98558021,0.72919923,0.32104847,0.98558021,0.72919923,0.62623674,0.57015699,0.58158559,0.21298976,1.7312031,0.69268465,28.757721,25.362019,2.125,4.891892,24.27718,1.962963,4.8852458,1349,9,38,0.03617226,0.32142857,0.21621622,0.49342096,0.30769232,0.28358209,3.1147945,1.0146308,1.3713673,5.8015356,1.293768,2.5137024,4084,27,122,34188,17,181
650,1591.34913986,3784.36420925,1812.92947309,3787.41989244,35327,17,174,314459,214,2324,0.037707049,0.34938776,0.16867469,0.038911615,0.30909091,0.13647059,4,1.25,0.5,5.5622921,1.5566417,2.5609896,15.435125,4.8000002,6.1442981,0.25931507,1.5668709,0.80502963,0.25931507,1.5668709,0.80502963,0.61363596,0.69897002,0.60415739,0.18455695,2.0755222,0.6496169,221.60139,31.16172,1.9090909,5.0392156,30.644957,1.6285714,4.8975902,1349,12,52,0.044783551,0.18181819,0.16156863,0.43997246,0.47368422,0.27719298,3.8563128,0.63821465,1.2421904,7.0685425,1.1702437,2.7442758,4084,35,166,42006,21,257
651,1812.92947309,3787.41989244,1900.85962567,3788.64294082,41019,16,170,378394,178,2327,0.045373552,0.29061225,0.16103806,0.045181181,0.29090908,0.12820514,3,1,0.375,5.5405941,1.5262643,2.5361083,15.536346,4.6153846,5.9913588,0.267066,1.4244281,0.80004251,0.267066,1.4244281,0.80004251,0.61534357,0.67118776,0.60408545,0.18933205,1.8315172,0.63402706,87.93866,30.28635,2,5.0961537,29.74951,1.7714286,4.9294119,1349,12,53,0.043483816,0.2,0.16063349,0.44636571,0.42105263,0.26804122,3.7443926,0.70203614,1.2499336,7.0008683,1.2649173,2.760253,4084,35,170,40826,22,265
652,1880.06514479,3472.21832892,1900.85962567,3788.64294082,43494,8,184,397343,142,2464,0.04764574,0.14669421,0.1487743,0.047907319,0.12121212,0.11528822,2,0.83333331,0.40000001,5.5272493,1.3845311,2.5383785,15.623002,4.0975609,5.8082299,0.27586362,1.0697098,0.8276574,0.27586362,1.0697098,0.8276574,0.61723381,0.60170126,0.61081731,0.1950981,1.1249316,0.63187104,317.10715,29.352373,2.4166667,5.1052632,28.805338,2.3636363,4.9010987,1349,13,58,0.042097066,0.25757575,0.14661655,0.45411566,0.19047619,0.27102804,3.6249795,0.93483305,1.2082294,6.9720998,1.7917442,2.667177,4084,44,182,39567,29,291
653,1692.93262799,2975.89603198,1708.27913299,2976.04583605,27439,16,177,218750,225,1771,0.026230501,0.295858,0.15954237,0.030223224,0.24242425,0.13348417,3,1,0.42857143,5.4373612,1.5415961,2.6475697,12.784526,5.1063828,6.7375584,0.29756242,1.2989333,0.86065179,0.29756242,1.2989333,0.86065179,0.62169522,0.64596856,0.61242718,0.20702212,1.5415961,0.71229029,15.347236,27.284866,2.1666667,4.8076925,26.867777,2.025641,4.5167785,1349,13,53,0.03902727,0.21212122,0.14932127,0.48438546,0.33333334,0.31958762,3.3606393,0.76986253,1.1619101,6.7823076,1.4444195,2.4880662,4084,39,149,36780,26,250
654,1708.27913299,2976.04583605,1776.9432213,2976.73932561,27946,18,197,224813,294,1960,0.026957521,0.24489796,0.16316338,0.03078167,0.17142858,0.13766597,3,0.91666669,0.375,5.4360013,1.4989992,2.6713328,16.293617,5.915493,7.2437449,0.29937056,1.3873369,0.88490647,0.29937056,1.3873369,0.88490647,0.62205499,0.66087639,0.61679232,0.20822801,1.3324437,0.72734308,68.667587,27.126112,2.2666667,4.7592592,26.644466,2.0816326,4.483871,1349,16,55,0.038791556,0.18095239,0.14185885,0.47764826,0.2962963,0.330033,3.340342,0.72080547,1.1300629,6.7128167,1.6082193,2.4782195,4084,49,155,36566,34,257
655,1776.9432213,2976.73932561,1918.14865579,2978.14696748,37477,32,379,293986,500,3742,0.035252117,0.307787,0.23620754,0.041279774,0.23529412,0.18799603,4,1.2,0.40000001,5.4434581,1.5404148,2.6928849,18.190058,7.1489363,8.8731298,0.30471769,1.6132691,0.96712017,0.30471769,1.6132691,0.96712017,0.62310863,0.69413465,0.63191384,0.21223807,1.4593403,0.74802357,141.21245,26.667656,2.1764705,4.671875,26.146669,1.9649123,4.2977529,1349,18,65,0.038110849,0.14705883,0.11656746,0.47674859,0.3548387,0.35261708,3.2817261,0.6198594,1.0339977,6.7190142,1.5170654,2.4305379,4084,57,178,35948,37,299
