Ref,Choice R3,Integration [HH] R3,Total Connectivity R3,Choice R3 normal,Integration [HH] R3 normal,Total Connectivity R3 normal
107,28,1.6828449,71,0.033452808,0.500209916,0.149882904
108,20,1.3938289,61,0.023894863,0.393083254,0.1264637
109,33,2.0810525,46,0.039426523,0.647809533,0.091334895
110,0,1.2989333,44,0,0.357909253,0.086651054
111,0,1.2989333,44,0,0.357909253,0.086651054
112,23,1.7342104,47,0.027479092,0.519249051,0.093676815
113,32,1.6812503,50,0.03823178,0.499618861,0.100702576
114,25,1.8105773,49,0.029868578,0.547555204,0.098360656
115,21,1.550553,54,0.025089606,0.451174604,0.110070258
116,36,1.6741856,97,0.043010753,0.49700026,0.210772834
117,18,1.4255327,74,0.021505376,0.404834583,0.156908665
118,20,1.4635203,61,0.023894863,0.418915066,0.1264637
119,26,1.7342104,49,0.031063321,0.519249051,0.098360656
120,0,1.2052853,42,0,0.323197688,0.081967213
121,10,1.1058542,33,0.011947431,0.28634256,0.06088993
122,8,1,29,0.009557945,0.247106645,0.051522248
123,8,1,28,0.009557945,0.247106645,0.049180328
124,12,1.2052853,39,0.014336918,0.323197688,0.074941452
125,65,1.9731473,95,0.077658303,0.607813395,0.206088993
126,28,1.6684235,75,0.033452808,0.49486448,0.159250585
127,20,1.3873369,56,0.023894863,0.390676929,0.114754098
128,12,1.2123377,42,0.014336918,0.325811731,0.081967213
129,0,0.33333334,7,0,0,0
130,0,0.33333334,7,0,0,0
131,4,0.70398736,9,0.004778973,0.137386608,0.004683841
132,6,0.87255627,11,0.007168459,0.199868356,0.009367681
133,6,0.84912294,13,0.007168459,0.191182558,0.014051522
134,6,0.84912294,15,0.007168459,0.191182558,0.018735363
135,6,0.8619656,19,0.007168459,0.195942818,0.028103044
136,8,0.98558021,21,0.009557945,0.241761806,0.032786885
137,12,1.2222222,23,0.014336918,0.329475519,0.037470726
138,12,1.2222222,23,0.014336918,0.329475519,0.037470726
139,8,0.98558021,21,0.009557945,0.241761806,0.032786885
140,6,0.8619656,19,0.007168459,0.195942818,0.028103044
141,6,0.84912294,15,0.007168459,0.191182558,0.018735363
142,6,0.84912294,14,0.007168459,0.191182558,0.016393443
143,6,0.84912294,14,0.007168459,0.191182558,0.016393443
144,6,0.84912294,14,0.007168459,0.191182558,0.016393443
145,6,0.84912294,15,0.007168459,0.191182558,0.018735363
146,6,0.8619656,17,0.007168459,0.195942818,0.023419204
147,8,0.98558021,19,0.009557945,0.241761806,0.028103044
148,18,1.2222222,25,0.021505376,0.329475519,0.042154567
149,8,1,25,0.009557945,0.247106645,0.042154567
150,8,1.0697098,38,0.009557945,0.272945277,0.072599532
151,30,1.4635203,54,0.035842294,0.418915066,0.110070258
152,26,1.6071428,71,0.031063321,0.472150178,0.149882904
153,32,1.6673985,76,0.03823178,0.494484554,0.161592506
154,32,1.6684235,69,0.03823178,0.49486448,0.145199063
155,36,1.6828449,60,0.043010753,0.500209916,0.12412178
156,16,1.3873683,42,0.01911589,0.390688568,0.081967213
157,8,1.0207884,33,0.009557945,0.254812073,0.06088993
158,6,0.8619656,21,0.007168459,0.195942818,0.032786885
159,6,0.84912294,15,0.007168459,0.191182558,0.018735363
160,6,0.84912294,14,0.007168459,0.191182558,0.016393443
161,6,0.84912294,14,0.007168459,0.191182558,0.016393443
162,6,0.84912294,14,0.007168459,0.191182558,0.016393443
163,6,0.84912294,14,0.007168459,0.191182558,0.016393443
164,6,0.84912294,15,0.007168459,0.191182558,0.018735363
165,6,0.8619656,19,0.007168459,0.195942818,0.028103044
166,8,0.98558021,23,0.009557945,0.241761806,0.037470726
167,12,1.2052853,31,0.014336918,0.323197688,0.056206089
168,12,1.2052853,31,0.014336918,0.323197688,0.056206089
169,8,0.98558021,23,0.009557945,0.241761806,0.037470726
170,6,0.8619656,19,0.007168459,0.195942818,0.028103044
171,6,0.84912294,17,0.007168459,0.191182558,0.023419204
172,6,0.8870222,26,0.007168459,0.205230297,0.044496487
173,10,1.1058542,30,0.011947431,0.28634256,0.053864169
174,18,1.5154221,34,0.021505376,0.438152986,0.06323185
175,18,1.5154221,34,0.021505376,0.438152986,0.06323185
176,10,1.1058542,30,0.011947431,0.28634256,0.053864169
177,6,0.8870222,26,0.007168459,0.205230297,0.044496487
178,6,0.84912294,16,0.007168459,0.191182558,0.021077283
179,6,0.84912294,14,0.007168459,0.191182558,0.016393443
180,6,0.84912294,14,0.007168459,0.191182558,0.016393443
181,6,0.84912294,14,0.007168459,0.191182558,0.016393443
182,6,0.84912294,14,0.007168459,0.191182558,0.016393443
183,6,0.84912294,15,0.007168459,0.191182558,0.018735363
184,6,0.8619656,19,0.007168459,0.195942818,0.028103044
185,8,0.98558021,21,0.009557945,0.241761806,0.032786885
186,12,1.2222222,23,0.014336918,0.329475519,0.037470726
187,12,1.2222222,23,0.014336918,0.329475519,0.037470726
188,8,0.98558021,21,0.009557945,0.241761806,0.032786885
189,6,0.8619656,18,0.007168459,0.195942818,0.025761124
190,6,0.87255627,12,0.007168459,0.199868356,0.011709602
191,4,0.70398736,9,0.004778973,0.137386608,0.004683841
192,36,1.7164973,132,0.043010753,0.512683513,0.292740047
193,125,2.1024222,126,0.149342891,0.655730426,0.278688525
194,72,1.9445313,128,0.086021505,0.597206589,0.283372365
195,31,1.7983205,174,0.037037037,0.543012098,0.391100703
196,54,2.0115998,230,0.064516129,0.622066198,0.522248244
197,10,1.4522455,141,0.011947431,0.414735949,0.31381733
198,28,1.872734,163,0.033452808,0.570594204,0.365339578
199,323,2.6211631,256,0.385902031,0.848006913,0.583138173
200,117,2.4509857,290,0.139784946,0.784928963,0.662763466
201,282,2.6317604,343,0.336917563,0.851934908,0.786885246
202,249,2.5245593,319,0.297491039,0.812199751,0.730679157
203,199,2.3148217,275,0.237753883,0.734458418,0.62763466
204,114,2.3017344,269,0.136200717,0.72960748,0.613583138
205,84,1.9777361,195,0.100358423,0.60951428,0.44028103
206,66,2.0416565,213,0.078853047,0.633207013,0.482435597
207,26,1.6413553,96,0.031063321,0.484831382,0.208430913
208,66,1.8649745,159,0.078853047,0.567718068,0.355971897
209,212,2.4753733,258,0.253285544,0.79396847,0.587822014
210,164,2.3363075,242,0.195937873,0.742422344,0.550351288
211,50,1.8815688,161,0.059737157,0.573868911,0.360655738
212,54,1.7914909,122,0.064516129,0.540480639,0.269320843
213,8,1.0697098,43,0.009557945,0.272945277,0.084309133
214,16,1.3873683,46,0.01911589,0.390688568,0.091334895
215,36,1.6684235,69,0.043010753,0.49486448,0.145199063
216,32,1.6741856,86,0.03823178,0.49700026,0.18501171
217,64,1.7963344,102,0.07646356,0.542275931,0.222482436
218,48,1.8571436,109,0.05734767,0.564815467,0.238875878
219,80,1.9756846,127,0.09557945,0.608753871,0.281030445
220,109,2.028795,148,0.130227001,0.62843977,0.330210773
221,83,2.2437077,188,0.09916368,0.708099305,0.423887588
222,215,2.443996,246,0.256869773,0.782338161,0.55971897
223,76,2.4147038,356,0.090800478,0.771480715,0.817330211
224,8,0.98558021,22,0.009557945,0.241761806,0.035128806
225,18,1.2052853,34,0.021505376,0.323197688,0.06323185
226,10,1.1191936,36,0.011947431,0.291286941,0.067915691
227,19,1.3746208,60,0.022700119,0.38596358,0.12412178
228,51,1.8337219,88,0.0609319,0.55613398,0.18969555
229,26,1.7093985,124,0.031063321,0.510052272,0.274004684
230,38,1.7700537,137,0.045400239,0.532534727,0.304449649
231,105,1.9787503,136,0.125448029,0.609890203,0.302107728
232,271,2.5060155,186,0.323775388,0.805326307,0.419203747
233,222,2.4119055,175,0.265232975,0.770443497,0.393442623
234,38,1.7777745,133,0.045400239,0.535396519,0.295081967
235,34,1.7195774,160,0.040621266,0.513825183,0.358313817
236,35,1.8805417,185,0.04181601,0.573488206,0.416861827
237,0,1.3873683,48,0,0.390688568,0.096018735
238,20,1.569167,50,0.023894863,0.458074069,0.100702576
239,10,1.1191936,41,0.011947431,0.291286941,0.079625293
240,6,0.94787496,41,0.007168459,0.227785979,0.079625293
241,10,1.1365665,47,0.011947431,0.29772638,0.093676815
242,22,1.6037242,70,0.026284349,0.470883039,0.147540984
243,66,1.9491093,98,0.078853047,0.598903471,0.213114754
244,35,1.8344558,103,0.04181601,0.556406008,0.224824356
245,33,1.7325417,111,0.039426523,0.51863053,0.243559719
246,16,1.5448366,88,0.01911589,0.449055763,0.18969555
247,0,0.84615386,41,0,0.190082039,0.079625293
248,14,1.3270249,27,0.016726404,0.368321685,0.046838407
249,8,1,25,0.009557945,0.247106645,0.042154567
250,6,0.8619656,22,0.007168459,0.195942818,0.035128806
251,6,0.8870222,27,0.007168459,0.205230297,0.046838407
252,10,1.1058542,30,0.011947431,0.28634256,0.053864169
253,18,1.5154221,36,0.021505376,0.438152986,0.067915691
254,18,1.471094,49,0.021505376,0.421722333,0.098360656
255,14,1.3443909,67,0.016726404,0.374758566,0.140515222
256,24,1.6684235,79,0.028673835,0.49486448,0.168618267
257,45,2.0454545,77,0.053763441,0.63461478,0.163934426
258,26,1.7495173,70,0.031063321,0.524922706,0.147540984
259,10,1.1981546,60,0.011947431,0.320554623,0.12412178
260,8,1,34,0.009557945,0.247106645,0.06323185
261,10,1.1492875,20,0.011947431,0.302441545,0.030444965
