Ref,x1,y1,x2,y2,Choice,Choice R3,Choice R7,Choice [Connectivity Wgt],Choice [Connectivity Wgt] R3,Choice [Connectivity Wgt] R7,Choice [Connectivity Wgt][Norm],Choice [Connectivity Wgt][Norm] R3,Choice [Connectivity Wgt][Norm] R7,Choice [Norm],Choice [Norm] R3,Choice [Norm] R7,Connectivity,Control,Controllability,Entropy,Entropy R3,Entropy R7,Harmonic Mean Depth,Harmonic Mean Depth R3,Harmonic Mean Depth R7,Integration [HH],Integration [HH] R3,Integration [HH] R7,Integration [P-value],Integration [P-value] R3,Integration [P-value] R7,Integration [Tekl],Integration [Tekl] R3,Integration [Tekl] R7,Intensity,Intensity R3,Intensity R7,Line Length,Mean Depth,Mean Depth R3,Mean Depth R7,Mean Depth [Connectivity Wgt],Mean Depth [Connectivity Wgt] R3,Mean Depth [Connectivity Wgt] R7,Node Count,Node Count R3,Node Count R7,RA,RA R3,RA R7,RA [Penn],RA [Penn] R3,RA [Penn] R7,RRA,RRA R3,RRA R7,Relativised Entropy,Relativised Entropy R3,Relativised Entropy R7,Total Connectivity,Total Connectivity R3,Total Connectivity R7,Total Depth,Total Depth R3,Total Depth R7
323,3643.80852511,3863.14028149,3671.18394213,3801.48899203,633,17,472,8900,586,5926,0.0069705406,0.085616186,0.01544484,0.0032357827,0.044973545,0.0105946,3,1.0833334,0.33333334,4.492456,1.208558,2.3061852,5.7502356,7.2380953,12.926409,0.61793822,1.5842677,1.3094388,0.61793822,1.5842677,1.3094388,0.6508404,0.6877799,0.6981889,0.41356188,0.81507403,0.53425139,67.455872,11.881789,2.5714285,5.3344483,10.821652,2.4529915,5.0958905,627,29,300,0.034821726,0.11640212,0.029090255,0.71177119,0.16981132,0.26903552,1.6182848,0.63120645,0.76368594,5.8809834,2.2064505,2.8774514,1598,117,876,7438,72,1595
324,3662.05884602,3765.88753127,3671.18394213,3819.28969753,3,3,3,3207,149,1685,0.0025117442,0.062591895,0.0048103756,1.5335463e-005,0.032967035,7.571742e-005,2,0.66666669,0.33333334,4.4373164,1.3797646,2.1262362,5.5295177,4.5714288,8.3848829,0.60384375,1.1768752,1.1958067,0.60384375,1.1768752,1.1958067,0.64914352,0.62482291,0.68830377,0.39916751,1.0892878,0.45654386,54.176182,12.135783,2.4285715,5.6773047,11.088235,2.4492753,5.4301076,627,15,283,0.035634506,0.21978022,0.033290427,0.70504355,0.2,0.21065231,1.6560575,0.84970772,0.83625549,5.7289605,1.8288469,3.144294,1598,69,837,7597,34,1601
325,3300.35046476,3844.60742147,3456.58287842,3881.70756073,13257,26,1772,74528,778,15788,0.058370836,0.041772932,0.034549464,0.067767411,0.026262626,0.031113375,2,0.42424244,0.14285715,4.3899012,1.0861012,2.3937914,5.5524073,6.4978166,11.849969,0.67860633,1.8783784,1.4720161,0.67860633,1.8783784,1.4720161,0.65782017,0.71816814,0.7118113,0.44380331,0.68439251,0.60469103,160.57704,10.908946,2.6444445,4.9733729,9.9123907,2.5699482,4.6861925,627,46,339,0.031708628,0.074747473,0.023580847,0.73085433,0.14942528,0.33084205,1.4736085,0.53237408,0.67934042,5.8633556,2.3920546,2.6570096,1598,193,956,6829,119,1681
326,3289.84163188,3944.70771555,3297.5481179,3861.40748265,9714,10,462,53190,106,5406,0.04165877,0.22060354,0.023730041,0.049656231,0.27777779,0.019354029,2,0.66666669,0.33333334,4.4389362,1.5142466,1.9231107,5.3792138,3.6923077,6.5615239,0.56868345,1.1,1.0399635,0.56868345,1.1,1.0399635,0.64477253,0.60206002,0.66963875,0.37605906,1.6824962,0.3839241,83.655952,12.824281,2.1111112,6.0365295,11.842303,2.1935484,5.8800001,627,10,220,0.037837699,0.27777779,0.046206694,0.69438481,0.33333334,0.14694509,1.7584475,0.90909094,0.96157223,5.7038684,1.3243603,3.4758968,1598,31,675,8028,19,1322
327,3277.93143254,3886.60757443,3348.69143061,3827.10738675,12130,18,1266,67125,350,11692,0.052572757,0.12444445,0.030965582,0.062006392,0.10526316,0.028996794,3,1.5,0.5,4.4184661,1.2250571,2.1887853,5.5550227,5.3793101,9.8157187,0.61902869,1.3272201,1.2285885,0.61902869,1.3272201,1.2285885,0.65097046,0.65251905,0.69184065,0.4074685,0.87504083,0.47694001,92.45134,11.862619,2.5263157,5.608108,10.873592,2.5066667,5.3970079,627,20,297,0.034760382,0.16959064,0.031241411,0.7122789,0.17142858,0.22279203,1.6154341,0.75345457,0.81394219,5.769598,2.1289358,3.0762017,1598,75,869,7426,48,1660
328,3333.9790131,3848.80746163,3357.79915441,3760.60721503,49,8,30,3386,86,1460,0.0026519382,0.19111112,0.0064854156,0.00025047924,0.2857143,0.0012800819,2,0.83333331,0.40000001,4.4389544,1.5388472,1.9044565,5.3257713,3.4285715,6.116982,0.56768644,0.98558021,1.0345024,0.56768644,0.98558021,1.0345024,0.64464557,0.57015699,0.66893107,0.37540117,1.7312031,0.37915206,91.360184,12.845048,2.125,6.0506911,11.856071,2.2666667,5.8822651,627,9,218,0.037904155,0.32142857,0.046765659,0.69384807,0.30769232,0.14441842,1.7615358,1.0146308,0.96664834,5.6883988,1.293768,3.4875789,1598,30,671,8041,17,1313
329,3335.38012218,3790.70732051,3394.93060415,3745.90717393,37,6,26,3352,82,1454,0.0026253092,0.17065556,0.0064974385,0.00018913738,0.21428572,0.0011197244,2,1,0.5,4.4434519,1.4843777,1.9067116,5.2754688,3.2,5.7528853,0.56715101,0.8870222,1.032227,0.56715101,0.8870222,1.032227,0.64457732,0.54406804,0.66861737,0.3754271,1.4843777,0.3792451,74.520554,12.85623,2.25,6.0555553,11.862954,2.3548386,5.8804183,627,9,217,0.037939936,0.35714287,0.047028422,0.69355905,0.23076923,0.14352942,1.7631987,1.1273675,0.96877909,5.6777616,1.47219,3.4835563,1598,31,669,8048,18,1308
330,3380.21818663,3769.00724563,3397.03239646,3685.70701273,1234,8,422,9506,222,4350,0.0074451636,0.076869808,0.011708593,0.006307987,0.052287582,0.0099326838,2,0.83333331,0.40000001,4.4266124,1.1369522,2.1797407,5.4477444,4.3943663,8.1527567,0.61685157,1.2186118,1.2204039,0.61685157,1.2186118,1.2204039,0.65071064,0.63554442,0.69093686,0.40678382,0.77150327,0.47343513,84.98027,11.900958,2.6111112,5.6232877,10.9005,2.5657895,5.4025521,627,19,293,0.034883067,0.18954249,0.031775173,0.71126342,0.12121212,0.22010398,1.6211356,0.82060581,0.81940085,5.7394838,2.2449389,3.081917,1598,76,862,7450,47,1642
331,3323.47005153,3680.80699903,3502.12149741,3725.6071456,2783,37,1111,19294,973,9739,0.015111192,0.050143007,0.021536907,0.014226198,0.034227569,0.019858791,3,0.84090906,0.1875,4.4125891,1.1677614,2.4193826,5.6988769,9.0392523,15.908865,0.67740506,1.9710253,1.4733596,0.67740506,1.9710253,1.4733596,0.65768677,0.7262311,0.7117542,0.44530717,0.75746685,0.61305618,184.18304,10.926517,2.5957446,4.961194,9.9224033,2.5228426,4.672976,627,48,336,0.031764857,0.069380201,0.023719724,0.73037708,0.17582418,0.33283058,1.4762217,0.50735015,0.67872095,5.8450546,2.2891448,2.6400318,1598,197,951,6840,122,1662
332,3335.83000071,3709.91078745,3363.08213865,3608.0211913,4335,56,1972,30076,2035,16408,0.023555728,0.043466188,0.033617992,0.022159744,0.018175917,0.031383783,4,1.25,0.22222222,4.3481598,0.95442969,2.448262,5.7356381,11.840554,19.68136,0.71906304,2.2265232,1.6582413,0.71906304,2.2265232,1.6582413,0.66221136,0.7457397,0.72450376,0.46579465,0.56558794,0.68845284,105.47118,10.351438,2.721519,4.5690141,9.325407,2.5490196,4.2267208,627,80,356,0.029924601,0.044141512,0.020163922,0.73934728,0.12258065,0.39924136,1.3906987,0.44913071,0.6030485,5.8626142,2.6133466,2.450763,1598,306,988,6480,215,1622
333,3283.08393142,3729.23464293,3344.6210337,3696.73538848,1224,6,512,9444,280,4930,0.0073966049,0.046280991,0.011573735,0.0062568691,0.039215688,0.009968847,2,0.75,0.33333334,4.361371,1.2338498,2.2303646,5.4708362,4.8000002,8.9991894,0.6499992,1.2621337,1.3435317,0.6499992,1.2621337,1.3435317,0.65459174,0.64223737,0.70197606,0.42232889,0.86826462,0.52079582,69.591782,11.345048,2.5555556,5.2990656,10.319149,2.6545455,5.0205851,627,19,322,0.033104155,0.18300654,0.026869159,0.71900898,0.15151516,0.27559054,1.5384634,0.79230911,0.74430692,5.732204,2.1072917,2.9017146,1598,110,923,7102,46,1701
334,3254.07358688,3701.12717156,3312.9734436,3724.40366662,2,2,2,3192,60,1598,0.002499996,0.1171875,0.0049812892,1.0223642e-005,0.095238097,5.6745637e-005,2,1,0.5,4.3728886,1.5306391,1.9333316,5.1925921,3,5.5229897,0.59396005,0.8619656,1.1232915,0.59396005,0.8619656,1.1232915,0.64793515,0.52832085,0.68115568,0.38693213,1.7493018,0.39585853,63.332363,12.321086,2.1428571,5.9060149,11.297873,2.34375,5.684145,627,8,267,0.036227476,0.38095239,0.037026528,0.70013541,0.27272728,0.17142858,1.6836149,1.1601391,0.89024085,5.6547122,1.2942394,3.3817515,1598,32,801,7713,15,1571
335,3261.10641327,3717.37682365,3276.93027266,3602.31182854,24,4,16,3286,86,1674,0.0025736175,0.13271604,0.0051793274,0.0001226837,0.11111111,0.00044720218,2,0.83333331,0.40000001,4.378264,1.5142466,1.956237,5.3532529,3.6923077,6.6401172,0.59488338,1,1.1295749,0.59488338,1,1.1295749,0.6480487,0.57812965,0.6818403,0.38801011,1.5142466,0.40200746,116.14796,12.303514,2.2222223,5.8880596,11.282853,2.2777777,5.6666665,627,10,269,0.036171246,0.30555555,0.036614679,0.7006008,0.26666668,0.17454316,1.6810017,1,0.88528877,5.6652136,1.4379251,3.3622072,1598,36,804,7702,20,1578
336,3260.22737432,3608.89952802,3364.84034525,3631.73687959,1314,15,562,11428,445,6104,0.0089504868,0.066141501,0.014175832,0.0067169331,0.071428575,0.010740358,3,1,0.33333334,4.3694763,1.3801751,2.2643263,5.6532617,6.8571429,12.51326,0.65221488,1.5,1.3572068,0.65221488,1.5,1.3572068,0.65484565,0.67699248,0.70312589,0.42455629,1.0470294,0.53287911,107.07669,11.309904,2.4285715,5.2654319,10.289111,2.5517242,4.989224,627,22,325,0.032991692,0.14285715,0.026411343,0.71996355,0.23076923,0.28133124,1.533237,0.66666669,0.73680735,5.7563024,1.9013594,2.8714926,1598,116,928,7080,51,1706
337,3227.95952836,3922.32935323,3308.74978431,3932.24258605,8532,14,266,45488,91,3011,0.035626512,0.41269842,0.034301467,0.043614056,0.3888889,0.035452485,3,2,0.60000002,4.4597178,1.5142466,1.7976255,5.2762027,3.6923077,5.1653943,0.52591139,1.1,0.86336607,0.52591139,1.1,0.86336607,0.63916314,0.60206002,0.63745457,0.34939936,1.6824962,0.35325763,81.396179,13.785942,2.1111112,6.1382113,12.811014,1.8095238,6.1050119,627,10,124,0.040915016,0.27777779,0.084232971,0.6773231,0.33333334,0.11854951,1.9014609,0.90909094,1.1582572,5.6658001,1.3828565,3.6859171,1598,21,419,8630,19,755
338,3112.44369478,3969.06314375,3260.55912112,3918.08081778,6096,10,98,34590,76,1126,0.027091123,0.42105263,0.050106801,0.031161662,0.35714287,0.065993264,2,0.66666669,0.33333334,4.4784379,1.4843777,2.0356026,5.0861859,3.2,3.9322033,0.48900965,1.1087778,0.70071876,0.48900965,1.1087778,0.70071876,0.634031,0.60245162,0.59148347,0.32624382,1.9084858,0.43509063,156.6441,14.750799,2,5.7818184,13.782228,1.7368422,6.0707545,627,9,56,0.044002555,0.2857143,0.17710438,0.66095555,0.38461539,0.14886731,2.0449495,0.90189397,1.427106,5.6413651,1.2104051,3.4503109,1598,19,212,9234,16,318
339,2967.36337367,4242.6521494,3146.45842316,3946.46931313,4976,14,86,27160,76,611,0.021271896,0.46913579,0.14128801,0.025436422,0.5,0.22751322,3,2,0.60000002,4.4959574,1.5388472,2.413254,4.9591131,3.4285715,3.3103449,0.45779175,1.1087778,0.61688304,0.45779175,1.1087778,0.61688304,0.62944806,0.60245162,0.55055559,0.30660924,1.9785179,0.62486041,346.12036,15.688498,2,5.0357141,14.730288,1.6666666,5.516129,627,9,29,0.047003195,0.2857143,0.29894179,0.64596486,0.38461539,0.23129252,2.1843994,0.90189397,1.6210529,5.6258879,1.2209314,2.9520338,1598,18,93,9821,16,141
340,3038.73812479,4007.36482217,3078.42459114,4061.8875529,0,0,0,1594,9,40,0.0012484316,0.10650887,0.041322313,0,0,0,1,0.33333334,0.33333334,4.500351,1.4874687,2.654985,4.491806,2,2.2857144,0.4286553,0.58170414,0.52268583,0.4286553,0.58170414,0.52268583,0.62494498,0.3868528,0.50055331,0.28737348,1.7849625,0.82063168,67.436958,16.686901,2.2,4.5,15.729036,2,4.818182,627,6,17,0.050198082,0.60000002,0.46666667,0.63018757,0.14285715,0.25333333,2.3328769,1.7190869,1.9131953,5.5936399,1.2149562,2.1961927,1598,13,44,10446,11,72
341,2959.78804701,4232.40405056,3003.69637109,4259.71172271,2672,8,60,16832,56,338,0.013182937,0.38754326,0.29340279,0.013658786,0.38095239,0.39215687,2,0.83333331,0.40000001,4.4997959,1.5306391,2.7075341,4.7738132,3,2.8235295,0.4317328,0.98510355,0.61999547,0.4317328,0.98510355,0.61999547,0.62543172,0.56457502,0.52931958,0.28940117,2.0408521,0.91862762,51.707348,16.575079,2,4.1666665,15.635795,1.7647059,4.5,627,8,19,0.049840257,0.33333334,0.37254903,0.63282371,0.36363637,0.34482759,2.3162475,1.0151217,1.6129149,5.6235228,1.1403179,2.1323063,1598,17,48,10376,14,75
342,2912.74318428,4356.40774701,2984.87855468,4238.22373388,1603,6,54,11214,48,290,0.0087828813,0.375,0.42366692,0.0081942491,0.2857143,0.39705881,2,1,0.5,4.4915409,1.5306391,2.7013369,4.5883498,3,2.6666667,0.40927514,0.8619656,0.59750706,0.40927514,0.8619656,0.59750706,0.62181532,0.52832085,0.52129602,0.27384248,1.7493018,0.91743517,138.45927,17.429712,2.1428571,4.1764708,16.515644,1.8125,3.945946,627,8,18,0.052575082,0.38095239,0.39705881,0.62096924,0.27272728,0.33333334,2.4433441,1.1601391,1.6736205,5.6570816,1.2942394,2.1094861,1598,16,37,10911,15,71
343,2874.21139756,4325.5187351,2983.98240078,4389.08740392,547,6,50,5650,42,268,0.0044251182,0.37333333,0.41358024,0.0027961661,0.40000001,0.41666666,2,1,0.5,4.4890199,1.5491613,2.6993899,4.5127988,2.6666667,2.5263157,0.38929021,0.84912294,0.58540809,0.38929021,0.84912294,0.58540809,0.61846387,0.51139158,0.51505399,0.26032329,2.1688259,0.93652308,126.84892,18.273163,2,4.125,17.386108,1.8,4,627,7,17,0.055274121,0.40000001,0.41666666,0.60985029,0.33333334,0.33333334,2.5687778,1.1776857,1.70821,5.7134452,1.0911623,2.0541828,1598,15,36,11439,12,66
344,2882.27613925,4302.24005153,2883.62037011,4332.23371606,411,6,46,4912,40,260,0.0038471117,0.40816328,0.36011079,0.0021009585,0.40000001,0.33823529,2,1,0.5,4.4445844,1.5491613,2.6741021,4.50354,2.6666667,2.5945945,0.38675073,0.84912294,0.55629969,0.38675073,0.84912294,0.55629969,0.6180284,0.51139158,0.51212186,0.25606489,2.1688259,0.84445328,30.023771,18.386581,2,4.4117646,17.506884,1.7142857,4.2368422,627,7,18,0.055637062,0.40000001,0.42647058,0.60728848,0.33333334,0.28395063,2.5856447,1.1776857,1.7975923,5.7426801,1.0911623,2.2839284,1598,14,38,11510,12,75
345,2737.10950192,4252.54904319,2886.30857444,4319.25140295,1395,6,46,10006,40,270,0.0078367675,0.40816328,0.32123736,0.0071309903,0.40000001,0.30065361,2,1,0.5,4.4124608,1.5491613,2.6559312,4.551723,2.6666667,2.6666667,0.40521708,0.84912294,0.55218351,0.40521708,0.84912294,0.55218351,0.62114531,0.51139158,0.51457715,0.2663534,2.1688259,0.80099517,163.43062,17.59425,2,4.5555553,16.705257,1.7142857,4.4146342,627,7,19,0.053101599,0.40000001,0.41830066,0.61717337,0.33333334,0.26436782,2.467813,1.1776857,1.8109922,5.7146587,1.0911623,2.3762128,1598,14,41,11014,12,82
346,2627.95244905,4088.38557755,2758.20399191,4272.45310127,2592,6,50,16162,40,304,0.012658188,0.40816328,0.28733459,0.013249841,0.40000001,0.2631579,2,1,0.5,4.3832688,1.5491613,2.6419914,4.6424127,2.6666667,2.8742516,0.42996883,0.84912294,0.56365663,0.42996883,0.84912294,0.56365663,0.62515306,0.51139158,0.52306175,0.28075486,2.1688259,0.76002496,225.49129,16.638977,2,4.6999998,15.742804,1.7142857,4.5652175,627,7,21,0.050044727,0.40000001,0.38947368,0.63131732,0.33333334,0.25252524,2.3257499,1.1776857,1.7741299,5.7070756,1.0911623,2.4494567,1598,14,46,10416,12,94
