Cluster_Kmeans_916395,Ref,Choice R3,Integration [HH] R3,Total Connectivity R3,choice_normal,integration_normal,connect_normal
3,371,3,1.2241485,44,0.0023734 ,0.1989386 ,0.08937198 
3,372,11,1.3845592,46,0.0087025 ,0.2347618 ,0.09420290 
3,373,35,1.6042534,64,0.0276899 ,0.2838244 ,0.13768116 
3,374,14,1.3076391,42,0.0110759 ,0.2175839 ,0.08454106 
3,375,8,0.98558021,26,0.0063291 ,0.1456611 ,0.04589372 
3,376,4,0.69804502,15,0.0031646 ,0.0814481 ,0.01932367 
3,377,0,0.33333334,8,0.0000000 ,0.0000000 ,0.00241546 
2,378,52,1.9145788,161,0.0411392 ,0.3531269 ,0.37198068 
3,379,14,1.3746208,74,0.0110759 ,0.2325424 ,0.16183575 
3,380,10,1.1768752,53,0.0079114 ,0.1883814 ,0.11111111 
3,381,30,1.5110798,71,0.0237342 ,0.2630167 ,0.15458937 
3,382,10,1.1561403,39,0.0079114 ,0.1837509 ,0.07729469 
3,383,18,1.2063863,30,0.0142405 ,0.1949719 ,0.05555556 
3,384,10,1.1191936,38,0.0079114 ,0.1754999 ,0.07487923 
3,385,14,1.3746208,71,0.0110759 ,0.2325424 ,0.15458937 
3,386,0,0.42239243,10,0.0000000 ,0.0198889 ,0.00724638 
3,387,6,0.84912294,16,0.0047468 ,0.1151872 ,0.02173913 
2,388,60,2.1707439,290,0.0474684 ,0.4103342 ,0.68357488 
2,389,18,1.8888417,219,0.0142405 ,0.3473792 ,0.51207729 
3,390,9,1.3235294,117,0.0071203 ,0.2211325 ,0.26570048 
3,391,18,1.2552096,63,0.0142405 ,0.2058752 ,0.13526570 
2,392,19,1.6883124,162,0.0150316 ,0.3025966 ,0.37439614 
2,393,67,1.9533483,180,0.0530063 ,0.3617849 ,0.41787440 
2,394,21,1.5226898,99,0.0166139 ,0.2656094 ,0.22222222 
2,395,26,1.6794915,129,0.0205696 ,0.3006267 ,0.29468599 
2,396,8,1.5226898,124,0.0063291 ,0.2656094 ,0.28260870 
2,397,30,2.1804278,249,0.0237342 ,0.4124968 ,0.58454106 
2,398,12,1.4505,133,0.0094937 ,0.2494879 ,0.30434783 
3,399,6,1.0983083,78,0.0047468 ,0.1708357 ,0.17149758 
2,400,18,1.6216003,136,0.0142405 ,0.2876983 ,0.31159420 
2,401,109,2.4428959,359,0.0862342 ,0.4711117 ,0.85024155 
2,402,3,1.7797406,158,0.0023734 ,0.3230145 ,0.36473430 
2,403,130,2.245183,263,0.1028481 ,0.4269580 ,0.61835749 
2,404,25,1.5887082,101,0.0197785 ,0.2803528 ,0.22705314 
2,405,12,1.5842677,134,0.0094937 ,0.2793611 ,0.30676329 
2,406,31,1.6741856,94,0.0245253 ,0.2994418 ,0.21014493 
3,407,18,1.3873369,47,0.0142405 ,0.2353822 ,0.09661836 
3,408,8,1.0445806,35,0.0063291 ,0.1588371 ,0.06763285 
3,409,8,1.0207884,40,0.0063291 ,0.1535238 ,0.07971014 
3,410,22,1.4538981,92,0.0174051 ,0.2502467 ,0.20531401 
3,411,8,1.0207884,38,0.0063291 ,0.1535238 ,0.07487923 
3,412,8,1,30,0.0063291 ,0.1488813 ,0.05555556 
3,413,37,1.5405476,48,0.0292722 ,0.2695975 ,0.09903382 
3,414,10,1.1191936,32,0.0079114 ,0.1754999 ,0.06038647 
3,415,6,0.8870222,21,0.0047468 ,0.1236509 ,0.03381643 
3,416,6,0.8870222,21,0.0047468 ,0.1236509 ,0.03381643 
3,417,6,0.84912294,16,0.0047468 ,0.1151872 ,0.02173913 
3,418,6,0.84912294,16,0.0047468 ,0.1151872 ,0.02173913 
3,419,10,1.1191936,32,0.0079114 ,0.1754999 ,0.06038647 
3,420,8,1.2123377,35,0.0063291 ,0.1963010 ,0.06763285 
3,421,17,1.3873369,46,0.0134494 ,0.2353822 ,0.09420290 
2,422,29,1.5517242,88,0.0229430 ,0.2720935 ,0.19565217 
3,423,4,0.70398736,9,0.0031646 ,0.0827752 ,0.00483092 
3,424,6,0.87255627,12,0.0047468 ,0.1204203 ,0.01207729 
3,425,6,0.8619656,20,0.0047468 ,0.1180552 ,0.03140097 
3,426,8,1.0697098,38,0.0063291 ,0.1644490 ,0.07487923 
3,427,0,0.33333334,7,0.0000000 ,0.0000000 ,0.00000000 
2,428,34,1.7555087,104,0.0268987 ,0.3176030 ,0.23429952 
3,429,12,1.2726263,55,0.0094937 ,0.2097648 ,0.11594203 
3,430,8,1,32,0.0063291 ,0.1488813 ,0.06038647 
3,431,8,1,25,0.0063291 ,0.1488813 ,0.04347826 
3,432,18,1.2063863,33,0.0142405 ,0.1949719 ,0.06280193 
3,433,8,0.98558021,20,0.0063291 ,0.1456611 ,0.03140097 
3,434,6,0.8619656,17,0.0047468 ,0.1180552 ,0.02415459 
3,435,6,0.84912294,15,0.0047468 ,0.1151872 ,0.01932367 
3,436,6,0.84912294,14,0.0047468 ,0.1151872 ,0.01690821 
3,437,6,0.84912294,14,0.0047468 ,0.1151872 ,0.01690821 
3,438,6,0.84912294,14,0.0047468 ,0.1151872 ,0.01690821 
3,439,6,0.84912294,14,0.0047468 ,0.1151872 ,0.01690821 
3,440,6,0.84912294,16,0.0047468 ,0.1151872 ,0.02173913 
3,441,6,0.8870222,23,0.0047468 ,0.1236509 ,0.03864734 
3,442,10,1.1561403,42,0.0079114 ,0.1837509 ,0.08454106 
3,443,12,1.3304729,54,0.0094937 ,0.2226832 ,0.11352657 
3,444,18,1.3304729,55,0.0142405 ,0.2226832 ,0.11594203 
2,445,46,1.8017781,107,0.0363924 ,0.3279360 ,0.24154589 
3,446,10,1.2621337,58,0.0079114 ,0.2074215 ,0.12318841 
3,447,0,0.68957245,27,0.0000000 ,0.0795560 ,0.04830918 
3,448,8,1.1981546,52,0.0063291 ,0.1931336 ,0.10869565 
3,449,10,1.3815587,74,0.0079114 ,0.2340918 ,0.16183575 
2,450,116,2.1163981,113,0.0917722 ,0.3981975 ,0.25603865 
3,451,8,1.2829794,65,0.0063291 ,0.2120768 ,0.14009662 
3,452,10,1.3636364,70,0.0079114 ,0.2300893 ,0.15217391 
3,453,6,1.0445806,44,0.0047468 ,0.1588371 ,0.08937198 
2,454,51,1.8855816,109,0.0403481 ,0.3466511 ,0.24637681 
2,455,46,1.8416041,78,0.0363924 ,0.3368300 ,0.17149758 
2,456,18,1.6211112,101,0.0142405 ,0.2875891 ,0.22705314 
2,457,10,1.8017781,109,0.0079114 ,0.3279360 ,0.24637681 
3,458,1,1.1460608,57,0.0007911 ,0.1814999 ,0.12077295 
3,459,1,1.390353,68,0.0007911 ,0.2360557 ,0.14734300 
3,460,3,1.0698866,52,0.0023734 ,0.1644885 ,0.10869565 
3,461,7,1.1191936,43,0.0055380 ,0.1754999 ,0.08695652 
2,462,15,1.7251066,111,0.0118671 ,0.3108136 ,0.25120773 
2,463,52,1.8140556,128,0.0411392 ,0.3306778 ,0.29227053 
3,464,18,1.4724894,65,0.0142405 ,0.2543986 ,0.14009662 
3,465,12,1.2552096,47,0.0094937 ,0.2058752 ,0.09661836 
3,466,23,1.5154221,43,0.0181962 ,0.2639864 ,0.08695652 
3,467,20,1.6008096,43,0.0158228 ,0.2830553 ,0.08695652 
3,468,23,1.5364467,59,0.0181962 ,0.2686817 ,0.12560386 
2,469,39,1.6249448,89,0.0308544 ,0.2884452 ,0.19806763 
3,470,13,1.4255327,70,0.0102848 ,0.2439121 ,0.15217391 
2,471,49,1.7812788,82,0.0387658 ,0.3233580 ,0.18115942 
3,472,22,1.606352,63,0.0174051 ,0.2842930 ,0.13526570 
3,473,20,1.3304729,61,0.0158228 ,0.2226832 ,0.13043478 
3,474,12,1.4166186,83,0.0094937 ,0.2419214 ,0.18357488 
3,475,1,1.1561403,49,0.0007911 ,0.1837509 ,0.10144928 
2,476,54,2.1804278,249,0.0427215 ,0.4124968 ,0.58454106 
2,477,71,2.2761276,253,0.0561709 ,0.4338687 ,0.59420290 
2,478,0,1.6118186,122,0.0000000 ,0.2855139 ,0.27777778 
2,479,13,1.6118186,122,0.0102848 ,0.2855139 ,0.27777778 
2,480,2,1.6118186,122,0.0015823 ,0.2855139 ,0.27777778 
2,481,24,2.1853197,251,0.0189873 ,0.4135893 ,0.58937198 
2,482,16,1.6891669,149,0.0126582 ,0.3027874 ,0.34299517 
3,483,6,1.1058542,38,0.0047468 ,0.1725209 ,0.07487923 
3,484,10,1.1087778,29,0.0079114 ,0.1731738 ,0.05314010 
3,485,0,0.58170414,15,0.0000000 ,0.0554667 ,0.01932367 
3,486,8,1.2906152,74,0.0063291 ,0.2137821 ,0.16183575 
2,487,15,1.7429876,174,0.0118671 ,0.3148068 ,0.40338164 
3,488,3,1.1981546,67,0.0023734 ,0.1931336 ,0.14492754 
2,489,44,1.9582232,176,0.0348101 ,0.3628736 ,0.40821256 
3,490,6,1.3443909,72,0.0047468 ,0.2257914 ,0.15700483 
3,491,17,1.4135897,74,0.0134494 ,0.2412450 ,0.16183575 
3,492,8,1.1191936,43,0.0063291 ,0.1754999 ,0.08695652 
3,493,15,1.4028426,72,0.0118671 ,0.2388449 ,0.15700483 
3,494,4,1.1708162,70,0.0031646 ,0.1870283 ,0.15217391 
2,495,18,1.7802029,176,0.0142405 ,0.3231178 ,0.40821256 
2,496,31,1.9261212,176,0.0245253 ,0.3557045 ,0.40821256 
3,497,0,1.4724894,74,0.0000000 ,0.2543986 ,0.16183575 
3,498,6,1.4724894,74,0.0047468 ,0.2543986 ,0.16183575 
2,499,44,1.9261212,176,0.0348101 ,0.3557045 ,0.40821256 
2,500,18,1.7702218,174,0.0142405 ,0.3208888 ,0.40338164 
3,501,2,1.0405263,59,0.0015823 ,0.1579317 ,0.12560386 
3,502,4,1.0952908,59,0.0031646 ,0.1701618 ,0.12560386 
2,503,42,1.8273257,174,0.0332278 ,0.3336413 ,0.40338164 
3,504,0,0.94593292,59,0.0000000 ,0.1368069 ,0.12560386 
2,505,64,2.2408686,274,0.0506329 ,0.4259945 ,0.64492754 
2,506,126,2.2428508,255,0.0996835 ,0.4264372 ,0.59903382 
2,507,11,1.5352089,110,0.0087025 ,0.2684052 ,0.24879227 
2,508,310,2.5126681,185,0.2452532 ,0.4866933 ,0.42995169 
2,509,116,2.1715031,145,0.0917722 ,0.4105037 ,0.33333333 
3,510,12,1.2906152,60,0.0094937 ,0.2137821 ,0.12801932 
2,511,36,1.6857162,93,0.0284810 ,0.3020168 ,0.20772947 
2,512,42,1.8017781,107,0.0332278 ,0.3279360 ,0.24154589 
3,513,33,1.4724894,72,0.0261076 ,0.2543986 ,0.15700483 
3,514,0,1.5003179,101,0.0000000 ,0.2606133 ,0.22705314 
2,515,4,1.5717616,101,0.0031646 ,0.2765682 ,0.22705314 
3,516,2,1.0698866,52,0.0015823 ,0.1644885 ,0.10869565 
3,517,0,1.5003179,101,0.0000000 ,0.2606133 ,0.22705314 
2,518,12,1.7612134,127,0.0094937 ,0.3188770 ,0.28985507 
2,519,33,1.9321858,159,0.0261076 ,0.3570589 ,0.36714976 
2,520,14,1.6434549,108,0.0110759 ,0.2925789 ,0.24396135 
3,521,15,1.4135897,72,0.0118671 ,0.2412450 ,0.15700483 
2,522,42,1.632839,107,0.0332278 ,0.2902082 ,0.24154589 
3,523,0,0.88468331,39,0.0000000 ,0.1231286 ,0.07729469 
3,524,10,1.1365665,46,0.0079114 ,0.1793796 ,0.09420290 
3,525,6,0.9792943,33,0.0047468 ,0.1442573 ,0.06280193 
3,526,12,1.2052853,33,0.0094937 ,0.1947260 ,0.06280193 
3,527,44,1.6261337,58,0.0348101 ,0.2887107 ,0.12318841 
3,528,0,0.91666669,27,0.0000000 ,0.1302712 ,0.04830918 
3,529,0,0.91666669,27,0.0000000 ,0.1302712 ,0.04830918 
3,530,6,1.4244281,36,0.0047468 ,0.2436654 ,0.07004831 
3,531,1,1.2063863,32,0.0007911 ,0.1949719 ,0.06038647 
3,532,18,1.6587812,33,0.0142405 ,0.2960016 ,0.06280193 
3,533,1,1.2063863,33,0.0007911 ,0.1949719 ,0.06280193 
3,534,14,1.4244281,38,0.0110759 ,0.2436654 ,0.07487923 
3,535,1,1.1981546,53,0.0007911 ,0.1931336 ,0.11111111 
3,536,0,0.80638385,29,0.0000000 ,0.1056426 ,0.05314010 
3,537,8,0.98558021,29,0.0063291 ,0.1456611 ,0.05314010 
3,538,0,0.49860358,13,0.0000000 ,0.0369085 ,0.01449275 
3,539,13,1.5226898,84,0.0102848 ,0.2656094 ,0.18599034 
3,540,3,1.0445806,44,0.0023734 ,0.1588371 ,0.08937198 
3,541,11,1.3304729,61,0.0087025 ,0.2226832 ,0.13043478 
3,542,9,1.1561403,40,0.0071203 ,0.1837509 ,0.07971014 
3,543,28,1.5154221,46,0.0221519 ,0.2639864 ,0.09420290 
3,544,0,0.80638385,25,0.0000000 ,0.1056426 ,0.04347826 
3,545,18,1.4896638,71,0.0142405 ,0.2582340 ,0.15458937 
3,546,25,1.4864661,41,0.0197785 ,0.2575199 ,0.08212560 
3,547,11,1.4783703,27,0.0087025 ,0.2557119 ,0.04830918 
3,548,7,1.3791449,21,0.0055380 ,0.2335527 ,0.03381643 
3,549,3,1.4783703,27,0.0023734 ,0.2557119 ,0.04830918 
3,550,2,0.98510355,21,0.0015823 ,0.1455546 ,0.03381643 
3,551,4,1.1087778,27,0.0031646 ,0.1731738 ,0.04830918 
3,552,0,0.8619656,21,0.0000000 ,0.1180552 ,0.03381643 
3,553,14,1.3304729,60,0.0110759 ,0.2226832 ,0.12801932 
3,554,6,0.94787496,30,0.0047468 ,0.1372406 ,0.05555556 
3,555,6,0.8619656,19,0.0047468 ,0.1180552 ,0.02898551 
3,556,6,0.84912294,19,0.0047468 ,0.1151872 ,0.02898551 
3,557,8,1.0207884,30,0.0063291 ,0.1535238 ,0.05555556 
3,558,26,1.3938289,50,0.0205696 ,0.2368320 ,0.10386473 
3,559,8,1.0207884,30,0.0063291 ,0.1535238 ,0.05555556 
3,560,6,0.8619656,18,0.0047468 ,0.1180552 ,0.02657005 
3,561,6,0.87255627,12,0.0047468 ,0.1204203 ,0.01207729 
3,562,4,0.70398736,9,0.0031646 ,0.0827752 ,0.00483092 
3,563,0,0.33333334,7,0.0000000 ,0.0000000 ,0.00000000 
3,564,8,0.98558021,18,0.0063291 ,0.1456611 ,0.02657005 
3,565,6,0.8619656,18,0.0047468 ,0.1180552 ,0.02657005 
3,566,6,0.8619656,18,0.0047468 ,0.1180552 ,0.02657005 
3,567,8,0.98558021,18,0.0063291 ,0.1456611 ,0.02657005 
3,568,18,1.2671746,18,0.0142405 ,0.2085473 ,0.02657005 
3,569,6,0.84912294,14,0.0047468 ,0.1151872 ,0.01690821 
3,570,0,0.42239243,10,0.0000000 ,0.0198889 ,0.00724638 
3,571,8,0.98558021,17,0.0063291 ,0.1456611 ,0.02415459 
3,572,6,0.84912294,14,0.0047468 ,0.1151872 ,0.01690821 
3,573,4,0.70398736,10,0.0031646 ,0.0827752 ,0.00724638 
3,574,0,0.33333334,7,0.0000000 ,0.0000000 ,0.00000000 
3,575,6,0.8870222,25,0.0047468 ,0.1236509 ,0.04347826 
3,576,0,0.42239243,12,0.0000000 ,0.0198889 ,0.01207729 
2,577,0,1.5592309,141,0.0000000 ,0.2737699 ,0.32367150 
2,578,39,1.7339301,143,0.0308544 ,0.3127840 ,0.32850242 
3,579,3,1.0102814,50,0.0023734 ,0.1511774 ,0.10386473 
3,580,1,0.70398736,18,0.0007911 ,0.0827752 ,0.02657005 
3,581,1,1.0102814,50,0.0007911 ,0.1511774 ,0.10386473 
2,582,25,1.632839,125,0.0197785 ,0.2902082 ,0.28502415 
3,583,26,1.5405476,64,0.0205696 ,0.2695975 ,0.13768116 
3,584,12,1.375,33,0.0094937 ,0.2326271 ,0.06280193 
3,585,1,0.98558021,28,0.0007911 ,0.1456611 ,0.05072464 
3,586,10,1.2052853,45,0.0079114 ,0.1947260 ,0.09178744 
3,587,1,0.98558021,28,0.0007911 ,0.1456611 ,0.05072464 
3,588,0,1.25,113,0.0000000 ,0.2047118 ,0.25603865 
3,589,0,0.33333334,14,0.0000000 ,0.0000000 ,0.01690821 
3,590,4,0.9216888,47,0.0031646 ,0.1313927 ,0.09661836 
2,591,20,1.6659329,142,0.0158228 ,0.2975988 ,0.32608696 
3,592,0,1.2162162,120,0.0000000 ,0.1971671 ,0.27294686 
3,593,19,1.3873369,57,0.0150316 ,0.2353822 ,0.12077295 
2,594,22,1.6460875,145,0.0174051 ,0.2931669 ,0.33333333 
3,595,10,1.1561403,51,0.0079114 ,0.1837509 ,0.10628019 
3,596,18,1.2222222,25,0.0142405 ,0.1985084 ,0.04347826 
3,597,6,0.84912294,15,0.0047468 ,0.1151872 ,0.01932367 
3,598,0,0.42239243,10,0.0000000 ,0.0198889 ,0.00724638 
3,599,8,1.0207884,30,0.0063291 ,0.1535238 ,0.05555556 
3,600,6,0.8870222,23,0.0047468 ,0.1236509 ,0.03864734 
3,601,8,0.98558021,20,0.0063291 ,0.1456611 ,0.03140097 
2,602,13,1.7938285,167,0.0102848 ,0.3261607 ,0.38647343 
3,603,5,1.4382962,92,0.0039557 ,0.2467625 ,0.20531401 
3,604,14,1.1191936,27,0.0110759 ,0.1754999 ,0.04830918 
3,605,16,1.3845592,34,0.0126582 ,0.2347618 ,0.06521739 
2,606,77,1.9513603,39,0.0609177 ,0.3613410 ,0.07729469 
3,607,0,1.0445806,29,0.0000000 ,0.1588371 ,0.05314010 
3,608,26,1.569167,35,0.0205696 ,0.2759888 ,0.06763285 
3,609,7,1.0445806,28,0.0055380 ,0.1588371 ,0.05072464 
3,610,17,1.2671746,24,0.0134494 ,0.2085473 ,0.04106280 
3,611,16,1.2989333,30,0.0126582 ,0.2156397 ,0.05555556 
3,612,3,0.8619656,22,0.0023734 ,0.1180552 ,0.03623188 
3,613,2,0.94787496,27,0.0015823 ,0.1372406 ,0.04830918 
3,614,0,0.58170414,16,0.0000000 ,0.0554667 ,0.02173913 
3,615,14,1.3006579,35,0.0110759 ,0.2160248 ,0.06763285 
3,616,10,1.1768752,41,0.0079114 ,0.1883814 ,0.08212560 
3,617,6,1.0102814,36,0.0047468 ,0.1511774 ,0.07004831 
3,618,53,1.7669872,44,0.0419304 ,0.3201664 ,0.08937198 
3,619,2,0.8619656,21,0.0015823 ,0.1180552 ,0.03381643 
3,620,2,0.98558021,25,0.0015823 ,0.1456611 ,0.04347826 
3,621,16,1.3006579,35,0.0126582 ,0.2160248 ,0.06763285 
3,622,5,1.1058542,29,0.0039557 ,0.1725209 ,0.05314010 
3,623,8,1.1058542,29,0.0063291 ,0.1725209 ,0.05314010 
3,624,48,1.6132691,43,0.0379747 ,0.2858378 ,0.08695652 
3,625,24,1.3845592,36,0.0189873 ,0.2347618 ,0.07004831 
3,626,10,1.1058542,26,0.0079114 ,0.1725209 ,0.04589372 
3,627,14,1.1492875,19,0.0110759 ,0.1822205 ,0.02898551 
3,628,4,1,25,0.0031646 ,0.1488813 ,0.04347826 
3,629,2,0.8619656,19,0.0015823 ,0.1180552 ,0.02898551 
3,630,6,1.0189475,15,0.0047468 ,0.1531127 ,0.01932367 
3,631,0,0.58170414,13,0.0000000 ,0.0554667 ,0.01449275 
3,632,0,0.88468331,28,0.0000000 ,0.1231286 ,0.05072464 
3,633,0,1.0445806,29,0.0000000 ,0.1588371 ,0.05314010 
3,634,12,1.3006579,33,0.0094937 ,0.2160248 ,0.06280193 
3,635,0,0.63684219,16,0.0000000 ,0.0677802 ,0.02173913 
3,636,34,1.550553,38,0.0268987 ,0.2718319 ,0.07487923 
3,637,10,1.1058542,28,0.0079114 ,0.1725209 ,0.05072464 
3,638,4,0.72781962,17,0.0031646 ,0.0880975 ,0.02415459 
3,639,0,0.33333334,9,0.0000000 ,0.0000000 ,0.00483092 
3,640,8,1.0207884,28,0.0063291 ,0.1535238 ,0.05072464 
3,641,0,0.49860358,15,0.0000000 ,0.0369085 ,0.01932367 
3,642,26,1.3873683,32,0.0205696 ,0.2353892 ,0.06038647 
3,643,8,1.0445806,36,0.0063291 ,0.1588371 ,0.07004831 
3,644,8,1.0445806,30,0.0063291 ,0.1588371 ,0.05555556 
3,645,22,1.3057258,26,0.0174051 ,0.2171566 ,0.04589372 
3,646,6,0.8619656,18,0.0047468 ,0.1180552 ,0.02657005 
3,647,0,0.42239243,11,0.0000000 ,0.0198889 ,0.00966184 
3,648,8,1,22,0.0063291 ,0.1488813 ,0.03623188 
3,649,6,0.8619656,23,0.0047468 ,0.1180552 ,0.03864734 
3,650,16,1.4255327,52,0.0126582 ,0.2439121 ,0.10869565 
3,651,6,0.9792943,34,0.0047468 ,0.1442573 ,0.06521739 
3,652,8,1.0445806,37,0.0063291 ,0.1588371 ,0.07246377 
3,653,18,1.2552096,46,0.0142405 ,0.2058752 ,0.09420290 
3,654,0,0.63684219,21,0.0000000 ,0.0677802 ,0.03381643 
3,655,12,1.2241485,36,0.0094937 ,0.1989386 ,0.07004831 
3,656,49,1.8105773,37,0.0387658 ,0.3299010 ,0.07246377 
3,657,22,1.4864661,34,0.0174051 ,0.2575199 ,0.06521739 
3,658,4,1.2123377,32,0.0031646 ,0.1963010 ,0.06038647 
3,659,0,1.2123377,32,0.0000000 ,0.1963010 ,0.06038647 
3,660,31,1.6531878,32,0.0245253 ,0.2947525 ,0.06038647 
3,661,8,1,25,0.0063291 ,0.1488813 ,0.04347826 
3,662,0,0.49860358,16,0.0000000 ,0.0369085 ,0.02173913 
3,663,8,1.1058542,27,0.0063291 ,0.1725209 ,0.04830918 
3,664,5,0.8870222,25,0.0039557 ,0.1236509 ,0.04347826 
3,665,7,1.0207884,29,0.0055380 ,0.1535238 ,0.05314010 
3,666,12,1.2063863,28,0.0094937 ,0.1949719 ,0.05072464 
3,667,6,0.84912294,18,0.0047468 ,0.1151872 ,0.02657005 
3,668,0,0.42239243,11,0.0000000 ,0.0198889 ,0.00966184 
3,669,28,1.5395753,55,0.0221519 ,0.2693803 ,0.11594203 
3,670,8,1.1460608,47,0.0063291 ,0.1814999 ,0.09661836 
3,671,12,1.238816,44,0.0094937 ,0.2022142 ,0.08937198 
2,672,59,1.8294003,46,0.0466772 ,0.3341046 ,0.09420290 
3,673,27,1.5405476,45,0.0213608 ,0.2695975 ,0.09178744 
3,674,11,1.3076391,39,0.0087025 ,0.2175839 ,0.07729469 
3,675,24,1.5668709,30,0.0189873 ,0.2754760 ,0.05555556 
3,676,14,1.1,24,0.0110759 ,0.1712135 ,0.04106280 
3,677,0,0.58170414,14,0.0000000 ,0.0554667 ,0.01690821 
3,678,0,0.58170414,14,0.0000000 ,0.0554667 ,0.01690821 
3,679,20,1.4244281,30,0.0158228 ,0.2436654 ,0.05555556 
3,680,6,0.8870222,23,0.0047468 ,0.1236509 ,0.03864734 
3,681,0,0.42239243,12,0.0000000 ,0.0198889 ,0.01207729 
3,682,13,1.3006579,38,0.0102848 ,0.2160248 ,0.07487923 
3,683,1,0.98558021,27,0.0007911 ,0.1456611 ,0.04830918 
3,684,5,1.3057258,32,0.0039557 ,0.2171566 ,0.06038647 
3,685,6,1.1191936,32,0.0047468 ,0.1754999 ,0.06038647 
3,686,23,1.3845592,44,0.0181962 ,0.2347618 ,0.08937198 
3,687,5,1.0697098,36,0.0039557 ,0.1644490 ,0.07004831 
3,688,24,1.5448366,58,0.0189873 ,0.2705553 ,0.12318841 
3,689,10,1.2196002,49,0.0079114 ,0.1979229 ,0.10144928 
3,690,5,1,27,0.0039557 ,0.1488813 ,0.04830918 
3,691,0,0.8619656,22,0.0000000 ,0.1180552 ,0.03623188 
3,692,0,0.8870222,24,0.0000000 ,0.1236509 ,0.04106280 
3,693,0,0.8870222,24,0.0000000 ,0.1236509 ,0.04106280 
3,694,4,1.3076391,45,0.0031646 ,0.2175839 ,0.09178744 
3,695,2,0.98558021,28,0.0015823 ,0.1456611 ,0.05072464 
3,696,26,1.471094,45,0.0205696 ,0.2540870 ,0.09178744 
3,697,4,0.98558021,28,0.0031646 ,0.1456611 ,0.05072464 
3,698,0,0.84912294,20,0.0000000 ,0.1151872 ,0.03140097 
3,699,4,1.2671746,28,0.0031646 ,0.2085473 ,0.05072464 
3,700,48,1.6037242,56,0.0379747 ,0.2837062 ,0.11835749 
3,701,10,1.1365665,36,0.0079114 ,0.1793796 ,0.07004831 
3,702,6,0.91666669,25,0.0047468 ,0.1302712 ,0.04347826 
3,703,8,0.98510355,20,0.0063291 ,0.1455546 ,0.03140097 
3,704,12,1.1492875,18,0.0094937 ,0.1822205 ,0.02657005 
3,705,6,0.98510355,18,0.0047468 ,0.1455546 ,0.02657005 
3,706,10,1.1492875,20,0.0079114 ,0.1822205 ,0.03140097 
3,707,0,0.98510355,18,0.0000000 ,0.1455546 ,0.02657005 
3,708,8,1,26,0.0063291 ,0.1488813 ,0.04589372 
3,709,10,1.1561403,38,0.0079114 ,0.1837509 ,0.07487923 
3,710,10,1.1365665,36,0.0079114 ,0.1793796 ,0.07004831 
3,711,6,0.91666669,26,0.0047468 ,0.1302712 ,0.04589372 
3,712,8,0.98558021,27,0.0063291 ,0.1456611 ,0.04830918 
3,713,15,1.2123377,37,0.0118671 ,0.1963010 ,0.07246377 
3,714,11,1.3938289,48,0.0087025 ,0.2368320 ,0.09903382 
3,715,3,1.2552096,47,0.0023734 ,0.2058752 ,0.09661836 
3,716,12,1.5405476,48,0.0094937 ,0.2695975 ,0.09903382 
2,717,93,2.6609459,49,0.0735759 ,0.5198070 ,0.10144928 
2,718,45,2.1966166,47,0.0356013 ,0.4161121 ,0.09661836 
3,719,8,1.2241485,42,0.0063291 ,0.1989386 ,0.08454106 
3,720,2,1.0102814,39,0.0015823 ,0.1511774 ,0.07729469 
3,721,12,1.3845592,44,0.0094937 ,0.2347618 ,0.08937198 
3,722,8,1.550553,47,0.0063291 ,0.2718319 ,0.09661836 
3,723,13,1.569167,44,0.0102848 ,0.2759888 ,0.08937198 
3,724,6,1.3873369,47,0.0047468 ,0.2353822 ,0.09661836 
3,725,8,1.3845592,44,0.0063291 ,0.2347618 ,0.08937198 
3,726,11,1.3270249,35,0.0087025 ,0.2219132 ,0.06763285 
3,727,6,1.0445806,38,0.0047468 ,0.1588371 ,0.07487923 
3,728,13,1.3873369,47,0.0102848 ,0.2353822 ,0.09661836 
3,729,8,1,22,0.0063291 ,0.1488813 ,0.03623188 
3,730,0,0.49860358,14,0.0000000 ,0.0369085 ,0.01690821 
3,731,0,0.73918515,23,0.0000000 ,0.0906356 ,0.03864734 
3,732,8,1,22,0.0063291 ,0.1488813 ,0.03623188 
3,733,6,0.84912294,15,0.0047468 ,0.1151872 ,0.01932367 
3,734,4,0.70398736,10,0.0031646 ,0.0827752 ,0.00724638 
3,735,0,0.33333334,7,0.0000000 ,0.0000000 ,0.00000000 
3,736,16,1.4255327,52,0.0126582 ,0.2439121 ,0.10869565 
3,737,6,0.9792943,33,0.0047468 ,0.1442573 ,0.06280193 
3,738,6,0.84912294,20,0.0047468 ,0.1151872 ,0.03140097 
3,739,6,0.8619656,22,0.0047468 ,0.1180552 ,0.03623188 
3,740,8,1.0952908,37,0.0063291 ,0.1701618 ,0.07246377 
3,741,38,1.6071428,55,0.0300633 ,0.2844696 ,0.11594203 
3,742,8,1.0697098,34,0.0063291 ,0.1644490 ,0.06521739 
3,743,4,0.69804502,17,0.0031646 ,0.0814481 ,0.02415459 
3,744,0,0.33333334,8,0.0000000 ,0.0000000 ,0.00241546 
3,745,18,1.238816,40,0.0142405 ,0.2022142 ,0.07971014 
3,746,8,0.98558021,23,0.0063291 ,0.1456611 ,0.03864734 
3,747,6,0.84912294,14,0.0047468 ,0.1151872 ,0.01690821 
3,748,4,0.70398736,10,0.0031646 ,0.0827752 ,0.00724638 
