grid_name,latitude,longitude,Predicted Label,Prob_W
grid_0,30.86504217,120.6625238,none_jiangnan_water_towns,0.051664472
grid_1,30.86485867,120.6602022,none_jiangnan_water_towns,0.133086741
grid_2,30.87127207,120.6640062,jiangnan_water_towns,0.678124189
grid_3,30.87209355,120.6956511,none_jiangnan_water_towns,0.067990959
grid_4,30.87328653,120.6864755,none_jiangnan_water_towns,0.219353735
grid_5,30.87292097,120.6910045,jiangnan_water_towns,0.670017242
grid_6,30.88006901,120.6843971,none_jiangnan_water_towns,0.067585468
grid_7,30.87850344,120.6959508,none_jiangnan_water_towns,0.099582732
grid_8,30.87792143,120.6905565,jiangnan_water_towns,0.517639399
grid_9,30.87012402,120.6582562,none_jiangnan_water_towns,0.226191044
grid_10,30.87825316,120.6656408,none_jiangnan_water_towns,0.220600665
grid_11,30.88083655,120.6729099,none_jiangnan_water_towns,0.152862012
grid_12,30.87790177,120.6581006,none_jiangnan_water_towns,0.064692974
grid_13,30.88600988,120.6662087,jiangnan_water_towns,0.793046176
grid_14,30.88600988,120.6581006,jiangnan_water_towns,0.805236518
grid_15,30.88628762,120.6739774,none_jiangnan_water_towns,0.197240412
grid_16,30.89411798,120.6581006,none_jiangnan_water_towns,0.079072773
grid_17,30.89411798,120.6743168,none_jiangnan_water_towns,0.349539161
grid_18,30.88649579,120.683059,none_jiangnan_water_towns,0.086034656
grid_19,30.88766707,120.698156,none_jiangnan_water_towns,0.412780106
grid_20,30.88842515,120.7054773,none_jiangnan_water_towns,0.26752919
grid_21,30.88601043,120.6905318,none_jiangnan_water_towns,0.339817882
grid_22,30.89411798,120.690533,none_jiangnan_water_towns,0.108537555
grid_23,30.89411798,120.6824249,none_jiangnan_water_towns,0.072595954
grid_24,30.89394696,120.7054223,jiangnan_water_towns,0.711846113
grid_25,30.89411798,120.6986411,none_jiangnan_water_towns,0.091662645
grid_26,30.90222609,120.6986411,none_jiangnan_water_towns,0.143185675
grid_27,30.9019473,120.7046047,none_jiangnan_water_towns,0.108537555
grid_28,30.89411798,120.6662087,none_jiangnan_water_towns,0.374450266
grid_29,30.90222609,120.6581006,none_jiangnan_water_towns,0.105424404
grid_30,30.90222609,120.6662087,none_jiangnan_water_towns,0.334020853
grid_31,30.90222609,120.6743168,none_jiangnan_water_towns,0.282002568
grid_32,30.9103342,120.6743168,none_jiangnan_water_towns,0.307956457
grid_33,30.9103342,120.6662087,none_jiangnan_water_towns,0.179846168
grid_34,30.9103342,120.6581006,none_jiangnan_water_towns,0.432491064
grid_35,30.91844231,120.6662087,jiangnan_water_towns,0.850322187
grid_36,30.91844231,120.6743168,none_jiangnan_water_towns,0.172383785
grid_37,30.91844231,120.6581006,none_jiangnan_water_towns,0.127274454
grid_38,30.90222609,120.690533,无,无
grid_39,30.90222609,120.6824249,none_jiangnan_water_towns,0.092714429
grid_40,30.9103342,120.6986411,none_jiangnan_water_towns,0.169995189
grid_41,30.9103342,120.6824249,none_jiangnan_water_towns,0.081099749
grid_42,30.91077806,120.7045485,none_jiangnan_water_towns,0.027071595
