Ref,Choice R3,Integration [HH] R3,Total Connectivity R3,Choice R3 n,Integration [HH] R3 n,Total Connectivity R3 n
92,6,0.84912294,15,0.017045455,0.20967988,0.022792023
93,6,0.84912294,14,0.017045455,0.20967988,0.01994302
94,6,0.84912294,14,0.017045455,0.20967988,0.01994302
95,6,0.84912294,14,0.017045455,0.20967988,0.01994302
96,6,0.84912294,14,0.017045455,0.20967988,0.01994302
97,6,0.84912294,14,0.017045455,0.20967988,0.01994302
98,6,0.84912294,14,0.017045455,0.20967988,0.01994302
99,6,0.84912294,14,0.017045455,0.20967988,0.01994302
100,6,0.84912294,14,0.017045455,0.20967988,0.01994302
101,6,0.84912294,14,0.017045455,0.20967988,0.01994302
102,6,0.84912294,14,0.017045455,0.20967988,0.01994302
103,6,0.84912294,14,0.017045455,0.20967988,0.01994302
104,6,0.84912294,16,0.017045455,0.20967988,0.025641026
105,6,0.8870222,24,0.017045455,0.225086768,0.048433048
106,10,1.1365665,41,0.028409091,0.326532045,0.096866097
107,40,1.6178579,111,0.113636364,0.522187644,0.296296296
108,14,1.6659329,169,0.039772727,0.541731195,0.461538462
109,47,2.0229185,138,0.133522727,0.686853737,0.373219373
110,14,1.40625,97,0.039772727,0.436164352,0.256410256
111,12,1.2123377,54,0.034090909,0.357334714,0.133903134
112,41,2.3622561,261,0.116477273,0.824801976,0.723646724
113,48,2.2751732,265,0.136363636,0.789400851,0.735042735
114,24,1.7093985,176,0.068181818,0.559400922,0.481481481
115,8,1.0952908,70,0.022727273,0.30975256,0.179487179
116,6,0.8619656,23,0.017045455,0.214900706,0.045584046
117,6,0.84912294,15,0.017045455,0.20967988,0.022792023
118,6,0.84912294,15,0.017045455,0.20967988,0.022792023
119,6,0.8619656,18,0.017045455,0.214900706,0.031339031
120,8,1,22,0.022727273,0.271014742,0.042735043
121,22,1.3057258,26,0.0625,0.395299042,0.054131054
122,8,1,22,0.022727273,0.271014742,0.042735043
123,6,0.8619656,18,0.017045455,0.214900706,0.031339031
124,6,0.84912294,15,0.017045455,0.20967988,0.022792023
125,6,0.84912294,14,0.017045455,0.20967988,0.01994302
126,6,0.84912294,14,0.017045455,0.20967988,0.01994302
127,6,0.84912294,14,0.017045455,0.20967988,0.01994302
128,6,0.84912294,14,0.017045455,0.20967988,0.01994302
129,6,0.84912294,14,0.017045455,0.20967988,0.01994302
130,6,0.84912294,14,0.017045455,0.20967988,0.01994302
131,6,0.84912294,14,0.017045455,0.20967988,0.01994302
132,6,0.84912294,15,0.017045455,0.20967988,0.022792023
133,6,0.8619656,18,0.017045455,0.214900706,0.031339031
134,8,1,22,0.022727273,0.271014742,0.042735043
135,22,1.3057258,26,0.0625,0.395299042,0.054131054
136,8,1,22,0.022727273,0.271014742,0.042735043
