Ref,Choice R3,Integration [HH] R3,Total Depth R3,Choice R3,Integration [HH] R3,Total Depth R3
114,38,1.8962001,56,0.287878788,0.755214208,0.510204082
115,38,1.8597906,48,0.287878788,0.737620276,0.428571429
116,53,1.9912097,49,0.401515152,0.801125095,0.43877551
117,10,1.7269484,50,0.075757576,0.673427781,0.448979592
118,21,1.6684235,45,0.159090909,0.645147164,0.397959184
119,38,2.0147731,46,0.287878788,0.812511488,0.408163265
120,68,2.124928,50,0.515151515,0.865740943,0.448979592
121,52,1.9341822,47,0.393939394,0.773568058,0.418367347
122,35,1.8597906,48,0.265151515,0.737620276,0.428571429
123,28,1.5517242,50,0.212121212,0.5887553,0.448979592
124,19,1.7925211,35,0.143939394,0.705114061,0.295918367
125,26,1.8294003,32,0.196969697,0.722934964,0.265306122
126,36,1.6981779,36,0.272727273,0.659525194,0.306122449
127,0,1.5405476,35,0,0.583354503,0.295918367
128,56,2.0257571,38,0.424242424,0.817819217,0.326530612
129,30,1.8328277,40,0.227272727,0.724591165,0.346938776
130,37,1.8599865,37,0.28030303,0.737714939,0.316326531
131,0,0.91666669,21,0,0.281880481,0.153061224
132,28,1.550553,32,0.212121212,0.588189349,0.265306122
133,24,1.4864661,27,0.181818182,0.557221042,0.214285714
134,28,1.569167,29,0.212121212,0.597184074,0.234693878
135,32,1.6132691,37,0.242424242,0.618495253,0.316326531
136,0,0.33333334,6,0,0,0
137,4,0.70398736,7,0.03030303,0.179108795,0.010204082
138,6,0.87255627,9,0.045454545,0.260565282,0.030612245
139,6,0.8619656,15,0.045454545,0.25544762,0.091836735
140,8,1,20,0.060606061,0.322149109,0.142857143
141,14,1.3057258,23,0.106060606,0.469883051,0.173469388
142,0,0.8870222,18,0,0.267555562,0.12244898
143,0,0.8870222,18,0,0.267555562,0.12244898
144,28,1.5364467,38,0.212121212,0.581372851,0.326530612
145,32,1.6261337,34,0.242424242,0.624711732,0.285714286
146,16,1.375,17,0.121212121,0.503357984,0.112244898
147,0,0.84912294,12,0,0.249241742,0.06122449
148,0,0.42239243,9,0,0.04303546,0.030612245
149,6,0.8870222,18,0.045454545,0.267555562,0.12244898
150,16,1.3873683,28,0.121212121,0.509334639,0.224489796
151,18,1.471094,30,0.136363636,0.549792879,0.244897959
152,10,1.1058542,22,0.075757576,0.373300363,0.163265306
153,6,0.8870222,18,0.045454545,0.267555562,0.12244898
154,6,0.84912294,12,0.045454545,0.249241742,0.06122449
155,6,0.84912294,12,0.045454545,0.249241742,0.06122449
156,6,0.8619656,15,0.045454545,0.25544762,0.091836735
157,8,1.0445806,26,0.060606061,0.34369151,0.204081633
158,18,1.4724894,42,0.136363636,0.55046717,0.367346939
159,38,1.6828449,39,0.287878788,0.652115926,0.336734694
160,24,1.569167,29,0.181818182,0.597184074,0.234693878
161,18,1.3057258,23,0.136363636,0.469883051,0.173469388
162,10,1.1,19,0.075757576,0.370471475,0.132653061
163,8,0.98558021,17,0.060606061,0.315181125,0.112244898
164,8,1.0697098,29,0.060606061,0.355834534,0.234693878
165,18,1.4635203,36,0.136363636,0.546133088,0.306122449
166,14,1.3057258,23,0.106060606,0.469883051,0.173469388
167,10,1.1058542,22,0.075757576,0.373300363,0.163265306
168,10,1.1,19,0.075757576,0.370471475,0.132653061
169,20,1.4744722,19,0.151515152,0.551425305,0.132653061
170,14,1.3270249,20,0.106060606,0.48017528,0.142857143
171,8,1,20,0.060606061,0.322149109,0.142857143
172,6,0.8619656,15,0.045454545,0.25544762,0.091836735
173,6,0.8619656,15,0.045454545,0.25544762,0.091836735
174,8,0.98558021,17,0.060606061,0.315181125,0.112244898
175,12,1.2052853,24,0.090909091,0.421347824,0.183673469
176,14,1.2063863,21,0.106060606,0.421879854,0.153061224
177,18,1.3845592,31,0.136363636,0.507977216,0.255102041
178,0,0.84912294,12,0,0.249241742,0.06122449
179,0,0.33333334,6,0,0,0
180,4,0.70398736,7,0.03030303,0.179108795,0.010204082
181,6,0.87255627,9,0.045454545,0.260565282,0.030612245
182,6,0.84912294,12,0.045454545,0.249241742,0.06122449
183,6,0.84912294,12,0.045454545,0.249241742,0.06122449
184,6,0.84912294,12,0.045454545,0.249241742,0.06122449
185,6,0.84912294,12,0.045454545,0.249241742,0.06122449
186,6,0.8619656,15,0.045454545,0.25544762,0.091836735
187,8,1.0207884,23,0.060606061,0.332194556,0.173469388
188,16,1.3938289,37,0.121212121,0.512456554,0.316326531
189,10,1.1087778,16,0.075757576,0.374713116,0.102040816
190,10,1.1191936,25,0.075757576,0.379746277,0.193877551
191,16,1.4028426,40,0.121212121,0.516812187,0.346938776
192,10,1.1492875,13,0.075757576,0.394288362,0.071428571
193,8,0.98510355,14,0.060606061,0.314950791,0.081632653
194,6,0.8619656,15,0.045454545,0.25544762,0.091836735
195,6,0.84912294,12,0.045454545,0.249241742,0.06122449
196,6,0.8619656,15,0.045454545,0.25544762,0.091836735
197,8,1.0207884,23,0.060606061,0.332194556,0.173469388
198,16,1.3938289,37,0.121212121,0.512456554,0.316326531
199,20,1.4244281,22,0.151515152,0.527242812,0.163265306
200,34,1.8185065,22,0.257575758,0.717670822,0.163265306
201,0,0.33333334,6,0,0,0
202,4,0.70398736,7,0.03030303,0.179108795,0.010204082
203,6,0.87255627,9,0.045454545,0.260565282,0.030612245
204,6,0.8870222,18,0.045454545,0.267555562,0.12244898
205,10,1.1365665,28,0.075757576,0.388141274,0.224489796
206,22,1.6474625,31,0.166666667,0.635018313,0.255102041
207,0,0.98558021,17,0,0.315181125,0.112244898
208,20,1.4744722,19,0.151515152,0.551425305,0.132653061
209,24,1.5154221,24,0.181818182,0.571213266,0.183673469
210,12,1.2222222,18,0.090909091,0.429532135,0.12244898
211,8,0.98558021,17,0.060606061,0.315181125,0.112244898
212,6,0.8619656,15,0.045454545,0.25544762,0.091836735
213,6,0.8619656,15,0.045454545,0.25544762,0.091836735
214,8,1,20,0.060606061,0.322149109,0.142857143
215,14,1.31797,35,0.106060606,0.475799738,0.295918367
216,28,1.5405476,35,0.212121212,0.583354503,0.295918367
217,20,1.3873683,28,0.151515152,0.509334639,0.224489796
218,0,1.2241485,30,0,0.430462969,0.244897959
219,0,1,20,0,0.322149109,0.142857143
220,20,1.3988512,25,0.151515152,0.514883448,0.193877551
221,0,1.1365665,28,0,0.388141274,0.224489796
222,10,1.1492875,13,0.075757576,0.394288362,0.071428571
223,8,0.98510355,14,0.060606061,0.314950791,0.081632653
224,6,0.8619656,15,0.045454545,0.25544762,0.091836735
225,6,0.8619656,15,0.045454545,0.25544762,0.091836735
226,8,1,20,0.060606061,0.322149109,0.142857143
227,14,1.2989333,26,0.106060606,0.466600754,0.204081633
