Ref,x1,y1,x2,y2,Choice,Choice R3,Choice R7,Choice [Connectivity Wgt],Choice [Connectivity Wgt] R3,Choice [Connectivity Wgt] R7,Choice [Connectivity Wgt][Norm],Choice [Connectivity Wgt][Norm] R3,Choice [Connectivity Wgt][Norm] R7,Choice [Norm],Choice [Norm] R3,Choice [Norm] R7,Connectivity,Control,Controllability,Entropy,Entropy R3,Entropy R7,Harmonic Mean Depth,Harmonic Mean Depth R3,Harmonic Mean Depth R7,Integration [HH],Integration [HH] R3,Integration [HH] R7,Integration [P-value],Integration [P-value] R3,Integration [P-value] R7,Integration [Tekl],Integration [Tekl] R3,Integration [Tekl] R7,Intensity,Intensity R3,Intensity R7,Line Length,Mean Depth,Mean Depth R3,Mean Depth R7,Mean Depth [Connectivity Wgt],Mean Depth [Connectivity Wgt] R3,Mean Depth [Connectivity Wgt] R7,Node Count,Node Count R3,Node Count R7,RA,RA R3,RA R7,RA [Penn],RA [Penn] R3,RA [Penn] R7,RRA,RRA R3,RRA R7,Relativised Entropy,Relativised Entropy R3,Relativised Entropy R7,Total Connectivity,Total Connectivity R3,Total Connectivity R7,Total Depth,Total Depth R3,Total Depth R7
1214,-2568.4237981,3913.96820705,-2387.93113435,4189.87324822,1847,23,109,26914,383,1591,0.0033341749,0.19927159,0.066345572,0.0019439425,0.12105263,0.041476406,3,0.94999999,0.27272728,3.7422223,1.4553398,2.5177083,8.7540865,7.0243902,7.7552018,0.55109447,1.6042534,0.91911966,0.55109447,1.6042534,0.91911966,0.66106123,0.69098377,0.62975264,0.26278582,1.2224854,0.63156074,329.69864,15.251632,2.3,5.0547943,14.969139,2.0645161,4.8721461,1380,21,74,0.020684516,0.1368421,0.11263318,0.46674806,0.2972973,0.29016787,1.8145709,0.62334293,1.0879977,4.2513576,1.7059057,2.8013701,4018,62,219,21032,46,369
1215,-2694.57795365,3565.43387801,-2553.11786209,3948.51952869,1169,24,120,23677,317,1892,0.0029331672,0.24375241,0.0572908,0.0012303566,0.22857143,0.033613447,4,1.6666666,0.44444445,3.8764307,1.5550365,2.4313862,10.461246,6.4864864,8.8503981,0.54568017,1.550553,0.90325499,0.54568017,1.550553,0.90325499,0.66040164,0.68682092,0.63205677,0.26953566,1.5550365,0.56666452,408.36942,15.393039,2.1333334,5.352941,15.144848,2.0392158,5.1828794,1380,16,86,0.020889752,0.16190477,0.10364146,0.44094867,0.37037036,0.24335378,1.8325753,0.6449312,1.107107,4.220232,1.4507858,2.9558711,4018,51,257,21227,32,455
1216,-2530.24783787,3985.33452188,-2439.40312694,3881.23697081,184,3,7,9536,136,572,0.001181344,0.078138463,0.017456055,0.0001936575,0.01754386,0.0019607844,2,0.58333331,0.2857143,3.8744352,1.2743722,2.3893867,9.5627031,5.1063828,6.915987,0.54565263,1.3272201,0.90570283,0.54565263,1.3272201,0.90570283,0.6603983,0.65251905,0.63234615,0.26938334,0.9102658,0.55838931,138.16318,15.393764,2.5263157,5.3411765,15.145595,2.2711864,5.1640625,1380,20,86,0.020890804,0.16959064,0.10336135,0.44092047,0.17142858,0.24539877,1.8326677,0.75345457,1.1041149,4.2199464,2.0503726,2.9573066,4018,59,256,21228,48,454
1217,-2677.08010752,3635.98430927,-2582.61554028,3533.25261707,1592,4,66,26350,124,1347,0.0032643052,0.10763889,0.029933333,0.0016755584,0.060606062,0.012564249,2,0.5,0.2857143,3.9360781,1.4758458,2.3898466,11.402661,4.4444447,7.3173828,0.5694353,1.2123377,0.95125026,0.5694353,1.2123377,0.95125026,0.66325766,0.62951124,0.64265496,0.28559795,1.3704282,0.54866236,139.56129,14.792603,2.25,5.4077668,14.532105,2.25,5.21,1380,13,104,0.020018293,0.22727273,0.086426802,0.46427062,0.2857143,0.239531,1.7561257,0.82485271,1.0512481,4.1063294,1.5494391,2.8959737,4018,48,300,20399,27,557
1218,-2697.64379577,3588.47089797,-2588.39910384,3477.39226721,773,1,39,15993,88,1069,0.0019812535,0.076388888,0.023755556,0.00081357203,0.015151516,0.0074243289,2,0.5,0.2857143,3.9360781,1.4758458,2.3898466,11.402661,4.4444447,7.3173828,0.5694353,1.2123377,0.95125026,0.5694353,1.2123377,0.95125026,0.66325766,0.62951124,0.64265496,0.28559795,1.3704282,0.54866236,155.79752,14.792603,2.25,5.4077668,14.532105,2.25,5.21,1380,13,104,0.020018293,0.22727273,0.086426802,0.46427062,0.2857143,0.239531,1.7561257,0.82485271,1.0512481,4.1063294,1.5494391,2.8959737,4018,48,300,20399,27,557
1219,-2205.97193358,4187.1016193,-2113.66640083,4080.5853162,0,0,0,4010,48,270,0.00049676903,0.030612245,0.006987216,0,0,0,1,0.14285715,0.14285715,3.8011734,1.2564886,2.4198568,8.0359306,3.1304348,5.2880578,0.56580603,1.2196002,0.93684965,0.56580603,1.2196002,0.93684965,0.66282755,0.63400531,0.63893682,0.27405149,0.92870891,0.56248486,140.94691,14.881073,2.5,5.3578949,14.617472,2.375,5.1618705,1380,17,96,0.020146696,0.2,0.092721164,0.46083429,0.1724138,0.24590164,1.76739,0.81994081,1.0674071,4.1766086,1.9932873,2.8765345,4018,56,278,20521,40,509
1220,-2172.16991264,4318.94801393,-2058.41312265,4142.93632255,0,0,0,4010,48,270,0.00049676903,0.030612245,0.006987216,0,0,0,1,0.14285715,0.14285715,3.8011734,1.2564886,2.4198568,8.0359306,3.1304348,5.2880578,0.56580603,1.2196002,0.93684965,0.56580603,1.2196002,0.93684965,0.66282755,0.63400531,0.63893682,0.27405149,0.92870891,0.56248486,209.57271,14.881073,2.5,5.3578949,14.617472,2.375,5.1618705,1380,17,96,0.020146696,0.2,0.092721164,0.46083429,0.1724138,0.24590164,1.76739,0.81994081,1.0674071,4.1766086,1.9932873,2.8765345,4018,56,278,20521,40,509
1221,-1627.36394227,4938.61006095,-1382.11887812,4588.85511065,2756,6,96,16054,64,736,0.0019888105,0.1632653,0.027826088,0.0029006526,0.16666667,0.033684209,2,1.3333334,0.5,3.6435707,1.4287713,2.3307512,6.1390862,3.3333333,5.3633981,0.61815304,0.91666669,0.8328957,0.61815304,0.91666669,0.8328957,0.66882992,0.55788589,0.6202299,0.28699359,1.298883,0.52170885,427.16937,13.705584,2.3333333,5.5394735,13.38004,2.25,5.5173912,1380,10,77,0.018440615,0.33333334,0.12105263,0.54140711,0.2,0.20689656,1.6177224,1.0909091,1.2006305,3.9748611,1.6264987,2.9826145,4018,28,230,18900,21,421
1222,-1768.85152281,4716.60991745,-1386.3110746,5015.05349994,0,0,0,4015,10,144,0.00049738842,0.1183432,0.01332778,0,0,0,1,0.5,0.5,3.64502,1.4575424,2.2024596,4.8538213,1.6,2.7076838,0.57308108,0.42239243,0.6786747,0.57308108,0.42239243,0.6786747,0.66368753,0.25192964,0.58394158,0.2661725,1.8219281,0.47879553,485.18631,14.704859,2.25,5.7142859,14.379542,2.2307692,5.6666665,1380,5,50,0.019890942,0.83333331,0.19642857,0.52222168,0,0.15384616,1.7449538,2.3674667,1.47346,4.0801802,1.2033685,3.0878828,4018,13,147,20278,9,280
1223,-4426.59359107,4387.30610784,-4092.64620377,4385.11082496,6846,23,635,80705,674,9362,0.0099979406,0.1348,0.043510187,0.0072053224,0.052873563,0.030667439,3,0.64285713,0.25,4.0362983,1.2994524,2.3997238,5.3145027,8,13.058484,0.7517637,1.7164973,1.166015,0.7517637,1.7164973,1.166015,0.68249828,0.70249164,0.67929226,0.38665083,0.91552335,0.5478211,333.95459,11.447426,2.5,5.4068627,10.915878,2.3,5.2911587,1380,31,205,0.015163172,0.10344828,0.043417368,0.69755429,0.21052632,0.25270158,1.3302052,0.58258176,0.85762185,3.8476248,2.0632794,2.902487,4018,100,656,15786,75,1103
