Ref,Choice R3,Integration [HH] R3,Total Connectivity R3,Choice R3 normal,Integration [HH] R3 normal,Total Connectivity R3 normal
105,36,1.6666666,75,0.056426332,0.513055196,0.161137441
106,36,1.6684235,69,0.056426332,0.513731236,0.146919431
107,36,1.6828449,69,0.056426332,0.519280467,0.146919431
108,32,1.6071428,86,0.05015674,0.490150948,0.187203791
109,52,1.8900454,105,0.081504702,0.599009441,0.232227488
110,66,2.0876319,119,0.103448276,0.67503903,0.265402844
111,58,1.9415878,107,0.090909091,0.618842514,0.236966825
112,18,1.4896638,82,0.028213166,0.444946037,0.177725118
113,10,1.1768752,56,0.015673981,0.324587668,0.116113744
114,14,1.3076391,51,0.021943574,0.374904495,0.104265403
115,32,1.6132691,55,0.05015674,0.492508296,0.113744076
116,18,1.4635203,53,0.028213166,0.434886243,0.109004739
117,0,0.68957245,27,0,0.137077752,0.047393365
118,12,1.3076391,52,0.018808777,0.374904495,0.106635071
119,40,1.7307693,80,0.062695925,0.537721364,0.172985782
120,75,2.303792,186,0.117554859,0.758215582,0.424170616
121,83,2.2015169,167,0.130094044,0.718861001,0.379146919
122,26,1.7372102,128,0.040752351,0.540199767,0.286729858
123,12,1.2726263,70,0.018808777,0.36143187,0.1492891
124,12,1.2052853,40,0.018808777,0.335519631,0.078199052
125,12,1.2063863,31,0.018808777,0.335943286,0.056872038
126,10,1.1191936,34,0.015673981,0.302392284,0.063981043
127,14,1.3006579,42,0.021943574,0.372218189,0.082938389
128,18,1.3873369,50,0.028213166,0.405571524,0.101895735
129,20,1.4644111,50,0.031347962,0.435229015,0.101895735
130,16,1.569167,48,0.02507837,0.475538186,0.097156398
131,16,1.3845592,53,0.02507837,0.404502689,0.109004739
132,12,1.2726263,61,0.018808777,0.36143187,0.127962085
133,22,1.6037242,67,0.034482759,0.4888355,0.142180095
134,28,1.6684235,70,0.043887147,0.513731236,0.1492891
135,22,1.4896638,81,0.034482759,0.444946037,0.17535545
136,22,1.5592874,106,0.034482759,0.471736601,0.234597156
137,77,1.9876175,142,0.120689655,0.636554347,0.319905213
138,0,1.1768752,56,0,0.324587668,0.116113744
139,56,2.1163981,130,0.087774295,0.686108017,0.291469194
140,62,1.9851656,118,0.097178683,0.635610877,0.263033175
141,18,1.5,89,0.028213166,0.448923318,0.194312796
142,10,1.1768752,56,0.015673981,0.324587668,0.116113744
143,14,1.3006579,45,0.021943574,0.372218189,0.090047393
144,18,1.3873369,51,0.028213166,0.405571524,0.104265403
145,20,1.4803609,63,0.031347962,0.441366361,0.132701422
146,36,1.6666666,70,0.056426332,0.513055196,0.1492891
147,31,1.7379411,69,0.048589342,0.540481011,0.146919431
148,36,1.6684235,74,0.056426332,0.513731236,0.158767773
149,24,1.5598243,88,0.037617555,0.471943195,0.191943128
150,32,1.7820429,104,0.05015674,0.557451006,0.22985782
151,76,2.0609944,152,0.119122257,0.664789149,0.343601896
152,58,1.9406976,164,0.090909091,0.618499973,0.372037915
153,44,1.8077145,141,0.068965517,0.567329217,0.317535545
154,40,1.7488363,122,0.062695925,0.544673391,0.272511848
155,16,1.4255327,80,0.02507837,0.42026894,0.172985782
156,10,1.1365665,45,0.015673981,0.309077226,0.090047393
157,12,1.2123377,40,0.018808777,0.338233334,0.078199052
158,16,1.3006579,41,0.02507837,0.372218189,0.08056872
159,18,1.3845592,43,0.028213166,0.404502689,0.085308057
160,28,1.550553,45,0.043887147,0.468375679,0.090047393
161,16,1.3845592,43,0.02507837,0.404502689,0.085308057
162,10,1.1365665,39,0.015673981,0.309077226,0.075829384
163,12,1.2052853,35,0.018808777,0.335519631,0.066350711
164,16,1.3057258,34,0.02507837,0.374168273,0.063981043
165,16,1.3076391,50,0.02507837,0.374904495,0.101895735
166,20,1.4028426,65,0.031347962,0.411537985,0.137440758
167,28,1.6700469,88,0.043887147,0.514355906,0.191943128
168,22,1.6178579,89,0.034482759,0.494274027,0.194312796
169,12,1.2552096,59,0.018808777,0.354730073,0.123222749
170,14,1.3076391,51,0.021943574,0.374904495,0.104265403
171,14,1.3006579,43,0.021943574,0.372218189,0.085308057
172,10,1.1191936,35,0.015673981,0.302392284,0.066350711
173,12,1.2052853,37,0.018808777,0.335519631,0.071090047
174,16,1.2989333,38,0.02507837,0.371554578,0.073459716
175,18,1.3873683,38,0.028213166,0.405583607,0.073459716
176,24,1.4864661,40,0.037617555,0.44371559,0.078199052
177,14,1.2989333,37,0.021943574,0.371554578,0.071090047
178,10,1.1191936,35,0.015673981,0.302392284,0.066350711
179,12,1.2123377,42,0.018808777,0.338233334,0.082938389
180,16,1.3076391,50,0.02507837,0.374904495,0.101895735
181,20,1.4724894,65,0.031347962,0.438337475,0.137440758
182,36,1.6666666,77,0.056426332,0.513055196,0.165876777
183,16,1.5364467,65,0.02507837,0.462947696,0.137440758
184,11,1.3938289,66,0.017241379,0.40806959,0.139810427
185,14,1.31797,58,0.021943574,0.378879736,0.120853081
186,32,1.6037242,69,0.05015674,0.4888355,0.146919431
187,39,1.7265038,93,0.061128527,0.536080037,0.203791469
188,40,1.7555087,131,0.062695925,0.547240873,0.293838863
189,38,1.8470125,145,0.059561129,0.58245075,0.327014218
190,57,1.9758738,138,0.089341693,0.632035472,0.31042654
191,54,1.8833622,117,0.084639498,0.596437803,0.260663507
192,20,1.5517242,84,0.031347962,0.468826346,0.182464455
193,16,1.3938289,62,0.02507837,0.40806959,0.130331754
194,28,1.5405476,63,0.043887147,0.464525687,0.132701422
195,36,1.6700469,90,0.056426332,0.514355906,0.196682464
196,26,1.6503496,107,0.040752351,0.506776554,0.236966825
197,30,1.7372102,107,0.047021944,0.540199767,0.236966825
198,50,1.8416041,89,0.078369906,0.580369644,0.194312796
199,32,1.606352,64,0.05015674,0.489846655,0.13507109
200,18,1.3938289,55,0.028213166,0.40806959,0.113744076
201,18,1.3873369,51,0.028213166,0.405571524,0.104265403
202,18,1.3938289,54,0.028213166,0.40806959,0.111374408
203,20,1.4666082,60,0.031347962,0.43607444,0.125592417
204,32,1.6042534,73,0.05015674,0.489039132,0.156398104
205,24,1.5448366,72,0.037617555,0.466176057,0.154028436
206,26,1.6042534,76,0.040752351,0.489039132,0.163507109
207,26,1.6037242,74,0.040752351,0.4888355,0.158767773
208,22,1.4896638,80,0.034482759,0.444946037,0.172985782
209,22,1.5,90,0.034482759,0.448923318,0.196682464
210,28,1.6926663,113,0.043887147,0.523059657,0.251184834
211,28,1.6857162,106,0.043887147,0.520385318,0.234597156
212,20,1.3938289,62,0.031347962,0.40806959,0.130331754
213,16,1.3076391,50,0.02507837,0.374904495,0.101895735
214,18,1.3873369,55,0.028213166,0.405571524,0.113744076
215,14,1.31797,58,0.021943574,0.378879736,0.120853081
216,10,1.1768752,56,0.015673981,0.324587668,0.116113744
217,18,1.4803609,77,0.028213166,0.441366361,0.165876777
218,27,1.5395753,81,0.042319749,0.464151554,0.17535545
219,19,1.4135897,79,0.029780564,0.415673376,0.170616114
220,30,1.787379,114,0.047021944,0.559504291,0.253554502
221,187,2.2908418,169,0.293103448,0.753232456,0.383886256
222,40,1.7777745,161,0.062695925,0.555808562,0.36492891
223,20,1.5,93,0.031347962,0.448923318,0.203791469
224,20,1.4803609,76,0.031347962,0.441366361,0.163507109
225,28,1.6734514,73,0.043887147,0.515665928,0.156398104
226,46,1.7852225,84,0.072100313,0.558674488,0.182464455
227,28,1.6700469,88,0.043887147,0.514355906,0.191943128
228,24,1.5785179,103,0.037617555,0.479136332,0.227488152
229,36,1.7001897,122,0.056426332,0.525954597,0.272511848
230,40,1.7372102,108,0.062695925,0.540199767,0.239336493
231,36,1.6700469,86,0.056426332,0.514355906,0.187203791
232,32,1.6042534,75,0.05015674,0.489039132,0.161137441
233,36,1.6700469,85,0.056426332,0.514355906,0.184834123
234,40,1.7288883,92,0.062695925,0.536997572,0.201421801
235,36,1.6673985,83,0.056426332,0.513336824,0.180094787
236,20,1.4724894,67,0.031347962,0.438337475,0.142180095
237,18,1.4028426,64,0.028213166,0.411537985,0.13507109
238,18,1.4028426,66,0.028213166,0.411537985,0.139810427
239,20,1.4896638,77,0.031347962,0.444946037,0.165876777
240,36,1.6741856,93,0.056426332,0.515948442,0.203791469
241,40,1.7325417,104,0.062695925,0.538403369,0.22985782
242,54,1.8855816,127,0.084639498,0.597291809,0.28436019
243,0,1.4864661,53,0,0.44371559,0.109004739
244,24,1.9614588,58,0.037617555,0.626488704,0.120853081
245,27,1.6828449,62,0.042319749,0.519280467,0.130331754
246,32,1.6132691,57,0.05015674,0.492508296,0.118483412
247,14,1.3006579,44,0.021943574,0.372218189,0.087677725
248,8,1.0207884,37,0.012539185,0.264526807,0.071090047
249,8,1.0952908,57,0.012539185,0.293194691,0.118483412
250,20,1.5688319,90,0.031347962,0.475409243,0.196682464
251,0,0.42239243,14,0,0.034269174,0.016587678
252,6,0.8870222,28,0.009404389,0.213054721,0.049763033
253,16,1.3845592,43,0.02507837,0.404502689,0.085308057
254,32,1.6132691,51,0.05015674,0.492508296,0.104265403
255,28,1.5405476,51,0.043887147,0.464525687,0.104265403
256,14,1.3006579,41,0.021943574,0.372218189,0.08056872
257,20,1.5688319,108,0.031347962,0.475409243,0.239336493
258,41,1.9363272,138,0.064263323,0.61681828,0.31042654
259,8,1.0952908,47,0.012539185,0.293194691,0.09478673
260,14,1.4221928,78,0.021943574,0.418983775,0.168246445
261,137,2.1376264,134,0.214733542,0.694276485,0.300947867
262,16,1.5352089,109,0.02507837,0.462471401,0.241706161
263,32,1.5448366,79,0.05015674,0.466176057,0.170616114
264,10,1.1191936,36,0.015673981,0.302392284,0.068720379
265,6,0.8870222,23,0.009404389,0.213054721,0.037914692
266,6,0.84912294,17,0.009404389,0.198471411,0.023696682
267,6,0.8619656,21,0.009404389,0.203413157,0.033175355
268,8,1.0207884,34,0.012539185,0.264526807,0.063981043
269,16,1.3938289,58,0.02507837,0.40806959,0.120853081
270,28,1.5364467,61,0.043887147,0.462947696,0.127962085
271,18,1.3873369,54,0.028213166,0.405571524,0.111374408
272,36,1.6666666,72,0.056426332,0.513055196,0.154028436
273,32,1.606352,59,0.05015674,0.489846655,0.123222749
274,47,1.8362781,130,0.073667712,0.578320245,0.291469194
275,54,1.8833622,120,0.084639498,0.596437803,0.267772512
276,18,1.4896638,78,0.028213166,0.444946037,0.168246445
277,10,1.1768752,55,0.015673981,0.324587668,0.113744076
278,14,1.3006579,45,0.021943574,0.372218189,0.090047393
