Ref,Choice R3,Integration [HH] R3,Total Connectivity R3,Choice R3 normal,Integration [HH] R3 normal,Total Connectivity R3 normal
0,0,1.5,77,0,0.595171785,0.357142857
1,0,0.42239243,12,0,0.04543325,0.025510204
2,6,0.84912294,18,0.047619048,0.263128645,0.056122449
3,12,1.2671746,24,0.095238095,0.476396548,0.086734694
4,0,0.33333334,8,0,0,0.005102041
5,4,0.69804502,17,0.031746032,0.18605666,0.051020408
6,8,1.0207884,41,0.063492063,0.350703306,0.173469388
7,18,1.4666082,64,0.142857143,0.57813705,0.290816327
8,0,0.98558021,24,0,0.332741945,0.086734694
9,0,1,29,0,0.340098161,0.112244898
10,0,0.91666669,38,0,0.297585903,0.158163265
11,0,1.1365665,49,0,0.409767185,0.214285714
12,0,0.91666669,35,0,0.297585903,0.142857143
13,0,0.91666669,35,0,0.297585903,0.142857143
14,0,0.91666669,39,0,0.297585903,0.163265306
15,0,0.91666669,39,0,0.297585903,0.163265306
16,0,1.1492875,28,0,0.416256768,0.107142857
17,0,1.1492875,28,0,0.416256768,0.107142857
18,0,1.4803609,72,0,0.585152952,0.331632653
19,0,1.1365665,44,0,0.409767185,0.18877551
20,0,1.238816,59,0,0.461929486,0.265306122
21,0,1.2196002,67,0,0.452126599,0.306122449
22,0,0.8870222,30,0,0.282462848,0.117346939
23,0,1.1561403,50,0,0.419752706,0.219387755
24,0,0.98510355,22,0,0.332498778,0.076530612
25,0,0.33333334,7,0,0,0
26,4,0.70398736,10,0.031746032,0.189088128,0.015306122
27,6,0.84912294,19,0.047619048,0.263128645,0.06122449
28,8,1.0445806,38,0.063492063,0.362840832,0.158163265
29,18,1.4635203,57,0.142857143,0.576561766,0.255102041
30,0,0.33333334,7,0,0,0
31,4,0.70398736,10,0.031746032,0.189088128,0.015306122
32,6,0.84912294,17,0.047619048,0.263128645,0.051020408
33,8,1,26,0.063492063,0.340098161,0.096938776
34,14,1.2989333,42,0.111111111,0.492598161,0.178571429
35,0,0.33333334,7,0,0,0
36,4,0.70398736,9,0.031746032,0.189088128,0.010204082
37,6,0.87255627,12,0.047619048,0.275083093,0.025510204
38,6,0.8619656,19,0.047619048,0.269680292,0.06122449
39,8,1,27,0.063492063,0.340098161,0.102040816
40,14,1.2989333,42,0.111111111,0.492598161,0.178571429
41,0,0.8619656,25,0,0.269680292,0.091836735
42,0,0.8619656,22,0,0.269680292,0.076530612
43,0,0.42239243,12,0,0.04543325,0.025510204
44,6,0.84912294,20,0.047619048,0.263128645,0.066326531
45,12,1.2063863,32,0.095238095,0.445385564,0.12755102
46,0,1.0207884,32,0,0.350703306,0.12755102
47,0,1,29,0,0.340098161,0.112244898
48,0,0.33333334,7,0,0,0
49,4,0.70398736,9,0.031746032,0.189088128,0.010204082
50,6,0.87255627,12,0.047619048,0.275083093,0.025510204
51,6,0.8619656,18,0.047619048,0.269680292,0.056122449
52,8,0.98558021,24,0.063492063,0.332741945,0.086734694
53,12,1.2063863,31,0.095238095,0.445385564,0.12244898
54,0,0.33333334,7,0,0,0
55,4,0.70398736,10,0.031746032,0.189088128,0.015306122
56,6,0.84912294,17,0.047619048,0.263128645,0.051020408
57,8,1,25,0.063492063,0.340098161,0.091836735
58,14,1.3057258,31,0.111111111,0.496063337,0.12244898
