Ref,Choice R3,Integration [HH] R3,Total Connectivity R3,Choice R3 normal,Integration [HH] R3 normal,Total Connectivity R3 normal
106,34,1.7288883,109,0.011588275,0.424596303,0.10782241
107,34,1.7325417,104,0.011588275,0.425707847,0.102536998
108,108,2.0321984,151,0.036809816,0.51687812,0.152219873
109,69,1.975305,151,0.023517382,0.499568356,0.152219873
110,23,1.8017781,142,0.007839127,0.446772957,0.142706131
111,43,1.8518485,164,0.01465576,0.46200683,0.165961945
112,19,1.5,93,0.006475801,0.35495725,0.090909091
113,17,1.5598243,91,0.005794138,0.373158738,0.088794926
114,26,1.6249448,93,0.008861622,0.39297159,0.090909091
115,26,1.6037242,67,0.008861622,0.386515242,0.063424947
116,42,1.6828449,65,0.014314928,0.410587641,0.061310782
117,16,1.4791844,85,0.005453306,0.348624123,0.082452431
118,78,1.9577465,146,0.026584867,0.494226198,0.146934461
119,10,1.2409762,66,0.003408316,0.276149499,0.062367865
120,6,0.8870222,27,0.00204499,0.168459322,0.021141649
121,6,0.84912294,16,0.00204499,0.156928508,0.009513742
122,6,0.84912294,18,0.00204499,0.156928508,0.011627907
123,6,0.94787496,36,0.00204499,0.186973718,0.030655391
124,14,1.40625,83,0.004771643,0.326433899,0.080338266
125,132,2.1355305,138,0.044989775,0.548316816,0.138477801
126,56,1.9768722,125,0.019086571,0.500045175,0.124735729
127,10,1.3235294,78,0.003408316,0.301266234,0.075052854
128,17,1.2552096,61,0.005794138,0.280479998,0.057082452
129,14,1.3304729,68,0.004771643,0.303378787,0.06448203
130,10,1.1058542,27,0.003408316,0.235038756,0.021141649
131,12,1.2063863,26,0.00408998,0.265625554,0.020084567
132,12,1.2222222,25,0.00408998,0.270443612,0.019027484
133,8,1,26,0.002726653,0.202832713,0.020084567
134,8,1,28,0.002726653,0.202832713,0.022198732
135,12,1.2052853,39,0.00408998,0.265290576,0.033826638
136,20,1.3938289,57,0.006816633,0.322654791,0.052854123
137,30,1.7307693,70,0.010224949,0.425168596,0.066596195
138,66,1.9731473,78,0.022494888,0.498911878,0.075052854
139,28,1.7379411,68,0.009543286,0.427350609,0.06448203
140,18,1.3873369,55,0.006134969,0.320679606,0.050739958
141,12,1.2052853,39,0.00408998,0.265290576,0.033826638
142,8,0.98558021,23,0.002726653,0.198445506,0.016913319
143,6,0.8619656,19,0.00204499,0.160835875,0.012684989
144,6,0.84912294,15,0.00204499,0.156928508,0.00845666
145,6,0.84912294,14,0.00204499,0.156928508,0.007399577
146,6,0.84912294,14,0.00204499,0.156928508,0.007399577
147,6,0.84912294,14,0.00204499,0.156928508,0.007399577
148,6,0.84912294,14,0.00204499,0.156928508,0.007399577
149,6,0.84912294,14,0.00204499,0.156928508,0.007399577
150,6,0.84912294,14,0.00204499,0.156928508,0.007399577
151,6,0.84912294,14,0.00204499,0.156928508,0.007399577
152,6,0.84912294,14,0.00204499,0.156928508,0.007399577
153,6,0.84912294,14,0.00204499,0.156928508,0.007399577
154,6,0.84912294,15,0.00204499,0.156928508,0.00845666
155,6,0.8619656,19,0.00204499,0.160835875,0.012684989
156,8,0.98558021,20,0.002726653,0.198445506,0.013742072
157,12,1.2671746,20,0.00408998,0.284120338,0.013742072
158,12,1.2671746,20,0.00408998,0.284120338,0.013742072
159,0,0.33333334,7,0,0,0
160,4,0.70398736,9,0.001363327,0.112771142,0.002114165
161,6,0.87255627,11,0.00204499,0.164058077,0.00422833
162,6,0.84912294,13,0.00204499,0.156928508,0.006342495
163,6,0.84912294,14,0.00204499,0.156928508,0.007399577
164,6,0.84912294,16,0.00204499,0.156928508,0.009513742
165,6,0.8870222,28,0.00204499,0.168459322,0.022198732
166,10,1.1365665,47,0.003408316,0.244382944,0.042283298
167,22,1.6042534,82,0.007498296,0.38667625,0.079281184
168,70,2.0502288,110,0.023858214,0.522363852,0.108879493
169,74,2.1913517,119,0.025221541,0.565300364,0.118393235
170,68,2.0502288,111,0.023176551,0.522363852,0.109936575
171,22,1.6042534,82,0.007498296,0.38667625,0.079281184
172,10,1.1365665,48,0.003408316,0.244382944,0.043340381
173,6,0.91666669,35,0.00204499,0.177478631,0.029598309
174,8,1.0207884,36,0.002726653,0.209157565,0.030655391
175,16,1.3845592,45,0.005453306,0.319834494,0.040169133
176,16,1.3845592,45,0.005453306,0.319834494,0.040169133
177,8,1.0207884,34,0.002726653,0.209157565,0.028541226
178,6,0.8619656,21,0.00204499,0.160835875,0.014799154
179,6,0.84912294,15,0.00204499,0.156928508,0.00845666
180,6,0.84912294,14,0.00204499,0.156928508,0.007399577
181,6,0.84912294,15,0.00204499,0.156928508,0.00845666
182,6,0.8619656,17,0.00204499,0.160835875,0.010570825
183,8,0.98558021,19,0.002726653,0.198445506,0.012684989
184,18,1.2222222,25,0.006134969,0.270443612,0.019027484
185,8,1.0445806,33,0.002726653,0.21639632,0.027484144
186,12,1.3088794,60,0.00408998,0.296808985,0.05602537
187,100,1.9323636,107,0.034083163,0.486503475,0.105708245
188,38,1.6249448,75,0.012951602,0.39297159,0.071881607
189,8,1.1708162,75,0.002726653,0.254803384,0.071881607
190,12,1.5298115,182,0.00408998,0.364027371,0.184989429
191,23,1.8443984,282,0.007839127,0.459740144,0.290697674
192,76,2.379483,454,0.025903204,0.622539138,0.472515856
193,21,1.6891669,164,0.007157464,0.412511104,0.165961945
194,20,1.5364467,77,0.006816633,0.366046125,0.073995772
195,14,1.3443909,66,0.004771643,0.307613326,0.062367865
196,22,1.6249448,102,0.007498296,0.39297159,0.100422833
197,22,1.6118186,91,0.007498296,0.388977955,0.088794926
198,10,1.1365665,44,0.003408316,0.244382944,0.039112051
199,6,0.91666669,34,0.00204499,0.177478631,0.028541226
200,8,1.0445806,37,0.002726653,0.21639632,0.031712474
201,28,1.5,75,0.009543286,0.35495725,0.071881607
202,7,1.2196002,55,0.002385821,0.269645871,0.050739958
203,25,1.5598243,70,0.008520791,0.373158738,0.066596195
204,47,1.7269484,66,0.016019087,0.42400609,0.062367865
205,10,1.1768752,43,0.003408316,0.256646829,0.038054968
206,6,0.8870222,25,0.00204499,0.168459322,0.019027484
207,6,0.84912294,16,0.00204499,0.156928508,0.009513742
208,6,0.84912294,16,0.00204499,0.156928508,0.009513742
209,6,0.8870222,29,0.00204499,0.168459322,0.023255814
210,10,1.1561403,49,0.003408316,0.250338255,0.044397463
211,24,1.6684235,68,0.008179959,0.406199944,0.06448203
212,44,1.8,70,0.014996592,0.446231972,0.066596195
213,16,1.3873369,53,0.005453306,0.320679606,0.048625793
214,8,1.0207884,35,0.002726653,0.209157565,0.029598309
215,6,0.8619656,21,0.00204499,0.160835875,0.014799154
216,151,2.2177286,302,0.051465576,0.573325511,0.311839323
217,82,2.7385125,661,0.027948194,0.73177353,0.691331924
218,35,1.7777745,172,0.011929107,0.439469884,0.174418605
219,20,1.550553,66,0.006816633,0.370337953,0.062367865
220,10,1.1365665,42,0.003408316,0.244382944,0.036997886
221,8,1.0697098,45,0.002726653,0.224041855,0.040169133
222,25,1.4255327,62,0.008520791,0.332300643,0.058139535
223,45,1.8017781,133,0.015337423,0.446772957,0.133192389
224,291,2.4122515,390,0.099182004,0.632508923,0.404862579
225,232,2.7921805,675,0.079072938,0.74810197,0.706131078
226,0,0.49860358,16,0,0.050283317,0.009513742
227,8,1.0445806,31,0.002726653,0.21639632,0.025369979
228,50,1.6828449,45,0.017041581,0.410587641,0.040169133
229,10,1.1561403,35,0.003408316,0.250338255,0.029598309
230,6,0.8870222,25,0.00204499,0.168459322,0.019027484
231,6,0.8870222,32,0.00204499,0.168459322,0.026427061
232,10,1.1768752,59,0.003408316,0.256646829,0.054968288
233,26,1.7379411,77,0.008861622,0.427350609,0.073995772
234,48,2.1023719,81,0.016359918,0.538228342,0.078224101
235,26,1.7379411,77,0.008861622,0.427350609,0.073995772
236,10,1.1768752,59,0.003408316,0.256646829,0.054968288
237,6,0.8870222,30,0.00204499,0.168459322,0.024312896
238,6,0.84912294,16,0.00204499,0.156928508,0.009513742
239,6,0.84912294,14,0.00204499,0.156928508,0.007399577
240,6,0.84912294,14,0.00204499,0.156928508,0.007399577
241,6,0.84912294,14,0.00204499,0.156928508,0.007399577
242,6,0.84912294,14,0.00204499,0.156928508,0.007399577
243,6,0.84912294,16,0.00204499,0.156928508,0.009513742
244,6,0.8870222,28,0.00204499,0.168459322,0.022198732
245,10,1.1365665,40,0.003408316,0.244382944,0.034883721
246,22,1.6261337,46,0.007498296,0.393333311,0.041226216
247,22,1.6474625,44,0.007498296,0.399822579,0.039112051
248,8,1.0207884,35,0.002726653,0.209157565,0.029598309
249,0,0.49860358,21,0,0.050283317,0.014799154
250,0,0.49860358,20,0,0.050283317,0.013742072
251,8,1,30,0.002726653,0.202832713,0.024312896
252,20,1.6008096,36,0.006816633,0.385628477,0.030655391
253,36,1.8105773,38,0.012269939,0.449450106,0.032769556
254,44,1.8328277,58,0.014996592,0.456219769,0.053911205
255,60,2.0257571,58,0.020449898,0.51491836,0.053911205
256,16,1.550553,50,0.005453306,0.370337953,0.045454545
257,0,0.84615386,36,0,0.156025168,0.030655391
258,4,0.72781962,19,0.001363327,0.120022085,0.012684989
259,10,1.1561403,35,0.003408316,0.250338255,0.029598309
260,56,1.7379411,48,0.019086571,0.427350609,0.043340381
261,10,1.1768752,38,0.003408316,0.256646829,0.032769556
262,6,0.8870222,24,0.00204499,0.168459322,0.017970402
263,6,0.84912294,16,0.00204499,0.156928508,0.009513742
264,6,0.84912294,14,0.00204499,0.156928508,0.007399577
265,6,0.84912294,15,0.00204499,0.156928508,0.00845666
266,6,0.84912294,15,0.00204499,0.156928508,0.00845666
267,6,0.8619656,20,0.00204499,0.160835875,0.013742072
268,8,1.0445806,32,0.002726653,0.21639632,0.026427061
269,26,1.4666082,44,0.008861622,0.344797826,0.039112051
270,26,1.4666082,43,0.008861622,0.344797826,0.038054968
271,8,1.0445806,31,0.002726653,0.21639632,0.025369979
272,6,0.84912294,17,0.00204499,0.156928508,0.010570825
273,0,0.63684219,21,0,0.092342286,0.014799154
274,10,1.2052853,40,0.003408316,0.265290576,0.034883721
275,32,1.6261337,52,0.010906612,0.393333311,0.04756871
276,46,1.8328277,56,0.015678255,0.456219769,0.05179704
277,40,1.7669872,55,0.013633265,0.436187858,0.050739958
278,9,1.3995763,139,0.003067485,0.324403432,0.139534884
279,60,2.0981474,332,0.020449898,0.536943042,0.343551797
280,55,2.024497,292,0.01874574,0.514534976,0.301268499
281,57,2.1821795,384,0.019427403,0.562509731,0.398520085
282,104,2.442425,428,0.035446489,0.641689183,0.445031712
283,32,2.1299543,345,0.010906612,0.546620262,0.357293869
284,43,2.1299543,324,0.01465576,0.546620262,0.335095137
285,67,1.9777361,256,0.022835719,0.500308016,0.263213531
286,10,1.3815587,113,0.003408316,0.318921594,0.11205074
287,8,1.3068799,129,0.002726653,0.296200639,0.128964059
288,10,1.1365665,43,0.003408316,0.244382944,0.038054968
289,42,1.550553,42,0.014314928,0.370337953,0.036997886
290,12,1.238816,35,0.00408998,0.27549226,0.029598309
291,22,1.3006579,33,0.007498296,0.294307601,0.027484144
292,8,1,25,0.002726653,0.202832713,0.019027484
293,6,0.8870222,21,0.00204499,0.168459322,0.014799154
294,8,0.98558021,21,0.002726653,0.198445506,0.014799154
295,18,1.2063863,27,0.006134969,0.265625554,0.021141649
296,10,1.1191936,27,0.003408316,0.239097256,0.021141649
297,22,1.2989333,29,0.007498296,0.293782893,0.023255814
298,8,1,23,0.002726653,0.202832713,0.016913319
299,6,0.8619656,18,0.00204499,0.160835875,0.011627907
300,6,0.84912294,15,0.00204499,0.156928508,0.00845666
301,6,0.84912294,16,0.00204499,0.156928508,0.009513742
302,6,0.8870222,28,0.00204499,0.168459322,0.022198732
