Ref,x1,y1,x2,y2,Choice,Choice R3,Choice R7,Choice [Connectivity Wgt],Choice [Connectivity Wgt] R3,Choice [Connectivity Wgt] R7,Choice [Connectivity Wgt][Norm],Choice [Connectivity Wgt][Norm] R3,Choice [Connectivity Wgt][Norm] R7,Choice [Norm],Choice [Norm] R3,Choice [Norm] R7,Connectivity,Control,Controllability,Entropy,Entropy R3,Entropy R7,Harmonic Mean Depth,Harmonic Mean Depth R3,Harmonic Mean Depth R7,Integration [HH],Integration [HH] R3,Integration [HH] R7,Integration [P-value],Integration [P-value] R3,Integration [P-value] R7,Integration [Tekl],Integration [Tekl] R3,Integration [Tekl] R7,Intensity,Intensity R3,Intensity R7,Line Length,Mean Depth,Mean Depth R3,Mean Depth R7,Mean Depth [Connectivity Wgt],Mean Depth [Connectivity Wgt] R3,Mean Depth [Connectivity Wgt] R7,Node Count,Node Count R3,Node Count R7,RA,RA R3,RA R7,RA [Penn],RA [Penn] R3,RA [Penn] R7,RRA,RRA R3,RRA R7,Relativised Entropy,Relativised Entropy R3,Relativised Entropy R7,Total Connectivity,Total Connectivity R3,Total Connectivity R7,Total Depth,Total Depth R3,Total Depth R7
556,3934.98493597,2219.98660347,4013.09985596,2234.39626971,0,0,0,2854,43,324,0.00069881068,0.038931642,0.0060232007,0,0,0,1,0.33333334,0.33333334,4.8732157,1.1195489,2.3088846,3.3885088,2.4615386,4.3550758,0.49265888,0.87048382,0.90629905,0.49265888,0.87048382,0.90629905,0.6462729,0.55682731,0.636002,0.32475191,0.79026985,0.515423,79.432861,16.021891,2.6363637,5.5360823,14.517145,2.5957446,5.4359756,1006,12,98,0.029924085,0.32727271,0.094501719,0.70874327,0.052631579,0.21568628,2.0298021,1.1487864,1.1033885,5.4700518,2.1591151,2.976105,2858,47,328,16102,29,537
557,3932.98197281,2379.69357591,4039.939305,2305.64395609,44,3,25,6051,163,1000,0.0014816059,0.056440443,0.012625944,8.7213339e-005,0.01754386,0.0033870749,2,0.66666669,0.33333334,4.9147773,1.2005459,2.4611096,3.568994,4.8372092,8.0824814,0.5015626,1.2829794,1.0421642,0.5015626,1.2829794,1.0421642,0.6474781,0.64601499,0.65642554,0.3334412,0.8279627,0.5855251,130.08926,15.755224,2.5789473,5.2459016,14.26697,2.5,5.148241,1006,20,123,0.029392876,0.1754386,0.070180193,0.71391362,0.14285715,0.27144867,1.9937692,0.77943575,0.95954168,5.5891643,2.164109,2.7624352,2858,76,398,15834,49,640
558,4026.31928416,2324.0562991,4043.94523132,2194.7697,1756,24,185,18755,465,2856,0.0045922194,0.12574364,0.021620313,0.0034806048,0.094861656,0.01655481,3,0.97619045,0.27272728,4.8699942,1.4033208,2.4078429,3.5838001,7.3846154,11.556007,0.52771896,1.6178579,1.0656655,0.52771896,1.6178579,1.0656655,0.65092343,0.69188631,0.6635291,0.34763458,1.086442,0.54922092,130.48256,15.023881,2.3913043,5.4200001,13.519944,2.2558138,5.3793774,1006,24,151,0.027936017,0.12648222,0.059328858,0.72300619,0.25581396,0.24573378,1.8949479,0.61810124,0.93838078,5.529923,1.8516062,2.9364576,2858,86,514,15099,55,813
559,3998.67864986,2273.22224437,4090.81405464,2289.23300121,4056,22,368,26016,421,3601,0.0063700974,0.11384532,0.025736043,0.0080394838,0.095238097,0.031236738,3,1,0.30000001,4.8740244,1.3953235,2.446924,3.5828218,7.1489363,11.569139,0.5306558,1.5598243,1.0959476,0.5306558,1.5598243,1.0959476,0.6513018,0.68473619,0.66698921,0.34985861,1.069748,0.56947929,93.51619,14.946269,2.409091,5.3311687,13.448565,2.3023255,5.31569,1006,23,155,0.027781412,0.13419913,0.056616586,0.7245391,0.24390244,0.26135105,1.8844608,0.64109784,0.9124524,5.5695229,1.8724692,2.8365283,2858,86,529,15021,53,821
560,4086.00707172,2303.24236992,4175.7389207,2332.86219795,0,0,0,2855,12,230,0.0006990555,0.10666667,0.0084731709,0,0,0,1,0.5,0.5,4.8808799,1.4575424,2.1075218,3.2440457,1.6,2.8229487,0.46421617,0.42239243,0.76244867,0.46421617,0.42239243,0.76244867,0.64230335,0.25192964,0.60840356,0.30648306,1.8219281,0.44533941,94.494118,16.942289,2.25,5.8142858,15.445766,2.3333333,5.6738195,1006,5,71,0.031757548,0.83333331,0.13954452,0.6964668,0,0.15538847,2.1541688,2.3674667,1.3115637,5.4612231,1.2033685,3.1952047,2858,15,233,17027,9,407
561,3779.72537175,2309.99714189,3911.95195339,2323.51205762,1883,20,244,20976,318,2965,0.0051360377,0.18906064,0.064166375,0.0037323344,0.14705883,0.052405499,3,1.0833334,0.375,4.9373837,1.4441595,2.5343916,3.6488996,6.2068968,9.3484716,0.47567609,1.4028426,1.0044625,0.47567609,1.4028426,1.0044625,0.64392531,0.66319418,0.64693218,0.31768519,1.1815851,0.62719792,132.91547,16.558208,2.3529413,5.0927835,15.094122,2.2586207,4.8947368,1006,18,98,0.030992448,0.16911764,0.085266322,0.70377946,0.25806451,0.29233512,2.1022708,0.71283835,0.99555743,5.5435858,1.7547162,2.6602097,2858,58,304,16641,40,494
562,3898.31481761,2330.32517315,3913.55638286,2293.05338544,48,5,32,6063,106,792,0.0014845441,0.12611541,0.023252742,9.5141819e-005,0.064102568,0.0096356515,2,0.58333331,0.33333334,4.9648433,1.4174378,2.4339352,3.6293015,4.48,6.8553491,0.44921613,1.1561403,0.88946247,0.44921613,1.1561403,0.88946247,0.64013165,0.61990625,0.62941605,0.3016811,1.1673018,0.56587285,40.267746,17.474627,2.3846154,5.3658538,16.016096,2.2195122,5.2183909,1006,14,83,0.032817982,0.23076923,0.10779886,0.69187683,0.2173913,0.23991507,2.2261,0.86494696,1.1242745,5.542336,1.7433239,2.8590765,2858,41,261,17562,31,440
563,3841.76060898,2286.24022017,3962.89091624,2308.28269666,1668,37,212,20711,430,2645,0.005071152,0.24705544,0.052312013,0.0033061784,0.27205881,0.0419802,4,1.5833334,0.40000001,4.9442396,1.5404148,2.4727426,3.6676879,7.1489363,10.204118,0.47512913,1.6132691,0.96953613,0.47512913,1.6132691,0.96953613,0.6438486,0.69413465,0.64416176,0.3177605,1.4593403,0.58249366,123.11954,16.576118,2.1764705,5.2970295,15.109517,2.1355932,5.1257863,1006,18,102,0.031028125,0.14705883,0.085940592,0.70343846,0.3548387,0.25811967,2.104691,0.6198594,1.0314211,5.5544124,1.5170654,2.8622158,2858,59,318,16659,37,535
564,3883.8754671,2300.26724614,3902.72686998,2223.71979566,8,6,8,5748,106,560,0.0014074154,0.11465657,0.016069788,1.5856971e-005,0.090909094,0.0025316456,2,0.75,0.33333334,4.9162407,1.4535002,2.4256561,3.5799508,4.3636365,6.7331371,0.46969822,1.1365665,0.87998921,0.46969822,1.1365665,0.87998921,0.64308316,0.61485791,0.62757641,0.31234926,1.2597001,0.56297463,78.834557,16.756218,2.3333333,5.375,15.278167,2.2790697,5.253788,1006,13,81,0.03138689,0.24242425,0.1107595,0.70000947,0.23809524,0.23747277,2.1290267,0.87984288,1.1363776,5.477591,1.650112,2.8769388,2858,43,264,16840,28,430
565,3854.99676607,2220.11284044,3904.73227813,2235.74294657,1696,6,82,15490,170,1242,0.0037927739,0.085663892,0.020047778,0.0033616778,0.044117648,0.014734951,2,0.75,0.33333334,4.888154,1.2686099,2.4120739,3.5552359,4.7567568,7.6253128,0.49766955,1.2409762,0.96474135,0.49766955,1.2409762,0.96474135,0.64695323,0.63823813,0.64486957,0.32906067,0.9133991,0.55623251,52.133686,15.870646,2.5294118,5.3867927,14.386284,2.4126985,5.286932,1006,18,107,0.029622803,0.19117647,0.083557948,0.71167576,0.16129032,0.24390244,2.0093656,0.80581725,1.0365472,5.4608078,2.0459249,2.8911343,2858,63,352,15950,43,571
