Ref,Choice R3,Integration [HH] R3,Total Connectivity R3,Choice R3,Integration [HH] R3,Total Connectivity R3
106,6,0.84912294,16,0.011428571,0.198002297,0.022900763
107,6,0.8870222,32,0.011428571,0.212551137,0.063613232
108,10,1.1981546,70,0.019047619,0.331989237,0.160305344
109,28,1.7914909,130,0.053333333,0.55976031,0.312977099
110,20,1.9851656,130,0.038095238,0.634108523,0.312977099
111,39,1.9851656,127,0.074285714,0.634108523,0.305343511
112,28,1.787379,124,0.053333333,0.558181826,0.297709924
113,10,1.2196002,74,0.019047619,0.340221815,0.170483461
114,8,1.0445806,45,0.015238095,0.273034957,0.096692112
115,14,1.3006579,47,0.026666667,0.3713384,0.10178117
116,14,1.3006579,45,0.026666667,0.3713384,0.096692112
117,8,1,28,0.015238095,0.255921271,0.053435115
118,6,0.8619656,22,0.011428571,0.202932362,0.038167939
119,14,1.3592209,69,0.026666667,0.393819676,0.157760814
120,10,1.2196002,74,0.019047619,0.340221815,0.170483461
121,34,1.7325417,113,0.064761905,0.537130778,0.269720102
122,22,1.6042534,85,0.041904762,0.48788322,0.198473282
123,10,1.1768752,64,0.019047619,0.323820461,0.145038168
124,10,1.2621337,90,0.019047619,0.356549656,0.211195929
125,30,1.8427275,147,0.057142857,0.579429114,0.356234097
126,145,2.3965516,209,0.276190476,0.792032167,0.513994911
127,30,1.8362781,135,0.057142857,0.576953306,0.325699746
128,58,2.1336844,136,0.11047619,0.691122204,0.328244275
129,26,1.8369439,111,0.04952381,0.577208894,0.264631043
130,12,1.4135897,88,0.022857143,0.414690875,0.20610687
131,20,1.4255327,88,0.038095238,0.419275577,0.20610687
132,32,1.7909094,93,0.060952381,0.559537082,0.218829517
133,51,1.9916508,126,0.097142857,0.636598074,0.302798982
134,36,1.8362781,135,0.068571429,0.576953306,0.325699746
135,35,1.8337219,120,0.066666667,0.575972027,0.287531807
136,54,2.0790501,103,0.102857143,0.670149085,0.244274809
137,28,1.7909094,83,0.053333333,0.559537082,0.193384224
138,10,1.1981546,65,0.019047619,0.331989237,0.147582697
139,6,0.94787496,46,0.011428571,0.235911411,0.099236641
140,10,1.1561403,52,0.019047619,0.315860708,0.114503817
141,24,1.6684235,77,0.045714286,0.512516961,0.178117048
142,21,1.7269484,92,0.04,0.534983611,0.216284987
143,17,1.6794915,113,0.032380952,0.516765766,0.269720102
144,44,1.9851656,124,0.083809524,0.634108523,0.297709924
145,68,2.0876319,121,0.12952381,0.673443482,0.290076336
146,26,1.7379411,79,0.04952381,0.53920351,0.183206107
147,49,2.0462267,89,0.093333333,0.657548775,0.208651399
148,26,1.7307693,81,0.04952381,0.536450386,0.188295165
149,10,1.1768752,59,0.019047619,0.323820461,0.132315522
150,6,0.8870222,32,0.011428571,0.212551137,0.063613232
151,6,0.8870222,31,0.011428571,0.212551137,0.061068702
152,10,1.1561403,52,0.019047619,0.315860708,0.114503817
153,24,1.6700469,88,0.045714286,0.513140155,0.20610687
154,68,1.9805739,112,0.12952381,0.632345853,0.267175573
155,72,1.975305,124,0.137142857,0.630323218,0.297709924
156,30,1.8328277,67,0.057142857,0.575628759,0.152671756
157,30,1.7495173,68,0.057142857,0.543647404,0.155216285
158,20,1.3938289,61,0.038095238,0.407105061,0.13740458
159,11,1.3057258,42,0.020952381,0.373283875,0.089058524
